department	incidents	incidents_per_c
Ansonia	4	2.09117524049
Berlin	6	2.94811320755
Bethel	2	1.04832791697
Bloomfield	2	0.969649956366
Branford	16	5.70084800114
Bridgeport	20	1.36351240796
Bristol	5	0.825682013343
Brookfield	2	1.19232144986
Canton	2	1.9353590091
Cheshire	5	1.70811697185
Clinton	3	2.27479526843
Coventry	4	3.21698568441
Cromwell	1	0.710378631811
Danbury	19	2.29521266957
Darien	2	0.943841434639
Derby	5	3.89499104152
East Hampton	5	3.86518243661
East Hartford	34	6.63919860967
East Haven	6	2.05909605683
East Windsor	2	1.76164890337
Easton	1	1.3170025023
Enfield	2	0.447297206629
Fairfield	2	0.329608754409
Farmington	6	2.35155790711
Glastonbury	3	0.865526095612
Greenwich	1	0.160924349463
Guilford	2	0.892657888864
Hamden	5	0.811622433244
Hartford	51	4.07312456573
Manchester	28	4.80521709284
Meriden	14	2.30962122212
Middletown	10	2.10863697706
Milford	8	1.50832406343
Naugatuck	11	3.46020761246
New Britain	15	2.05212394829
New Canaan	2	0.99636327405
New Haven	15	1.14895866047
New London	18	6.53689715282
New Milford	6	2.15664426153
Newington	4	1.3049719431
North Branford	2	1.39014387989
North Haven	6	2.50031253907
Norwalk	35	4.01311716009
Norwich	17	4.21021348259
Orange	4	2.8680002868
Plainfield	1	0.654878847413
Plainville	2	1.1241639031
Plymouth	3	2.48241621845
Portland	1	1.05451861225
Putnam	6	6.30583289543
Redding	1	1.07909787418
Ridgefield	2	0.799200799201
Seymour	1	0.604193100115
Shelton	6	1.48250642419
Southington	4	0.919350019536
Stamford	3	0.239232542005
Stratford	3	0.575904169546
Suffield	3	1.90307028673
Torrington	17	4.75205456477
Trumbull	6	1.64636154099
Vernon	19	6.51532816679
Wallingford	3	0.664392966293
Waterbury	22	2.0020566582
Waterford	5	2.56423406329
Watertown	2	0.897424391995
West Hartford	13	2.05060256168
West Haven	8	1.44691625972
Westport	3	1.10885233783
Wilton	5	2.69992980183
Winchester	3	2.70538371359
Windsor	2	0.686577411603
Windsor Locks	1	0.7965588657
