town_name,town_department
town_name,department_name
Bridgeport,Stratford
Stratford,Stratford
Trumbull,Stratford
Shelton,Stratford
Hartland,Granby
Berlin,New Britain
New Britain,New Britain
Farmington,New Britain
Canton,Granby
Granby,Granby
East Granby,Granby
South Windsor,East Hartford
Newington,New Britain
Hartford,East Hartford
East Hartford,East Hartford
Manchester,Manchester
Glastonbury,East Hartford
Watertown,Waterbury
Seymour,Hamden
New Haven,Hamden
Milford,Stratford
Hamden,Hamden
North Haven,Hamden
Middlebury,Waterbury
Waterbury,Waterbury
Wolcott,Waterbury
Groton,Groton Town
Stonington,Groton Town
New London,Groton Town
