DepartmentName,black_p,b_t_s_diff,black_16,b_t_s_pop_diff,b_distance,resident_b_p_r
Ansonia,16.66%,2.60%,9.74%,0.62%,1.98%,56.69%
Avon,7.89%,-6.17%,1.41%,-7.71%,1.53%,87.83%
Berlin,10.01%,-4.05%,0.65%,-8.47%,4.42%,94.65%
Bethel,5.90%,-8.16%,1.74%,-7.38%,-0.78%,85.86%
Bloomfield,52.20%,38.14%,54.76%,45.64%,-7.50%,53.07%
Branford,5.11%,-8.95%,1.76%,-7.36%,-1.59%,78.60%
Bridgeport,35.61%,21.55%,31.82%,22.70%,-1.15%,17.59%
Bristol,8.70%,-5.36%,3.24%,-5.88%,0.52%,54.51%
Brookfield,4.64%,-9.42%,1.05%,-8.07%,-1.35%,81.91%
Canton,3.36%,-10.70%,0.00%,-9.12%,-1.58%,96.08%
State Capitol Police*,25.54%,11.48%,35.80%,26.68%,-15.19%,59.32%
Central CT State University*,16.54%,2.48%,10.67%,1.55%,0.93%,72.06%
Cheshire,9.48%,-4.58%,1.27%,-7.85%,3.27%,91.67%
Clinton,3.19%,-10.87%,0.00%,-9.12%,-1.75%,91.40%
Coventry,3.48%,-10.58%,0.79%,-8.33%,-2.25%,82.76%
Cromwell,13.47%,-0.59%,3.69%,-5.43%,4.84%,79.17%
Danbury,8.04%,-6.02%,6.42%,-2.70%,-3.32%,75.88%
Darien,11.49%,-2.57%,0.00%,-9.12%,6.55%,96.61%
Derby,15.36%,1.30%,6.03%,-3.09%,4.39%,81.86%
Department of Motor Vehicle*,17.40%,3.34%,N/A,N/A,N/A,85.19%
East Hampton,4.81%,-9.25%,1.10%,-8.02%,-1.23%,59.09%
East Hartford,37.35%,23.29%,22.52%,13.40%,9.89%,46.07%
East Haven,7.20%,-6.86%,2.47%,-6.65%,-0.21%,78.26%
East Windsor,14.19%,0.13%,5.96%,-3.16%,3.29%,81.33%
Easton,3.96%,-10.10%,0.00%,-9.12%,-0.98%,100.00%
Eastern CT State University*,8.59%,-5.47%,4.08%,-5.04%,-0.44%,88.24%
Enfield,9.28%,-4.78%,2.63%,-6.49%,1.71%,49.91%
Fairfield,15.08%,1.02%,1.73%,-7.39%,8.40%,93.07%
Farmington,8.43%,-5.63%,2.20%,-6.92%,1.29%,89.61%
Glastonbury,8.36%,-5.70%,1.80%,-7.32%,1.62%,85.29%
Granby,3.78%,-10.28%,0.92%,-8.20%,-2.08%,84.62%
Greenwich,7.58%,-6.48%,2.03%,-7.09%,0.61%,84.35%
Groton City**,14.78%,0.72%,7.70%,-1.42%,2.14%,57.64%
Groton Long Point**,4.05%,-10.01%,0.00%,-9.12%,-0.89%,100.00%
Groton Town,11.88%,-2.18%,6.07%,-3.05%,0.87%,70.33%
Guilford,2.37%,-11.69%,0.70%,-8.42%,-3.27%,74.29%
Hamden,31.84%,17.78%,18.28%,9.16%,8.62%,53.59%
Hartford,38.19%,24.13%,35.80%,26.68%,-2.55%,48.71%
Madison,2.48%,-11.58%,0.49%,-8.63%,-2.95%,81.52%
Manchester,22.76%,8.70%,10.15%,1.03%,7.66%,52.82%
