"","DepartmentName","points"
"7082","Ansonia",2
"7084","Berlin",2
"7086","Bloomfield",2
"7088","Bridgeport",0.5
"7089","Bristol",2
"7097","Cromwell",1
"7098","Danbury",2
"7099","Darien",4
"7100","Derby",2.5
"7103","East Hartford",6.5
"7106","Easton",1
"7108","Enfield",1
"7109","Fairfield",3.5
"7110","Farmington",0.5
"7113","Greenwich",1
"7118","Hamden",5
"7119","Hartford",2.5
"7120","Madison",1
"7121","Manchester",3
"7122","Meriden",6.5
"7124","Middletown",2
"7125","Milford",0.5
"7128","New Britain",6.5
"7130","New Haven",4.5
"7131","New London",2.5
"7133","Newington",5
"7136","North Haven",0.5
"7137","Norwalk",2
"7138","Norwich",4.5
"7140","Orange",3.5
"7146","Redding",0.5
"7153","South Windsor",1.5
"7169","Stratford",6
"7173","Trumbull",4.5
"7175","Vernon",1.5
"7177","Waterbury",5
"7178","Waterford",0.5
"7181","West Hartford",3
"7182","West Haven",1
"7183","Weston",0.5
"7184","Westport",0.5
"7185","Wethersfield",6
"7188","Windsor",5
"7189","Windsor Locks",1.5
"7192","Woodbridge",4
