DepartmentName,edp_b_t,edp_b_p,edp_b,edp_b_diff,edp_b_ratio
Ansonia,"1,782",14.48%,9.43%,5.05%,1.54
Avon,332,7.83%,3.31%,4.52%,2.36
Berlin,"2,167",8.77%,3.47%,5.30%,2.53
Bethel,"1,290",6.82%,2.79%,4.03%,2.45
Bloomfield,"1,874",41.09%,32.40%,8.69%,1.27
Branford,"1,660",4.76%,3.91%,0.85%,1.22
Bridgeport,"2,205",34.60%,26.63%,7.97%,1.30
Bristol,"2,049",6.30%,3.83%,2.47%,1.64
Brookfield,642,2.96%,2.43%,0.53%,1.22
Canton,587,1.53%,1.30%,0.23%,1.18
Cheshire,"2,297",8.27%,3.73%,4.54%,2.22
Clinton,746,2.14%,1.25%,0.89%,1.72
Coventry,478,2.09%,1.15%,0.94%,1.81
Cromwell,519,10.60%,5.33%,5.27%,1.99
Danbury,"1,729",7.46%,6.15%,1.32%,1.21
Darien,"1,045",10.62%,3.29%,7.33%,3.23
Derby,836,14.00%,6.77%,7.22%,2.07
East Hampton,166,1.20%,1.43%,-0.23%,0.84
East Hartford,"3,805",37.16%,17.09%,20.07%,2.17
East Haven,814,6.27%,4.14%,2.12%,1.51
East Windsor,348,11.21%,7.59%,3.62%,1.48
Easton,172,5.81%,1.07%,4.74%,5.42
Enfield,"1,160",7.07%,4.10%,2.97%,1.72
Fairfield,"3,403",15.90%,5.03%,10.86%,3.16
Farmington,"1,451",6.20%,5.77%,0.43%,1.07
Glastonbury,"1,462",6.09%,4.13%,1.96%,1.47
Granby,383,2.87%,2.17%,0.70%,1.32
Greenwich,"2,399",6.29%,5.77%,0.53%,1.09
Groton City,507,7.30%,5.25%,2.05%,1.39
Groton Long Point,23,0.00%,5.25%,-5.25%,0.00
Groton Town,"1,622",9.56%,5.25%,4.31%,1.82
Guilford,"1,073",1.49%,1.80%,-0.31%,0.83
Hamden,"2,040",28.87%,16.12%,12.75%,1.79
Hartford,"2,805",34.33%,21.02%,13.31%,1.63
Madison,"1,221",2.54%,1.41%,1.13%,1.80
Manchester,"1,613",18.10%,9.72%,8.38%,1.86
Meriden,"1,054",12.05%,7.63%,4.42%,1.58
Middlebury,89,0.00%,2.42%,-2.42%,0.00
Middletown,900,15.67%,9.72%,5.95%,1.61
Milford,"1,000",10.50%,5.47%,5.03%,1.92
Monroe,"1,991",4.07%,2.89%,1.18%,1.41
Naugatuck,"1,737",7.66%,4.71%,2.95%,1.63
New Britain,"2,916",16.26%,9.81%,6.44%,1.66
New Canaan,"2,297",4.88%,3.24%,1.64%,1.51
New Haven,"4,564",36.64%,22.73%,13.91%,1.61
New London,485,13.20%,11.49%,1.71%,1.15
New Milford,"1,734",3.46%,2.22%,1.24%,1.56
Newington,"1,283",11.38%,5.19%,6.19%,2.19
Newtown,"4,126",4.46%,1.74%,2.72%,2.57
North Branford,364,3.30%,2.93%,0.36%,1.12
North Haven,638,11.44%,6.38%,5.06%,1.79
Norwalk,"1,766",16.31%,12.07%,4.23%,1.35
Norwich,"2,217",18.40%,7.47%,10.94%,2.46
Old Saybrook,988,2.63%,1.63%,1.01%,1.62
Orange,"1,724",14.91%,5.84%,9.07%,2.55
Plainfield,374,2.41%,1.51%,0.90%,1.60
Plainville,"1,005",6.87%,4.12%,2.74%,1.66
Plymouth,635,2.83%,0.64%,2.20%,4.43
Portland,60,5.00%,2.50%,2.50%,2.00
Putnam,254,1.57%,1.88%,-0.31%,0.84
Redding,815,5.28%,0.91%,4.37%,5.81
Ridgefield,"3,206",3.49%,3.45%,0.05%,1.01
Rocky Hill,"1,299",9.31%,5.84%,3.48%,1.60
Seymour,938,3.94%,3.34%,0.61%,1.18
Shelton,157,5.73%,5.03%,0.70%,1.14
Simsbury,"1,309",4.58%,3.34%,1.24%,1.37
South Windsor,"1,332",13.59%,5.56%,8.03%,2.44
Southington,"1,419",1.48%,2.63%,-1.15%,0.56
Stamford,173,9.25%,11.85%,-2.61%,0.78
Stonington,824,1.94%,1.73%,0.21%,1.12
Stratford,577,27.38%,12.06%,15.33%,2.27
Suffield,420,5.00%,2.72%,2.28%,1.84
Thomaston,198,2.02%,1.54%,0.48%,1.31
Torrington,"1,617",2.97%,2.83%,0.14%,1.05
Trumbull,953,17.52%,6.02%,11.50%,2.91
Vernon,819,8.18%,5.27%,2.91%,1.55
Wallingford,"2,834",8.05%,3.64%,4.40%,2.21
Waterbury,"1,002",25.05%,14.33%,10.72%,1.75
Waterford,"1,280",10.08%,3.90%,6.17%,2.58
Watertown,564,5.50%,3.01%,2.49%,1.83
West Hartford,"3,030",13.76%,7.77%,5.99%,1.77
West Haven,997,25.78%,16.36%,9.41%,1.58
Weston,152,11.18%,2.09%,9.10%,5.35
Westport,"1,989",10.66%,5.21%,5.44%,2.04
Wethersfield,"1,310",15.95%,4.90%,11.05%,3.26
Willimantic,711,4.36%,4.17%,0.19%,1.04
Wilton,"1,360",6.18%,4.23%,1.94%,1.46
Winchester,209,2.39%,1.40%,1.00%,1.71
Windsor,"1,849",36.83%,20.40%,16.43%,1.81
Windsor Locks,713,13.46%,7.14%,6.33%,1.89
Wolcott,158,4.43%,2.44%,1.99%,1.82
Woodbridge,620,23.39%,4.72%,18.67%,4.96
