DepartmentName,edp_h_t,edp_h_p,edp_h,edp_h_diff,edp_h_ratio
Ansonia,"1,782",11.84%,13.44%,-1.60%,0.88
Avon,332,6.33%,4.72%,1.61%,1.34
Berlin,"2,167",11.72%,6.49%,5.23%,1.81
Bethel,"1,290",13.26%,8.30%,4.95%,1.60
Bloomfield,"1,874",6.72%,8.28%,-1.55%,0.81
Branford,"1,660",7.47%,5.53%,1.94%,1.35
Bridgeport,"2,205",27.26%,30.54%,-3.28%,0.89
Bristol,"2,049",11.03%,7.99%,3.04%,1.38
Brookfield,642,7.94%,6.24%,1.70%,1.27
Canton,587,1.70%,3.39%,-1.68%,0.50
Cheshire,"2,297",5.75%,5.99%,-0.24%,0.96
Clinton,746,5.90%,5.26%,0.63%,1.12
Coventry,478,3.77%,2.71%,1.06%,1.39
Cromwell,519,5.78%,6.40%,-0.61%,0.90
Danbury,"1,729",23.71%,19.40%,4.31%,1.22
Darien,"1,045",15.41%,7.65%,7.76%,2.01
Derby,836,12.44%,12.13%,0.31%,1.03
East Hampton,166,1.20%,2.45%,-1.25%,0.49
East Hartford,"3,805",25.41%,17.84%,7.57%,1.42
East Haven,814,11.55%,9.08%,2.47%,1.27
East Windsor,348,6.32%,7.00%,-0.68%,0.90
Easton,172,9.30%,3.68%,5.63%,2.53
Enfield,"1,160",6.47%,6.04%,0.43%,1.07
Fairfield,"3,403",14.52%,7.92%,6.59%,1.83
Farmington,"1,451",6.55%,7.91%,-1.36%,0.83
Glastonbury,"1,462",5.88%,5.90%,-0.02%,1.00
Granby,383,2.09%,2.66%,-0.57%,0.79
Greenwich,"2,399",18.38%,12.70%,5.68%,1.45
Groton City,507,11.24%,7.13%,4.11%,1.58
Groton Long Point,23,0.00%,7.13%,-7.13%,0.00
Groton Town,"1,622",7.27%,7.13%,0.15%,1.02
Guilford,"1,073",3.73%,3.94%,-0.21%,0.95
Hamden,"2,040",9.22%,8.51%,0.70%,1.08
Hartford,"2,805",22.25%,23.75%,-1.51%,0.94
Madison,"1,221",4.18%,2.85%,1.32%,1.46
Manchester,"1,613",12.09%,10.04%,2.05%,1.20
Meriden,"1,054",33.68%,20.74%,12.94%,1.62
Middlebury,89,8.99%,5.31%,3.68%,1.69
Middletown,900,8.89%,7.71%,1.18%,1.15
Milford,"1,000",7.90%,7.63%,0.27%,1.04
Monroe,"1,991",6.48%,5.93%,0.55%,1.09
Naugatuck,"1,737",10.71%,8.50%,2.21%,1.26
New Britain,"2,916",39.81%,25.89%,13.92%,1.54
New Canaan,"2,297",10.84%,5.98%,4.87%,1.81
New Haven,"4,564",20.64%,18.64%,2.00%,1.11
New London,485,20.21%,18.71%,1.50%,1.08
New Milford,"1,734",10.50%,6.13%,4.37%,1.71
Newington,"1,283",17.07%,8.66%,8.41%,1.97
Newtown,"4,126",5.21%,4.37%,0.84%,1.19
North Branford,364,3.85%,4.00%,-0.15%,0.96
North Haven,638,6.58%,7.26%,-0.67%,0.91
Norwalk,"1,766",16.93%,19.85%,-2.92%,0.85
Norwich,"2,217",13.04%,9.43%,3.61%,1.38
Old Saybrook,988,4.66%,4.42%,0.23%,1.05
Orange,"1,724",12.24%,7.25%,4.99%,1.69
Plainfield,374,4.55%,3.82%,0.73%,1.19
Plainville,"1,005",10.35%,7.28%,3.06%,1.42
Plymouth,635,4.57%,3.28%,1.29%,1.39
Portland,60,0.00%,3.46%,-3.46%,0.00
Putnam,254,0.79%,3.45%,-2.66%,0.23
Redding,815,8.10%,3.65%,4.44%,2.22
Ridgefield,"3,206",10.61%,7.86%,2.75%,1.35
Rocky Hill,"1,299",7.39%,7.41%,-0.02%,1.00
Seymour,938,5.76%,6.64%,-0.88%,0.87
Shelton,157,5.10%,7.99%,-2.89%,0.64
Simsbury,"1,309",3.13%,4.45%,-1.31%,0.70
South Windsor,"1,332",9.91%,5.92%,3.99%,1.67
Southington,"1,419",5.21%,4.93%,0.29%,1.06
Stamford,173,15.03%,20.11%,-5.08%,0.75
Stonington,824,2.43%,3.27%,-0.85%,0.74
Stratford,577,19.06%,12.59%,6.48%,1.51
Suffield,420,1.43%,3.85%,-2.42%,0.37
Thomaston,198,3.54%,4.21%,-0.68%,0.84
Torrington,"1,617",7.36%,7.08%,0.28%,1.04
Trumbull,953,16.05%,8.51%,7.54%,1.89
Vernon,819,6.59%,5.96%,0.63%,1.11
Wallingford,"2,834",10.16%,8.59%,1.57%,1.18
Waterbury,"1,002",25.55%,22.61%,2.94%,1.13
Waterford,"1,280",10.16%,6.21%,3.95%,1.64
Watertown,564,5.50%,5.56%,-0.06%,0.99
West Hartford,"3,030",16.14%,10.22%,5.92%,1.58
West Haven,997,17.55%,15.13%,2.42%,1.16
Weston,152,4.61%,4.18%,0.42%,1.10
Westport,"1,989",8.55%,8.24%,0.31%,1.04
Wethersfield,"1,310",25.19%,8.59%,16.60%,2.93
Willimantic,711,24.75%,22.83%,1.92%,1.08
Wilton,"1,360",11.76%,7.44%,4.32%,1.58
Winchester,209,2.39%,4.60%,-2.21%,0.52
Windsor,"1,849",8.44%,8.80%,-0.37%,0.96
Windsor Locks,713,6.45%,7.39%,-0.94%,0.87
Wolcott,158,8.23%,4.24%,3.99%,1.94
Woodbridge,620,8.87%,5.53%,3.34%,1.60
