DepartmentName,fbi_name,population,total_leo,total_officers,total_civilians,violent_crime,murder_manslaughter,rape,robbery,aggravated_robbery,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,leo_per_capita,officers_per_capita,civ_per_capita,violent_crime_pc,murder_manslaughter_pc,rape_pc,robbery_pc,aggravated_robbery_pc,property_crime_pc,burglary_pc,larceny_theft_pc,motor_vehicle_theft_pc,arson_pc
Ansonia,Ansonia,18964,54,46,8,36,0,6,18,12,372,62,280,30,2,28.48,24.26,4.22,18.98,0,3.16,9.49,6.33,196.16,32.69,147.65,15.82,1.05
Avon,Avon,18441,39,31,8,2,0,1,0,1,170,20,142,8,1,21.15,16.81,4.34,1.08,0,0.54,0,0.54,92.19,10.85,77,4.34,0.54
Berlin,Berlin,20767,55,42,13,11,0,3,1,7,298,57,222,19,3,26.48,20.22,6.26,5.3,0,1.44,0.48,3.37,143.5,27.45,106.9,9.15,1.44
Bethel,Bethel,19425,49,37,12,0,0,0,0,0,164,22,135,7,0,25.23,19.05,6.18,0,0,0,0,0,84.43,11.33,69.5,3.6,0
Bloomfield,Bloomfield,20718,61,48,13,39,0,6,12,21,503,79,402,22,1,29.44,23.17,6.27,18.82,0,2.9,5.79,10.14,242.78,38.13,194.03,10.62,0.48
Branford,Branford,27977,62,50,12,25,1,0,8,16,661,54,584,23,1,22.16,17.87,4.29,8.94,0.36,0,2.86,5.72,236.27,19.3,208.74,8.22,0.36
Bridgeport,Bridgeport,147822,442,389,53,1338,11,92,546,689,4285,1129,2402,754,32,29.9,26.32,3.59,90.51,0.74,6.22,36.94,46.61,289.88,76.38,162.49,51.01,2.16
Bristol,Bristol,60590,146,122,24,72,3,11,35,23,1513,335,1079,99,5,24.1,20.14,3.96,11.88,0.5,1.82,5.78,3.8,249.71,55.29,178.08,16.34,0.83
Brookfield,Brookfield,16957,43,33,10,3,0,0,2,1,162,19,139,4,0,25.36,19.46,5.9,1.77,0,0,1.18,0.59,95.54,11.2,81.97,2.36,0
Canton,Canton,10372,20,15,5,2,0,1,1,0,72,11,61,0,0,19.28,14.46,4.82,1.93,0,0.96,0.96,0,69.42,10.61,58.81,0,0
CAPITOL POLICE,State Capitol Police,,,,,1,0,0,1,0,4,0,4,0,0,,,,,,,,,,,,,
