RE,ethnicity,InterventionDate,timeofday,InterventionLocationLatitude,InterventionLocationLongitude,time,
Hispanic,Minority,"Sunday, February 23, 2014",1/1/14 0:00,41.67138889,-72.76583333,00:00,
Hispanic,Minority,"Wednesday, January 15, 2014",1/1/14 0:00,41.65755556,-72.77455556,00:00,
Black,Minority,"Tuesday, March 25, 2014",1/1/14 0:00,41.38261111,-72.02913889,00:00,
Hispanic,Minority,"Monday, May 05, 2014",1/1/14 0:01,41.67833333,-72.78586111,00:01,
Black,Minority,"Tuesday, January 21, 2014",1/1/14 0:01,41.67069444,-72.77694444,00:01,
White,White,"Tuesday, February 04, 2014",1/1/14 0:02,41.95519444,-72.79147222,00:02,
White,White,"Thursday, December 19, 2013",1/1/14 0:02,41.95111111,-72.78608333,00:02,
White,White,41561,1/1/14 0:02,41.787559,-72.52406,00:02,
Black,Minority,"Tuesday, December 31, 2013",1/1/14 0:02,41.77977778,-72.61841667,00:02,
White,White,41740,1/1/14 0:03,41.750168,-72.51881,00:03,
White,White,"Thursday, December 19, 2013",1/1/14 0:03,41.65705556,-72.7745,00:03,
Black,Minority,"Thursday, June 12, 2014",1/1/14 0:03,41.55263889,-73.03963889,00:03,
White,White,"Wednesday, February 12, 2014",1/1/14 0:03,41.38672222,-72.02733333,00:03,
White,White,41573,1/1/14 0:05,41.785545,-72.536968,00:05,
Hispanic,Minority,"Tuesday, November 26, 2013",1/1/14 0:05,41.78358333,-72.60602778,00:05,
White,White,"Wednesday, November 13, 2013",1/1/14 0:05,41.37005556,-71.98169444,00:05,
White,White,"Saturday, March 29, 2014",1/1/14 0:06,41.95327778,-72.79125,00:06,
White,White,"Sunday, April 13, 2014",1/1/14 0:06,41.93608333,-72.79147222,00:06,
White,White,"Thursday, June 05, 2014",1/1/14 0:06,41.66425,-72.80136111,00:06,
Black,Minority,"Saturday, May 31, 2014",1/1/14 0:06,41.55841667,-73.04080556,00:06,
White,White,"Tuesday, November 12, 2013",1/1/14 0:06,41.3635,-71.98083333,00:06,
White,White,"Sunday, May 18, 2014",1/1/14 0:07,41.95277778,-72.88452778,00:07,
White,White,"Thursday, July 17, 2014",1/1/14 0:07,41.219265,-73.134665,00:07,
Black,Minority,"Friday, April 18, 2014",1/1/14 0:09,41.37225,-72.07169444,00:09,
White,White,"Monday, September 22, 2014",1/1/14 0:10,41.99216667,-72.799,00:10,
White,White,"Thursday, May 29, 2014",1/1/14 0:10,41.38108333,-72.03613889,00:10,
White,White,"Wednesday, February 12, 2014",1/1/14 0:10,41.3565,-71.97786111,00:10,
Black,Minority,"Thursday, May 29, 2014",1/1/14 0:11,41.67383333,-72.77705556,00:11,
White,White,"Thursday, November 14, 2013",1/1/14 0:11,41.37538889,-71.97775,00:11,
Black,Minority,"Sunday, June 29, 2014",1/1/14 0:11,41.409731,-72.900507,00:11,
White,White,"Wednesday, November 13, 2013",1/1/14 0:12,42.00447222,-72.84133333,00:12,
White,White,"Monday, November 11, 2013",1/1/14 0:12,41.95391667,-72.78855556,00:12,
Hispanic,Minority,"Sunday, May 04, 2014",1/1/14 0:13,41.67827778,-72.78569444,00:13,
Hispanic,Minority,"Thursday, June 19, 2014",1/1/14 0:14,41.66641667,-72.80666667,00:14,
Black,Minority,"Friday, February 21, 2014",1/1/14 0:15,41.67861111,-72.80436111,00:15,
White,White,"Friday, September 19, 2014",1/1/14 0:15,41.65297222,-72.80266667,00:15,
White,White,"Tuesday, July 08, 2014",1/1/14 0:15,41.35419444,-71.97788889,00:15,
Black,Minority,"Monday, May 26, 2014",1/1/14 0:16,41.55341667,-73.04122222,00:16,
White,White,"Tuesday, October 15, 2013",1/1/14 0:17,41.9535,-72.78294444,00:17,
Hispanic,Minority,"Tuesday, July 29, 2014",1/1/14 0:18,41.54658333,-73.01094444,00:18,
Hispanic,Minority,"Saturday, November 09, 2013",1/1/14 0:18,41.36986111,-72.07108333,00:18,
White,White,41824,1/1/14 0:19,41.77993,-72.521504,00:19,
White,White,41779,1/1/14 0:19,41.772324,-72.538007,00:19,
White,White,"Wednesday, October 09, 2013",1/1/14 0:19,41.68458333,-72.80008333,00:19,
Hispanic,Minority,"Thursday, November 14, 2013",1/1/14 0:20,41.679,-72.81052778,00:20,
Hispanic,Minority,"Wednesday, July 30, 2014",1/1/14 0:20,41.67841667,-72.76894444,00:20,
Hispanic,Minority,"Tuesday, October 15, 2013",1/1/14 0:20,41.66658333,-72.80827778,00:20,
Black,Minority,"Tuesday, October 29, 2013",1/1/14 0:21,41.38152778,-72.03505556,00:21,
White,White,"Saturday, March 29, 2014",1/1/14 0:22,41.95391667,-72.78855556,00:22,
White,White,"Friday, December 27, 2013",1/1/14 0:22,41.9535,-72.78294444,00:22,
Hispanic,Minority,"Thursday, January 16, 2014",1/1/14 0:22,41.68180556,-72.768,00:22,
Hispanic,Minority,"Wednesday, October 09, 2013",1/1/14 0:22,41.66861111,-72.8105,00:22,
White,White,"Sunday, June 08, 2014",1/1/14 0:22,41.36486111,-72.06794444,00:22,
White,White,"Saturday, November 30, 2013",1/1/14 0:23,41.96755556,-72.79352778,00:23,
Black,Minority,"Monday, May 05, 2014",1/1/14 0:23,41.436903,-72.908885,00:23,
White,White,"Wednesday, July 30, 2014",1/1/14 0:24,41.66808333,-72.76547222,00:24,
White,White,"Wednesday, July 09, 2014",1/1/14 0:24,41.38152778,-72.03505556,00:24,
White,White,"Thursday, October 31, 2013",1/1/14 0:25,41.38744444,-72.079,00:25,
White,White,"Thursday, April 24, 2014",1/1/14 0:25,41.38152778,-72.03505556,00:25,
White,White,"Tuesday, July 15, 2014",1/1/14 0:25,41.35069444,-71.97730556,00:25,
White,White,41814,1/1/14 0:26,41.763866,-72.521885,00:26,
White,White,"Thursday, January 30, 2014",1/1/14 0:26,41.39522222,-72.08058333,00:26,
White,White,"Thursday, November 07, 2013",1/1/14 0:27,41.67344444,-72.81063889,00:27,
White,White,"Thursday, November 14, 2013",1/1/14 0:27,41.37538889,-71.97775,00:27,
Hispanic,Minority,"Tuesday, May 13, 2014",1/1/14 0:27,41.345044,-72.918313,00:27,
Hispanic,Minority,"Friday, March 07, 2014",1/1/14 0:28,41.99255556,-72.79872222,00:28,
White,White,"Friday, May 23, 2014",1/1/14 0:28,41.9535,-72.78294444,00:28,
Hispanic,Minority,"Tuesday, November 26, 2013",1/1/14 0:28,41.69136111,-72.80452778,00:28,
Hispanic,Minority,"Saturday, May 10, 2014",1/1/14 0:28,41.67461111,-72.78394444,00:28,
Black,Minority,"Tuesday, July 08, 2014",1/1/14 0:29,41.78358333,-72.61291667,00:29,
Black,Minority,"Monday, May 12, 2014",1/1/14 0:29,41.55361111,-73.02783333,00:29,
White,White,"Monday, November 18, 2013",1/1/14 0:29,41.38672222,-72.02733333,00:29,
Black,Minority,41865,1/1/14 0:30,41.795891,-72.559332,00:30,
Hispanic,Minority,41578,1/1/14 0:30,41.774608,-72.523755,00:30,
White,White,"Thursday, November 14, 2013",1/1/14 0:30,41.67130556,-72.81530556,00:30,
Hispanic,Minority,"Thursday, July 17, 2014",1/1/14 0:30,41.67080556,-72.77683333,00:30,
Black,Minority,"Wednesday, July 16, 2014",1/1/14 0:30,41.66775,-72.78083333,00:30,
Black,Minority,"Thursday, January 23, 2014",1/1/14 0:30,41.38277778,-72.02744444,00:30,
White,White,"Monday, April 28, 2014",1/1/14 0:30,41.36983333,-72.07111111,00:30,
White,White,"Monday, February 24, 2014",1/1/14 0:30,41.35419444,-71.97788889,00:30,
White,White,"Tuesday, May 27, 2014",1/1/14 0:30,41.35016667,-72.05613889,00:30,
Black,Minority,"Friday, November 22, 2013",1/1/14 0:32,41.357653,-72.897457,00:32,
White,White,"Thursday, February 27, 2014",1/1/14 0:33,41.95636111,-72.83977778,00:33,
White,White,"Wednesday, February 12, 2014",1/1/14 0:33,41.38277778,-72.02744444,00:33,
Hispanic,Minority,"Friday, April 04, 2014",1/1/14 0:33,41.3765,-72.9169,00:33,
Black,Minority,41872,1/1/14 0:34,41.785618,-72.523693,00:34,
Black,Minority,"Saturday, January 11, 2014",1/1/14 0:34,41.67127778,-72.80494444,00:34,
White,White,"Thursday, September 25, 2014",1/1/14 0:34,41.65238889,-72.80833333,00:34,
White,White,"Friday, April 25, 2014",1/1/14 0:34,41.36044444,-71.97936111,00:34,
Hispanic,Minority,"Tuesday, May 06, 2014",1/1/14 0:35,41.76313889,-72.62383333,00:35,
White,White,"Monday, May 05, 2014",1/1/14 0:35,41.67833333,-72.78586111,00:35,
White,White,"Wednesday, October 23, 2013",1/1/14 0:35,41.67191667,-72.81052778,00:35,
White,White,"Tuesday, December 31, 2013",1/1/14 0:35,41.67130556,-72.81530556,00:35,
