DepartmentName,hispanic_p,h_t_s_diff,hispanic_16,h_t_s_pop_diff,h_distance,resident_h_p_r
Ansonia,12.20%,-0.26%,14.03%,2.12%,-2.38%,68.10%
Avon,6.10%,-6.36%,2.76%,-9.15%,2.80%,87.64%
Berlin,13.35%,0.89%,2.67%,-9.24%,10.13%,94.04%
Bethel,11.95%,-0.51%,6.65%,-5.26%,4.75%,77.52%
Bloomfield,7.23%,-5.23%,4.78%,-7.13%,1.90%,78.89%
Branford,7.06%,-5.40%,3.45%,-8.46%,3.07%,81.13%
Bridgeport,28.09%,15.63%,36.20%,24.29%,-8.66%,13.91%
Bristol,12.41%,-0.05%,7.65%,-4.26%,4.21%,52.00%
Brookfield,7.55%,-4.91%,3.79%,-8.12%,3.21%,82.35%
Canton,1.78%,-10.68%,1.94%,-9.97%,-0.71%,81.48%
State Capitol Police*,22.94%,10.48%,41.02%,29.11%,-18.62%,45.28%
Central CT State University*,13.54%,1.08%,31.75%,19.84%,-18.77%,51.95%
Cheshire,5.41%,-7.05%,2.35%,-9.56%,2.51%,91.23%
Clinton,7.35%,-5.11%,4.41%,-7.50%,2.38%,49.07%
Coventry,3.65%,-8.81%,2.21%,-9.70%,0.90%,83.61%
Cromwell,5.66%,-6.80%,3.90%,-8.01%,1.21%,85.59%
Danbury,25.56%,13.10%,23.25%,11.34%,1.76%,72.09%
Darien,15.93%,3.47%,3.49%,-8.42%,11.88%,95.35%
Derby,12.65%,0.19%,12.37%,0.46%,-0.27%,70.06%
Department of Motor Vehicle*,11.49%,-0.97%,N/A,N/A,N/A,88.60%
East Hampton,2.63%,-9.83%,2.02%,-9.89%,0.06%,66.67%
East Hartford,26.56%,14.10%,22.91%,11.00%,3.10%,43.55%
East Haven,14.50%,2.04%,8.43%,-3.48%,5.51%,68.90%
East Windsor,6.81%,-5.65%,4.34%,-7.57%,1.92%,84.72%
Easton,7.92%,-4.54%,2.56%,-9.35%,4.81%,93.48%
Eastern CT State University*,8.08%,-4.38%,28.88%,16.97%,-21.35%,50.00%
Enfield,7.28%,-5.18%,4.00%,-7.91%,2.73%,53.54%
Fairfield,14.91%,2.45%,4.51%,-7.40%,9.85%,91.54%
Farmington,8.37%,-4.09%,3.20%,-8.71%,4.62%,89.05%
Glastonbury,8.34%,-4.12%,3.60%,-8.31%,4.19%,72.95%
Granby,2.52%,-9.94%,1.39%,-10.52%,0.58%,84.62%
Greenwich,18.41%,5.95%,9.15%,-2.76%,8.71%,83.32%
Groton City**,13.84%,1.38%,11.80%,-0.11%,1.49%,56.12%
