"","DepartmentName","minority_dark","white_dark","minority_light","white_light","Asian","Black","hispanic","Indian","middle.eastern","White.x","total","min","asian_p","indian_p","mid_e_p","white_p","min_p","infraction_ticket","misdemeanor_summons","no_disposition","uniform_arrest","verbal_warning","written_warning","infraction_ticket_p","misdemeanor_summons_p","no_disposition_p","uniform_arrest_p","verbal_warning_p","written_warning_p","F","M","male_p","female_p","average_age","median_age","y16_21","y22_27","y28_31","y32_37","y38_41","y42_47","y48_51","y52_57","y58_61","y62_67","y68_71","y72_77","y78_81","y82_","y16_21_p","y22_27_p","y28_31_p","y32_37_p","y38_41_p","y42_47_p","y48_51_p","y52_57_p","y58_61_p","y62_67_p","y68_71_p","y72_77_p","y78_81_p","y82_p","CellPhone","DefectiveLights","DisplayofPlates","EquipmentViolation","MovingViolation","Other","Registration","Seatbelt","SpeedRelated","StopSign","SuspendedLicense","TrafficControlSignal","WindowTint","CellPhone_p","DefectiveLights_p","DisplayofPlates_p","EquipmentViolation_p","MovingViolation_p","Other_p","Registration_p","Seatbelt_p","SpeedRelated_p","StopSign_p","SuspendedLicense_p","TrafficControlSignal_p","WindowTint_p","October","November","December","January","February","March","April","May","June","July","August","September","Sun","Mon","Tues","Wed","Thurs","Fri","Sat","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","not.resident","resident","resident_p","not.resident_p","not.resident_b_p","resident_b_p","not.resident_h_p","resident_h_p","not.resident_m_p","resident_m_p","not.searched","not.searched_p","Minority.x","White.y","blind.enforcement","general.enforcement","spot.check","general.enforcement_p","blind.enforcement_p","spot.check_p","Minority.y","White.x.1","Minority","White.y.1","fbi_name","population","total_leo","total_officers","total_civilians","violent_crime","murder_manslaughter","rape","robbery","aggravated_robbery","property_crime","burglary","larceny_theft","motor_vehicle_theft","arson","leo_per_capita","officers_per_capita","civ_per_capita","violent_crime_pc","murder_manslaughter_pc","rape_pc","robbery_pc","aggravated_robbery_pc","property_crime_pc","burglary_pc","larceny_theft_pc","motor_vehicle_theft_pc","arson_pc","Black_total","black_over_15_men","black_over_15_women","black_over_15","Hispanic_total","hispanic_over_15_men","hispanic_over_15_women","hispanic_over_15","White_total","white_over_15_men","white_over_15_women","white_over_15","ct_over_15_men","ct_over_15_women","ct_over_15","minorities_over_15","white_over_15_p","black_over_15_p","hispanic_over_15_p","minorities_over_15_p","edp_m_s","edp_b_s","edp_h_s","searched","searched_p","hispanic_p","h_t_s_diff","hispanic_16","h_t_s_pop_diff","h_distance","resident_h_p_r","minorities_p","m_t_s_diff","minorities_16","m_t_s_pop_diff","m_distance","resident_m_p_r","black_p","b_t_s_diff","black_16","b_t_s_pop_diff","b_distance","resident_b_p_r","edp_b_t","edp_b_p","edp_b","edp_b_diff","edp_b_ratio","edp_h_t","edp_h_p","edp_h","edp_h_diff","edp_h_ratio","edp_m_t","edp_m_p","edp_m","edp_m_diff","edp_m_ratio","residents_total","b_res","b_res_total","b_res_stops","res_diff_b","res_ratio_b","h_res","h_res_total","h_res_stops","res_diff_h","res_ratio_h","m_res","m_res_total","m_res_stops","res_diff_m","res_ratio_m","m_coeff","b_coeff","h_coeff","b_h_coeff","m_coeff_mv","b_coeff_mv","h_coeff_mv","b_h_coeff_mv","m_kpt_diff","b_kpt_diff","h_kpt_diff","b_h_kpt_diff","m_kpt_pv","b_kpt_pv","h_kpt_pv","b_h_kpt_pv","m_kpt_ess","b_kpt_ess","h_kpt_ess","b_h_kpt_ess","m_synth","b_synth","h_synth","b_h_synth"
"1","Ansonia",46.73,53.27,51.25,48.75,34,797,525,6,850,2368,4580,2212,0.74,0.13,18.56,51.7,48.3,1574,170,60,42,2719,15,34.37,3.71,1.31,0.92,59.37,0.33,1893,2687,58.67,41.33,37,34,508,884,556,649,364,505,328,352,160,157,48,41,15,13,11.09,19.3,12.14,14.17,7.95,11.03,7.16,7.69,3.49,3.43,1.05,0.9,0.33,0.28,694,555,121,19,194,302,140,92,1159,858,38,397,11,12.76,10.21,2.23,0.35,3.57,5.55,2.57,1.69,21.31,15.78,0.7,7.3,0.2,484,371,247,337,326,426,420,318,450,499,420,282,406,698,761,754,727,700,534,360,144,53,27,5,114,453,32,124,158,164,187,126,128,98,169,393,438,337,301,267,247,134,121,2878,1702,37.16,62.84,56.59,43.41,68.95,31.05,59.45,40.55,4429,96.7,2.07,1.22,1182,3379,19,73.78,25.81,0.41,0.2,0.22,10.87,14.93,"Ansonia",18964,54,46,8,36,0,6,18,12,372,62,280,30,2,28.48,24.26,4.22,18.98,0,3.16,9.49,6.33,196.16,32.69,147.65,15.82,1.05,1574,365,698,1063,4323,1596,1359,2955,12748,5280,5777,11057,7446,8046,15492,4435,58.31,5.61,15.58,23.39,27.1,14.48,11.84,151,3.3,12.2,-0.26,14.03,2.12,-2.38,68.1,30,0.64,25.62,0.39,0.24,61.37,16.66,2.6,9.74,0.62,1.98,56.69,1782,14.48,9.43,5.05,1.54,1782,11.84,13.44,-1.6,0.88,1782,27.1,25,2.1,1.08,14979,9.74,1700,19.41,9.67,1.99,14.03,1700,10.47,-3.56,0.75,25.62,1700,31.18,5.55,1.22,"-0.102","-0.063","-0.614***","-0.299**","-0.255","-0.22","-0.481*","-0.332*","9%","9%","-7%","2%","47%","51%","79%","100%","115","114","110","127","0.360***","0.279***","0.0581","0.222***"
"2","Avon",18.57,81.43,20.42,79.58,45,117,87,2,38,1170,1459,289,3.08,0.14,2.6,80.19,19.81,233,20,140,13,674,379,15.97,1.37,9.6,0.89,46.2,25.98,543,916,62.78,37.22,40,39,204,211,128,148,100,177,129,161,68,68,20,21,15,9,13.98,14.46,8.77,10.14,6.85,12.13,8.84,11.03,4.66,4.66,1.37,1.44,1.03,0.62,31,252,13,2,103,259,124,4,454,117,1,98,1,1.97,15.99,0.82,0.13,6.54,16.43,7.87,0.25,28.81,7.42,0.06,6.22,0.06,88,57,108,98,79,132,179,175,102,136,143,162,185,194,220,211,211,229,209,142,66,20,12,12,12,11,39,57,70,73,72,37,65,31,22,74,96,80,39,103,166,82,78,1048,411,28.17,71.83,88.03,11.97,87.36,12.64,76.12,23.88,1449,99.31,0.21,0.48,560,871,28,59.7,38.38,1.92,0.27,1.64,8.22,30.16,"Avon",18441,39,31,8,2,0,1,0,1,170,20,142,8,1,21.15,16.81,4.34,1.08,0,0.54,0,0.54,92.19,10.85,77,4.34,0.54,76,2,55,57,472,170,106,276,16018,6047,6858,12905,6821,7634,14455,1550,69.98,0.31,1.5,8.41,16.27,7.83,6.33,10,0.69,6.1,-6.36,2.76,-9.15,2.8,87.64,17.28,-12.08,9.82,-15.41,3.34,80.56,7.89,-6.17,1.41,-7.71,1.53,87.83,332,7.83,3.31,4.52,2.36,332,6.33,4.72,1.61,1.34,332,16.27,13.13,3.13,1.24,13855,1.41,411,3.41,1.99,2.41,2.76,411,2.68,-0.08,0.97,9.82,411,11.92,2.11,1.21,"-0.123","-1.001","-1.443**","-1.132*","0.533","0.635","-1.798*","0.088","25%","","","","100%","","","","10","","","","-0.704***","-0.420***","-0.817***","-0.749***"
"3","Berlin",23.4,76.6,34.44,65.56,77,603,749,13,129,4216,5787,1571,1.33,0.22,2.23,72.85,27.15,2664,275,112,21,907,1808,46.03,4.75,1.94,0.36,15.67,31.24,2152,3635,62.81,37.19,40,37,534,940,613,814,433,701,422,538,281,265,105,85,22,34,9.23,16.24,10.59,14.07,7.48,12.11,7.29,9.3,4.86,4.58,1.81,1.47,0.38,0.59,1282,412,132,6,433,501,491,418,972,240,63,833,4,21.27,6.84,2.19,0.1,7.18,8.31,8.15,6.94,16.13,3.98,1.05,13.82,0.07,349,470,422,345,218,522,892,681,394,563,577,354,478,715,854,945,1116,1043,636,449,186,63,16,18,60,124,82,186,214,395,350,234,267,180,272,692,542,394,209,185,151,141,377,4530,1257,21.72,78.28,94.53,5.47,94.13,5.87,92.68,7.32,5641,97.48,1.33,1.19,1092,3873,822,66.93,18.87,14.2,3.42,10.78,5.1,13.77,"Berlin",20767,55,42,13,11,0,3,1,7,298,57,222,19,3,26.48,20.22,6.26,5.3,0,1.44,0.48,3.37,143.5,27.45,106.9,9.15,1.44,197,54,45,99,569,224,280,504,18796,7759,7841,15600,8331,8453,16784,1184,75.12,0.48,2.43,5.7,22.24,8.77,11.72,145,2.51,13.35,0.89,2.67,-9.24,10.13,94.04,25.26,-4.1,5.76,-19.47,15.37,93.36,10.01,-4.05,0.65,-8.47,4.42,94.65,2167,8.77,3.47,5.3,2.53,2167,11.72,6.49,5.23,1.81,2167,22.24,12.83,9.41,1.73,16083,0.65,1256,2.47,1.82,3.78,2.67,1256,3.66,0.99,1.37,5.76,1256,7.72,1.96,1.34,"0.183","0.113","0.128","0.128","0.311","0.22","-0.21","-0.0285","","","","","","","","","","","","","-0.388***","-0.349***","-0.0681**","-0.255***"
"4","Bethel",20.41,79.59,21.19,78.81,69,196,383,NA,23,2575,3246,671,2.13,NA,0.71,79.33,20.67,979,59,8,15,409,1776,30.16,1.82,0.25,0.46,12.6,54.71,1259,1987,61.21,38.79,40,38,351,567,268,388,261,379,232,354,165,153,54,33,19,22,10.81,17.47,8.26,11.95,8.04,11.68,7.15,10.91,5.08,4.71,1.66,1.02,0.59,0.68,563,140,58,5,94,193,108,262,1060,411,11,311,30,15.4,3.83,1.59,0.14,2.57,5.28,2.95,7.16,28.99,11.24,0.3,8.5,0.82,259,237,209,233,171,300,465,603,145,219,293,112,282,497,489,545,537,522,374,49,72,22,4,7,34,104,100,331,474,322,179,129,224,193,41,145,210,194,84,74,118,112,24,2198,1048,32.29,67.71,85.71,14.29,77.55,22.45,78.69,21.31,3224,99.32,0.22,0.46,1033,1624,589,50.03,31.82,18.15,3.11,15.03,6.44,25.39,"Bethel",19425,49,37,12,0,0,0,0,0,164,22,135,7,0,25.23,19.05,6.18,0,0,0,0,0,84.43,11.33,69.5,3.6,0,293,138,103,241,1301,392,517,909,16233,6450,7059,13509,7469,8110,15579,2070,69.54,1.24,4.68,10.66,22.4,6.82,13.26,22,0.68,11.95,-0.51,6.65,-5.26,4.75,77.52,19.91,-9.45,13.49,-11.74,2.29,78.91,5.9,-8.16,1.74,-7.38,-0.78,85.86,1290,6.82,2.79,4.03,2.45,1290,13.26,8.3,4.95,1.6,1290,22.4,16.16,6.25,1.39,14675,1.74,1046,2.58,0.84,1.49,6.65,1046,8.32,1.67,1.25,13.49,1046,13,-0.49,0.96,"-0.473","-0.173","-0.144","-0.148","-0.503","-0.286","-0.227","-0.278","48%","48%","","59%","23%","23%","","3%","19","19","","22","-0.971***","-0.764***","0.156***","-0.308***"
"5","Bloomfield",53.87,46.13,72.85,27.15,30,2771,353,15,124,1958,5251,3293,0.57,0.29,2.36,37.29,62.71,1086,245,97,67,780,2976,20.68,4.67,1.85,1.28,14.85,56.67,1999,3252,61.93,38.07,40,37,485,1061,476,640,349,503,412,525,286,285,99,78,28,24,9.24,20.21,9.06,12.19,6.65,9.58,7.85,10,5.45,5.43,1.89,1.49,0.53,0.46,425,743,319,10,320,307,45,107,1271,636,24,1003,41,7.22,12.62,5.42,0.17,5.44,5.21,0.76,1.82,21.59,10.8,0.41,17.04,0.7,311,527,474,428,311,529,534,495,372,478,398,394,558,672,880,866,698,824,753,346,228,158,67,37,79,47,114,255,238,175,176,110,81,34,217,493,563,463,375,327,321,139,208,3532,1719,32.74,67.26,53.3,46.7,79.6,20.4,57.46,42.54,5101,97.14,2.36,0.5,20,4866,365,92.67,0.38,6.95,5.22,1.73,0.23,0.15,"Bloomfield",20718,61,48,13,39,0,6,12,21,503,79,402,22,1,29.44,23.17,6.27,18.82,0,2.9,5.79,10.14,242.78,38.13,194.03,10.62,0.48,11380,4710,5056,9766,1073,323,485,808,7026,3017,3681,6698,8303,9714,18017,11319,32.33,47.14,3.9,54.63,50.85,41.09,6.72,150,2.86,7.23,-5.23,4.78,-7.13,1.9,78.89,61.99,32.63,61.51,36.28,-3.65,57.16,52.2,38.14,54.76,45.64,-7.5,53.07,1874,41.09,32.4,8.69,1.27,1874,6.72,8.28,-1.55,0.81,1874,50.85,43.65,7.2,1.16,16982,54.76,1717,74.78,20.02,1.37,4.78,1717,4.66,-0.12,0.97,61.51,1717,81.07,19.56,1.32,"-0.539***","-0.571***","-0.49","-0.567***","-0.599***","-0.588**","-0.265","-0.579**","23%","23%","-25%","18%","28%","28%","90%","47%","34","34","15","37","2.569***","2.425***","0.283***","1.890***"
"6","Branford",11.47,88.53,17.11,82.89,10,268,344,4,10,4393,5029,636,0.2,0.08,0.2,87.35,12.65,3083,352,212,15,1364,3,61.3,7,4.22,0.3,27.12,0.06,2043,2986,59.38,40.62,42,41,332,727,494,672,319,642,394,583,288,290,124,91,30,43,6.6,14.46,9.82,13.36,6.34,12.77,7.83,11.59,5.73,5.77,2.47,1.81,0.6,0.86,887,188,39,3,293,511,1226,46,440,196,109,1074,17,16.98,3.6,0.75,0.06,5.61,9.78,23.46,0.88,8.42,3.75,2.09,20.56,0.33,543,472,436,303,323,337,508,444,407,459,488,309,240,388,835,988,913,913,752,80,130,74,47,11,42,314,323,185,382,495,506,459,342,302,171,193,199,185,159,131,126,110,63,3169,1860,36.99,63.01,78.73,21.27,81.1,18.9,79.72,20.28,4932,98.07,0.48,1.45,674,4352,3,86.54,13.4,0.06,NA,0.06,1.47,11.93,"Branford",27977,62,50,12,25,1,0,8,16,661,54,584,23,1,22.16,17.87,4.29,8.94,0.36,0,2.86,5.72,236.27,19.3,208.74,8.22,0.36,335,88,189,277,1467,473,437,910,24719,9911,11847,21758,11009,13166,24175,2417,77.77,0.99,3.25,8.64,12.53,4.76,7.47,97,1.93,7.06,-5.4,3.45,-8.46,3.07,81.13,12.56,-16.8,8.49,-16.74,-0.06,79.56,5.11,-8.95,1.76,-7.36,-1.59,78.6,1660,4.76,3.91,0.85,1.22,1660,7.47,5.53,1.94,1.35,1660,12.53,12.84,-0.31,0.98,23532,1.76,1858,2.96,1.2,1.68,3.45,1858,3.61,0.16,1.05,8.49,1858,6.94,-1.54,0.82,"0.006","-0.096","-0.297","-0.217","-0.362","-0.362","-0.782","-0.558","","","6%","13%","","","96%","32%","","","103","111","-1.253***","-1.332***","-0.779***","-1.015***"
"7","Bridgeport",62.36,37.64,78.44,21.56,68,2035,1538,11,85,1871,5608,3737,1.21,0.2,1.52,33.36,66.64,3643,339,32,67,1289,238,64.96,6.04,0.57,1.19,22.99,4.24,2031,3577,63.78,36.22,37,35,502,1121,684,850,636,606,325,402,167,185,63,38,12,17,8.95,19.99,12.2,15.16,11.34,10.81,5.8,7.17,2.98,3.3,1.12,0.68,0.21,0.3,1459,198,144,27,305,484,113,670,595,795,62,692,64,22.79,3.09,2.25,0.42,4.76,7.56,1.76,10.46,9.29,12.42,0.97,10.81,1,350,402,519,233,165,172,1070,907,475,345,687,283,364,807,839,1077,855,752,914,149,128,94,45,31,20,27,36,144,459,379,423,295,271,269,253,442,685,635,255,164,169,146,89,1318,4290,76.5,23.5,17.54,82.46,13.85,86.15,16.89,83.11,5131,91.49,7.29,1.21,200,4886,522,87.13,3.57,9.31,5.42,3.89,2.28,1.28,"Bridgeport",147822,442,389,53,1338,11,92,546,689,4285,1129,2402,754,32,29.9,26.32,3.59,90.51,0.74,6.22,36.94,46.61,289.88,76.38,162.49,51.01,2.16,53188,18019,22201,40220,57030,20689,21120,41809,31048,13733,14515,28248,55225,60326,115551,87303,19.11,27.21,28.28,59.06,63.72,34.6,27.26,476,8.5,28.09,15.63,36.2,24.29,-8.66,13.91,65.41,36.05,73.25,48.02,-11.97,16.75,35.61,21.55,31.82,22.7,-1.15,17.59,2205,34.6,26.63,7.97,1.3,2205,27.26,30.54,-3.28,0.89,2205,63.72,62.13,1.59,1.03,109401,31.82,4285,38.37,6.55,1.21,36.2,4285,31.62,-4.58,0.87,73.25,4285,71.2,-2.05,0.97,"-0.026","-0.058","-0.286","-0.123","-0.0705","-0.0966","-0.266","-0.141","4%","4%","5%","4%","39%","43%","30%","28%","183","177","144","258","1.388***","1.332***","1.249***","1.284***"
"8","Bristol",19.12,80.88,26.4,73.6,60,558,759,16,26,4832,6251,1419,0.96,0.26,0.42,77.3,22.7,2099,389,376,95,580,2712,33.58,6.22,6.02,1.52,9.28,43.39,2352,3899,62.37,37.63,37,34,781,1212,743,882,480,713,411,500,192,201,64,43,14,15,12.49,19.39,11.89,14.11,7.68,11.41,6.57,8,3.07,3.22,1.02,0.69,0.22,0.24,862,574,138,15,316,361,734,418,1491,617,107,602,16,12.55,8.36,2.01,0.22,4.6,5.26,10.69,6.09,21.71,8.98,1.56,8.77,0.23,382,605,443,432,330,588,832,676,483,519,641,320,565,707,763,810,1269,1266,871,390,235,121,47,28,57,108,70,169,243,279,215,118,106,83,180,552,543,614,515,502,499,316,261,3392,2859,45.74,54.26,54.3,45.7,52.04,47.96,53.42,46.58,6134,98.13,0.9,0.98,1306,4579,366,73.25,20.89,5.86,1.31,4.54,4.21,16.69,"Bristol",60590,146,122,24,72,3,11,35,23,1513,335,1079,99,5,24.1,20.14,3.96,11.88,0.5,1.82,5.78,3.8,249.71,55.29,178.08,16.34,0.83,1911,898,659,1557,6476,2287,1922,4209,49770,20028,22507,42535,24038,25893,49931,7396,70.2,2.57,6.95,12.21,18.45,6.3,11.03,117,1.87,12.41,-0.05,7.65,-4.26,4.21,52,22.36,-7,12.71,-12.52,5.52,53.37,8.7,-5.36,3.24,-5.88,0.52,54.51,2049,6.3,3.83,2.47,1.64,2049,11.03,7.99,3.04,1.38,2049,18.45,13.98,4.47,1.32,48439,3.24,2855,8.65,5.41,2.67,7.65,2855,13.03,5.38,1.7,12.71,2855,22.8,10.1,1.79,"0.164","0.078","0.073","0.071","-0.228","-0.282","0.590**","0.225","","","-16%","-4%","","","31%","89%","","","75","82","-0.593***","-0.613***","-0.153***","-0.356***"
"9","Brookfield",11.84,88.16,18.64,81.36,NA,96,151,34,15,1730,2026,296,NA,1.68,0.74,85.39,14.61,603,61,31,11,656,664,29.76,3.01,1.53,0.54,32.38,32.77,841,1185,58.49,41.51,41,40,220,333,165,200,150,263,158,227,119,90,40,33,13,15,10.86,16.44,8.14,9.87,7.4,12.98,7.8,11.2,5.87,4.44,1.97,1.63,0.64,0.74,567,272,20,3,173,64,69,44,481,145,13,174,1,26.12,12.53,0.92,0.14,7.97,2.95,3.18,2.03,22.16,6.68,0.6,8.01,0.05,202,139,148,105,90,145,291,166,167,135,270,168,220,284,278,335,286,266,357,121,71,38,12,11,37,32,28,81,100,124,95,72,86,64,99,181,173,115,87,117,164,66,52,1422,604,29.81,70.19,82.29,17.71,82.12,17.88,81.08,18.92,1995,98.47,0.49,1.04,212,1759,55,86.82,10.46,2.71,0.39,2.32,1.53,8.93,"Brookfield",16957,43,33,10,3,0,0,2,1,162,19,139,4,0,25.36,19.46,5.9,1.77,0,0,1.18,0.59,95.54,11.2,81.97,2.36,0,120,53,34,87,735,298,131,429,14684,5913,6331,12244,6704,6968,13672,1428,72.21,0.51,2.53,8.42,12.62,2.96,7.94,31,1.53,7.55,-4.91,3.79,-8.12,3.21,82.35,13.97,-15.39,8.11,-17.12,1.73,80.92,4.64,-9.42,1.05,-8.07,-1.35,81.91,642,2.96,2.43,0.53,1.22,642,7.94,6.24,1.7,1.27,642,12.62,12.32,0.3,1.02,12847,1.05,604,2.81,1.76,2.68,3.79,604,4.47,0.68,1.18,8.11,604,8.94,0.83,1.1,"0.327","0.127","0.501","0.419","0.617","0.916","0.427","0.414","","","","","","","","","","","","","-1.114***","-0.865***","-0.227***","-0.597***"
"10","Canton",4.42,95.58,8.77,91.23,10,51,14,23,NA,1420,1518,98,0.66,1.52,NA,93.54,6.46,410,54,52,19,851,132,27.01,3.56,3.43,1.25,56.06,8.7,528,990,65.22,34.78,38,36,280,229,122,151,89,164,122,145,75,66,25,27,8,15,18.45,15.09,8.04,9.95,5.86,10.8,8.04,9.55,4.94,4.35,1.65,1.78,0.53,0.99,175,118,4,5,168,163,30,29,573,103,8,137,5,10.8,7.28,0.25,0.31,10.36,10.06,1.85,1.79,35.35,6.35,0.49,8.45,0.31,80,136,95,116,57,89,231,99,104,224,168,119,129,293,171,229,197,324,175,89,62,39,25,13,12,12,44,87,81,53,37,36,37,23,94,135,116,81,87,123,129,58,45,1168,350,23.06,76.94,96.08,3.92,78.57,21.43,88.78,11.22,1494,98.42,0.13,1.45,185,1328,5,87.48,12.19,0.33,NA,0.33,0.26,11.92,"Canton",10372,20,15,5,2,0,1,1,0,72,11,61,0,0,19.28,14.46,4.82,1.93,0,0.96,0.96,0,69.42,10.61,58.81,0,0,51,42,9,51,625,303,263,566,9462,3664,4099,7763,4035,4463,8498,735,74.85,0.49,5.46,7.09,3.92,1.53,1.7,24,1.58,1.78,-10.68,1.94,-9.97,-0.71,81.48,6.46,-22.9,3.25,-21.98,-0.93,88.78,3.36,-10.7,0,-9.12,-1.58,96.08,587,1.53,1.3,0.23,1.18,587,1.7,3.39,-1.68,0.5,587,3.92,6.54,-2.62,0.6,7992,0,350,0.57,0.57,0,1.94,350,1.43,-0.51,0.74,3.25,350,3.14,-0.11,0.97,"1.183","9.264***","-0.285","-0.067","1.231","7.564*","0.482","0.0237","31%","22%","","31%","55%","90%","","55%","31","30","","31","-1.296***","-0.890***","-1.836***","-1.537***"
