geoid,name,B01001H001,B01001H002,B01001H003,B01001H004,B01001H005,sum,B01001H006,B01001H007,B01001H008,B01001H009,B01001H010,B01001H011,B01001H012,B01001H013,B01001H014,B01001H015,B01001H016,B01001H017,B01001H018,B01001H019,B01001H020,B01001H021,B01001H022,B01001H023,B01001H024,B01001H025,B01001H026,B01001H027,B01001H028,B01001H029,B01001H030,B01001H031
04000US09,Connecticut,2508360,1219993,53792,64350,74930,1026921,48613,34472,73611,67945,63248,147185,209007,186233,110592,60314,25701,1288367,50937,61483,70504,46004,33314,68721,65331,63650,152537,217231,195948,125004,82282,55421
06000US0900104720,"Bethel town, Fairfield County, CT",16233,7992,457,491,594,6450,386,278,343,522,296,1016,1493,988,651,369,108,8241,287,422,473,293,121,583,368,317,1201,1803,1217,631,326,199
06000US0900108070,"Bridgeport town, Fairfield County, CT",31048,15253,596,518,406,13733,263,458,1354,1651,1255,1864,1864,2294,1218,801,711,15795,408,543,329,281,634,954,1448,1223,1733,1969,2556,1399,1195,1123
06000US0900108980,"Brookfield town, Fairfield County, CT",14684,7302,363,433,593,5913,386,150,466,223,345,802,1385,1034,604,435,83,7382,286,318,447,309,121,526,238,316,817,1501,1110,810,439,144
06000US0900118500,"Danbury town, Fairfield County, CT",47009,22323,1146,985,881,19311,594,766,1241,1506,1746,3024,3529,3447,1994,919,545,24686,1184,909,1096,727,702,1608,1600,1570,2654,3835,3685,2484,1640,992
06000US0900118850,"Darien town, Fairfield County, CT",19287,9500,669,967,1165,6699,577,240,311,183,213,1380,1599,1207,535,352,102,9787,664,896,870,627,227,308,242,271,1446,1766,1067,777,459,167
06000US0900123890,"Easton town, Fairfield County, CT",6804,3287,125,315,247,2600,186,73,107,41,57,341,767,448,428,110,42,3517,213,228,382,133,97,52,34,88,414,632,587,353,180,124
06000US0900126620,"Fairfield town, Fairfield County, CT",52402,24896,1294,1828,2128,19646,1142,1186,1275,873,848,3125,4561,3208,1898,894,636,27506,1590,1690,1860,1034,1691,1495,713,1049,3394,4316,3558,2245,1684,1187
06000US0900133620,"Greenwich town, Fairfield County, CT",48312,23498,1583,1696,1715,18504,1093,529,952,838,892,2997,4398,3114,1961,1265,465,24814,1309,1632,1801,1113,428,830,667,919,3301,4698,3185,2379,1592,960
06000US0900148620,"Monroe town, Fairfield County, CT",17737,8596,272,555,923,6846,530,195,376,375,120,1152,1538,1421,685,375,79,9141,324,477,661,479,344,304,410,287,1261,1584,1422,781,622,185
06000US0900150580,"New Canaan town, Fairfield County, CT",18040,9071,523,929,1064,6555,667,201,197,159,141,1093,1596,1202,619,506,174,8969,399,574,836,703,255,286,150,122,1293,1679,1243,553,577,299
06000US0900150860,"New Fairfield town, Fairfield County, CT",12569,6173,193,333,561,5086,427,160,404,197,155,640,1315,782,664,254,88,6396,301,463,520,301,154,336,133,135,770,1392,988,523,279,101
06000US0900152980,"Newtown town, Fairfield County, CT",24546,11987,370,574,1248,9795,747,399,458,363,344,1397,2616,1710,957,653,151,12559,538,886,954,690,222,486,256,412,1767,2509,1658,1093,767,321
06000US0900156060,"Norwalk town, Fairfield County, CT",49037,23810,1220,873,1179,20538,586,315,1104,1236,1992,3228,4117,3787,2300,1333,540,25227,1263,997,857,449,276,957,1698,1738,3100,4057,4264,2653,1933,985
06000US0900163480,"Redding town, Fairfield County, CT",8513,4154,261,276,348,3269,155,197,109,126,146,264,793,672,460,229,118,4359,115,241,358,210,61,212,107,111,348,833,762,451,260,290
06000US0900163970,"Ridgefield town, Fairfield County, CT",22694,11178,496,1014,1236,8432,678,193,320,158,346,1360,2072,1800,778,620,107,11516,364,992,1081,592,240,330,140,492,1477,2365,1634,864,639,306
06000US0900168170,"Shelton town, Fairfield County, CT",36283,16797,741,667,1075,14314,658,424,921,865,849,1752,3054,2883,1731,799,378,19486,503,1073,1270,769,620,874,868,791,2286,3373,2879,2108,1099,973
06000US0900168310,"Sherman town, Fairfield County, CT",3448,1790,67,97,82,1544,194,35,66,16,41,154,340,311,310,63,14,1658,86,81,140,60,35,37,81,27,163,433,186,249,63,17
06000US0900173070,"Stamford town, Fairfield County, CT",62566,31179,1845,1340,1611,26383,842,746,1568,2535,2387,4299,4969,4475,2369,1644,549,31387,1391,1336,1450,861,448,1340,2246,2315,3857,4836,4422,2959,2404,1522
06000US0900174190,"Stratford town, Fairfield County, CT",34444,16144,651,723,903,13867,526,243,828,837,911,2100,2737,2575,1645,1002,463,18300,524,774,876,504,189,741,1045,878,2073,2965,2986,2039,1571,1135
06000US0900177200,"Trumbull town, Fairfield County, CT",30419,15117,649,1078,1237,12153,837,352,905,526,415,1770,2456,2144,1354,988,406,15302,756,725,1076,792,260,592,563,587,1760,2670,2041,1445,1221,814
06000US0900183430,"Weston town, Fairfield County, CT",9191,4704,217,498,588,3401,328,82,149,35,94,528,919,680,396,131,59,4487,106,398,462,320,134,147,27,109,608,966,665,327,159,59
06000US0900183500,"Westport town, Fairfield County, CT",23479,11460,478,912,1008,9062,737,308,385,203,240,1207,2125,1935,1118,588,216,12019,656,926,1114,639,126,306,180,334,1412,2475,1664,1106,742,339
06000US0900186370,"Wilton town, Fairfield County, CT",16391,7923,383,800,852,5888,517,130,254,133,96,971,1429,1299,622,283,154,8468,456,767,726,515,225,322,155,243,1082,1572,1232,518,421,234
06000US0900302060,"Avon town, Hartford County, CT",16018,7565,239,644,635,6047,360,121,221,124,344,819,1524,1243,649,460,182,8453,327,608,660,269,163,262,299,315,915,1678,1209,918,485,345
06000US0900304300,"Berlin town, Hartford County, CT",18796,9306,421,418,708,7759,418,52,549,454,484,1174,1757,1290,861,422,298,9490,535,596,518,267,121,355,365,442,1028,1864,1363,1055,734,247
06000US0900305910,"Bloomfield town, Hartford County, CT",7026,3139,41,0,81,3017,29,1,108,188,141,247,619,571,554,295,264,3887,44,94,68,1,1,125,152,123,228,602,788,681,524,456
06000US0900308490,"Bristol town, Hartford County, CT",49770,24022,1225,1530,1239,20028,743,640,1226,1683,1283,3330,4270,3249,1916,1275,413,25748,780,1116,1345,862,402,1371,1568,1384,3335,4446,3569,2348,1734,1488
06000US0900310100,"Burlington town, Hartford County, CT",8907,4487,278,425,351,3433,284,78,189,72,115,741,824,652,347,88,43,4420,138,245,497,190,112,120,76,172,747,821,730,366,172,34
06000US0900312270,"Canton town, Hartford County, CT",9462,4321,125,178,354,3664,240,35,148,77,108,605,932,749,414,226,130,5141,203,428,411,190,211,145,200,161,637,1037,665,386,273,194
06000US0900322070,"East Granby town, Hartford County, CT",4334,2249,135,257,105,1752,109,50,40,131,107,276,289,422,154,97,77,2085,100,112,159,32,21,0,169,97,335,333,248,256,134,89
06000US0900322630,"East Hartford town, Hartford County, CT",19613,9189,236,181,310,8462,275,120,365,521,529,896,1546,1983,1028,844,355,10424,180,323,291,237,135,459,487,569,1276,1696,1932,1168,1089,582
06000US0900324800,"East Windsor town, Hartford County, CT",8522,3874,74,255,123,3422,137,89,196,335,272,445,835,585,329,130,69,4648,17,146,406,85,100,221,242,352,541,797,764,545,205,227
06000US0900325990,"Enfield town, Hartford County, CT",36548,18006,691,703,935,15677,574,524,1028,1111,1214,2337,3346,2471,1737,912,423,18542,795,883,1138,561,313,1120,1153,1107,2186,3145,2461,1791,1262,627
06000US0900327600,"Farmington town, Hartford County, CT",21174,10483,424,580,843,8636,502,197,683,461,363,1137,1652,1706,1113,507,315,10691,338,553,485,404,181,558,602,395,1232,1786,1849,1196,510,602
06000US0900331240,"Glastonbury town, Hartford County, CT",28846,14265,716,900,1135,11514,774,481,556,332,429,1952,2496,2319,1337,580,258,14581,718,710,905,818,105,404,522,533,1829,2861,2318,1511,761,586
06000US0900332640,"Granby town, Hartford County, CT",10431,5188,232,348,411,4197,199,65,279,274,226,444,1243,746,401,270,50,5243,228,194,349,232,84,190,171,135,709,1128,815,441,409,158
06000US0900337070,"Hartford town, Hartford County, CT",19941,10188,194,299,245,9450,171,1098,1724,916,759,1066,1260,1183,672,327,274,9753,162,165,176,252,1214,1359,853,458,909,1188,1061,794,602,560
06000US0900337140,"Hartland town, Hartford County, CT",2101,974,52,77,50,795,28,24,35,31,35,124,141,207,117,44,9,1127,30,66,96,45,12,67,37,33,139,183,255,103,45,16
06000US0900344700,"Manchester town, Hartford County, CT",36413,17679,751,725,657,15546,475,282,1144,1837,1351,2030,2691,2788,1642,851,455,18734,795,697,667,473,227,1031,1516,1510,2072,2451,3391,1942,1098,864
06000US0900345820,"Marlborough town, Hartford County, CT",6029,2945,126,163,145,2511,289,75,103,71,94,397,598,433,398,36,17,3084,162,151,269,146,106,46,61,185,398,629,458,327,126,20
06000US0900350440,"New Britain town, Hartford County, CT",33977,16019,397,529,491,14602,429,676,1929,1607,853,1663,2419,2606,1160,822,438,17958,583,569,619,447,800,1675,1385,1061,1828,2239,2529,1610,1371,1242
06000US0900352140,"Newington town, Hartford County, CT",24058,10984,332,499,468,9685,412,204,632,714,815,1263,1708,1757,1216,719,245,13074,578,454,495,429,134,763,632,664,1551,1943,2061,1640,1219,511
06000US0900360120,"Plainville town, Hartford County, CT",15510,7588,496,382,267,6443,332,188,588,485,556,876,1048,1316,497,468,89,7922,252,385,305,292,160,349,479,529,1032,1296,1119,803,607,314
06000US0900365370,"Rocky Hill town, Hartford County, CT",15299,7306,413,257,423,6213,352,93,295,275,319,992,1202,1447,658,336,244,7993,357,380,341,192,207,411,456,362,835,1235,1567,686,545,419
06000US0900368940,"Simsbury town, Hartford County, CT",20827,10068,419,813,853,7983,613,170,490,346,354,1180,1688,1709,794,463,176,10759,426,545,785,617,195,282,417,491,1262,2067,1690,845,664,473
06000US0900370550,"Southington town, Hartford County, CT",40244,20078,1008,1237,1392,16441,783,398,851,1064,1267,2434,3431,2839,2087,969,318,20166,1066,1159,1211,634,326,776,823,1001,2432,3211,3150,2156,1373,848
06000US0900371390,"South Windsor town, Hartford County, CT",20085,10019,534,549,837,8099,484,340,398,363,597,1194,1774,1395,871,481,202,10066,363,421,495,481,150,387,629,419,1042,1874,1790,949,741,325
06000US0900374540,"Suffield town, Hartford County, CT",12554,6478,291,299,564,5324,264,218,330,307,205,917,1297,843,607,269,67,6076,259,270,281,416,340,264,147,246,788,1271,641,593,338,222
06000US0900382590,"West Hartford town, Hartford County, CT",47160,21426,1003,1172,1278,17973,859,481,890,1654,1193,2520,3412,3220,1867,1111,766,25734,985,1433,1332,1057,602,999,1474,1157,2891,3837,3893,2235,1909,1930
06000US0900384900,"Wethersfield town, Hartford County, CT",21368,10195,411,383,671,8730,372,204,441,425,654,1393,1617,1446,965,853,360,11173,545,547,492,231,131,458,419,511,1119,1838,1838,1202,1102,740
06000US0900387000,"Windsor town, Hartford County, CT",13979,6574,273,306,268,5727,99,103,180,408,375,783,1019,1333,789,417,221,7405,321,258,226,113,46,384,300,344,868,1047,1660,887,507,444
06000US0900387070,"Windsor Locks town, Hartford County, CT",10230,5024,118,165,191,4550,130,193,287,442,259,618,997,780,454,284,106,5206,66,209,286,255,47,259,279,345,564,1075,684,468,449,220
06000US0900502760,"Barkhamsted town, Litchfield County, CT",3690,1816,73,142,133,1468,104,28,71,58,118,195,368,289,179,35,23,1874,83,69,124,75,67,80,90,41,300,373,298,199,57,18
06000US0900504930,"Bethlehem town, Litchfield County, CT",3483,1611,30,38,99,1444,90,51,124,78,44,204,272,377,148,48,8,1872,88,186,141,60,37,62,26,6,226,328,352,208,55,97
06000US0900508210,"Bridgewater town, Litchfield County, CT",1596,781,28,20,36,697,36,11,29,24,11,58,151,168,116,86,7,815,13,29,59,36,17,20,19,31,60,147,195,108,66,15
06000US0900510940,"Canaan town, Litchfield County, CT",1200,566,23,21,35,487,5,7,21,18,37,74,108,97,62,30,28,634,37,23,20,18,21,13,44,4,64,135,120,50,34,51
06000US0900516050,"Colebrook town, Litchfield County, CT",1543,820,42,20,44,714,52,22,27,16,30,114,165,151,85,26,26,723,11,45,56,12,19,29,23,49,83,123,170,51,36,16
06000US0900517240,"Cornwall town, Litchfield County, CT",1453,665,25,38,27,575,36,35,16,20,12,43,104,159,89,36,25,788,14,33,67,62,5,26,12,20,62,142,162,93,45,45
06000US0900532290,"Goshen town, Litchfield County, CT",2802,1424,8,60,111,1245,81,0,37,49,95,166,253,291,187,68,18,1378,31,55,110,57,22,58,7,45,108,318,310,136,73,48
06000US0900537280,"Harwinton town, Litchfield County, CT",5510,2823,82,197,194,2350,136,91,110,75,87,377,486,468,320,121,79,2687,79,154,148,132,75,116,52,150,344,493,426,292,162,64
06000US0900540290,"Kent town, Litchfield County, CT",2680,1177,64,36,48,1029,25,54,38,80,56,118,197,221,128,85,27,1503,147,88,57,31,80,25,104,77,151,190,181,175,109,88
06000US0900543370,"Litchfield town, Litchfield County, CT",8087,3844,150,211,279,3204,166,116,212,59,171,413,779,605,368,222,93,4243,182,236,316,177,37,116,105,213,573,723,757,372,255,181
06000US0900549460,"Morris town, Litchfield County, CT",2219,1136,44,43,108,941,48,32,27,47,40,148,233,188,130,41,7,1083,6,113,55,27,22,20,40,53,106,259,206,114,39,23
06000US0900551350,"New Hartford town, Litchfield County, CT",6629,3351,230,280,237,2604,70,66,133,127,53,574,432,607,402,93,47,3278,115,175,219,248,35,110,39,137,496,535,649,290,142,88
06000US0900552630,"New Milford town, Litchfield County, CT",24297,12140,474,749,737,10180,722,286,820,654,642,1426,2297,1870,815,550,98,12157,441,738,736,562,128,599,492,665,1635,2434,1631,1117,614,365
06000US0900553470,"Norfolk town, Litchfield County, CT",1363,664,23,40,26,575,25,9,17,42,14,70,100,131,112,41,14,699,26,34,39,35,21,49,21,16,65,90,120,117,56,10
06000US0900554030,"North Canaan town, Litchfield County, CT",2963,1503,29,39,81,1354,42,20,40,74,65,224,320,178,232,134,25,1460,60,102,58,33,32,43,84,47,237,138,265,182,141,38
06000US0900560750,"Plymouth town, Litchfield County, CT",11252,5372,193,388,252,4539,184,106,360,365,319,701,1006,870,396,181,51,5880,384,319,344,137,197,411,351,349,629,1022,904,465,212,156
06000US0900565930,"Roxbury town, Litchfield County, CT",2190,1050,6,42,75,927,44,23,31,33,7,78,250,196,205,42,18,1140,20,56,122,38,5,76,13,17,87,278,180,165,48,35
06000US0900566420,"Salisbury town, Litchfield County, CT",3340,1466,11,39,101,1315,50,45,60,12,58,152,240,285,252,106,55,1874,125,48,200,22,120,53,41,83,146,314,298,218,107,99
06000US0900567960,"Sharon town, Litchfield County, CT",2495,1277,47,50,27,1153,20,30,42,11,29,112,161,340,245,136,27,1218,39,20,19,16,26,28,10,28,125,147,326,233,87,114
