name,total,white,black,asian,hispanic,other,white_pop_p,black_pop_p,asian_pop_p,hispanic_pop_p,other_pop_p
Connecticut average,3592053,2508360,342043,144619,512795,84236,69.83,9.52,4.03,14.28,2.35
Bethel,19078,16233,232,850,1301,462,85.09,1.22,4.46,6.82,2.42
Bridgeport,146680,31048,49967,5319,57030,3316,21.17,34.07,3.63,38.88,2.26
Brookfield,16774,14684,119,944,735,292,87.54,0.71,5.63,4.38,1.74
Danbury,82781,47009,4897,4736,22465,3674,56.79,5.92,5.72,27.14,4.44
Darien,21190,19287,71,846,515,471,91.02,0.34,3.99,2.43,2.22
Easton,7593,6804,38,218,421,112,89.61,0.5,2.87,5.54,1.48
Fairfield,60678,52402,778,2836,3139,1523,86.36,1.28,4.67,5.17,2.51
Greenwich,62141,48312,1130,4096,7080,1523,77.75,1.82,6.59,11.39,2.45
Monroe,19744,17737,136,627,955,289,89.83,0.69,3.18,4.84,1.46
New Canaan,20073,18040,222,607,860,344,89.87,1.11,3.02,4.28,1.71
New Fairfield,14079,12569,62,182,1072,194,89.27,0.44,1.29,7.61,1.38
Newtown,27960,24546,296,588,2259,271,87.79,1.06,2.1,8.08,0.97
Norwalk,87214,49037,12521,4606,19109,1941,56.23,14.36,5.28,21.91,2.23
Redding,9267,8513,124,118,301,211,91.86,1.34,1.27,3.25,2.28
Ridgefield,25025,22694,154,512,1297,368,90.69,0.62,2.05,5.18,1.47
Shelton,40472,36283,418,1350,2211,210,89.65,1.03,3.34,5.46,0.52
Sherman,3636,3448,0,69,71,48,94.83,0,1.9,1.95,1.32
Stamford,125401,62566,16476,10487,33864,2008,49.89,13.14,8.36,27,1.6
Stratford,52092,34444,7520,1502,7363,1263,66.12,14.44,2.88,14.13,2.42
Trumbull,36444,30419,782,1598,2945,700,83.47,2.15,4.38,8.08,1.92
Weston,10319,9191,137,347,377,267,89.07,1.33,3.36,3.65,2.59
Westport,27055,23479,207,1591,1239,539,86.78,0.77,5.88,4.58,1.99
Wilton,18519,16391,151,1188,438,351,88.51,0.82,6.42,2.37,1.9
Avon,18298,16018,76,1517,472,215,87.54,0.42,8.29,2.58,1.17
Berlin,20352,18796,197,638,569,152,92.35,0.97,3.13,2.8,0.75
Bloomfield,20626,7026,11266,388,1073,873,34.06,54.62,1.88,5.2,4.23
Bristol,60556,49770,1596,1178,6476,1536,82.19,2.64,1.95,10.69,2.54
Burlington,9443,8907,98,179,186,73,94.32,1.04,1.9,1.97,0.77
Canton,10334,9462,51,88,625,108,91.56,0.49,0.85,6.05,1.05
East Granby,5098,4334,314,171,182,97,85.01,6.16,3.35,3.57,1.9
East Hartford,51211,19613,12402,2933,14897,1366,38.3,24.22,5.73,29.09,2.67
East Windsor,11353,8522,902,769,720,440,75.06,7.95,6.77,6.34,3.88
Enfield,44713,36548,2450,1055,3715,945,81.74,5.48,2.36,8.31,2.11
