DepartmentName,Black_total,black_over_15_men,black_over_15_women,black_over_15,Hispanic_total,hispanic_over_15_men,hispanic_over_15_women,hispanic_over_15,White_total,white_over_15_men,white_over_15_women,white_over_15,ct_over_15_men,ct_over_15_women,ct_over_15,minorities_over_15
Connecticut average,365871,135307,152858,288165,512795,185407,187771,373178,2508360,1026921,1105443,2132364,1420207,1525351,2945558,813194
Bethel,293,138,103,241,1301,392,517,909,16233,6450,7059,13509,7469,8110,15579,2070
Bridgeport,53188,18019,22201,40220,57030,20689,21120,41809,31048,13733,14515,28248,55225,60326,115551,87303
Brookfield,120,53,34,87,735,298,131,429,14684,5913,6331,12244,6704,6968,13672,1428
Danbury,6060,2222,2858,5080,22465,8384,8004,16388,47009,19311,21497,40808,32913,35348,68261,27453
Darien,77,51,26,77,515,143,259,402,19287,6699,7357,14056,7376,8017,15393,1337
Easton,38,38,0,38,421,184,166,350,6804,2600,2694,5294,2931,2995,5926,632
Fairfield,1104,492,473,965,3139,980,1090,2070,52402,19646,22366,42012,22286,25513,47799,5787
Greenwich,1227,465,589,1054,7080,2374,2840,5214,48312,18504,20072,38576,23087,25409,48496,9920
Monroe,136,40,57,97,955,305,297,602,17737,6846,7679,14525,7365,8379,15744,1219
New Canaan,222,69,134,203,860,238,374,612,18040,6555,7160,13715,7157,8056,15213,1498
New Fairfield,64,26,38,64,1072,439,432,871,12569,5086,5112,10198,5638,5686,11324,1126
Newtown,331,263,68,331,2259,872,672,1544,24546,9795,10181,19976,11296,11077,22373,2397
Norwalk,13386,4936,5995,10931,19109,8289,6969,15258,49037,20538,22110,42648,35699,37285,72984,30336
Redding,124,61,63,124,301,94,147,241,8513,3269,3645,6914,3504,3968,7472,558
Ridgefield,163,110,44,154,1297,278,419,697,22694,8432,9079,17511,9042,9833,18875,1364
Shelton,418,149,190,339,2211,808,863,1671,36283,14314,16640,30954,15792,18356,34148,3194
Sherman,0,0,0,0,71,25,46,71,3448,1544,1351,2895,1602,1438,3040,145
Stamford,17077,5922,7669,13591,33864,14042,12303,26345,62566,26383,27210,53593,50570,51893,102463,48870
Stratford,7895,2794,3578,6372,7363,2855,2756,5611,34444,13867,16126,29993,20405,23494,43899,13906
Trumbull,782,258,346,604,2945,939,1289,2228,30419,12153,12745,24898,14021,15206,29227,4329
Weston,137,58,30,88,377,107,140,247,9191,3401,3521,6922,3672,3897,7569,647
Westport,228,64,133,197,1239,344,554,898,23479,9062,9323,18385,10016,10866,20882,2497
Wilton,162,53,103,156,438,168,117,285,16391,5888,6519,12407,6559,7319,13878,1471
Avon,76,2,55,57,472,170,106,276,16018,6047,6858,12905,6821,7634,14455,1550
Berlin,197,54,45,99,569,224,280,504,18796,7759,7841,15600,8331,8453,16784,1184
Bloomfield,11380,4710,5056,9766,1073,323,485,808,7026,3017,3681,6698,8303,9714,18017,11319
Bristol,1911,898,659,1557,6476,2287,1922,4209,49770,20028,22507,42535,24038,25893,49931,7396
Burlington,98,71,11,82,186,92,87,179,8907,3433,3540,6973,3696,3727,7423,450
Canton,51,42,9,51,625,303,263,566,9462,3664,4099,7763,4035,4463,8498,735
East Granby,314,115,160,275,182,49,78,127,4334,1752,1714,3466,2002,2033,4035,569
East Hartford,12869,4925,5250,10175,14897,4909,5913,10822,19613,8462,9630,18092,19912,22218,42130,24038
East Windsor,907,473,336,809,720,122,162,284,8522,3422,4079,7501,4393,4975,9368,1867
Enfield,2590,1895,448,2343,3715,1888,1059,2947,36548,15677,15726,31403,20068,17823,37891,6488
Farmington,559,283,179,462,756,342,279,621,21174,8636,9315,17951,10276,10865,21141,3190
Glastonbury,820,292,379,671,1365,362,656,1018,28846,11514,12248,23762,13389,14672,28061,4299
Granby,126,64,45,109,359,126,121,247,10431,4197,4472,8669,4479,4719,9198,529
Hartford,47956,16394,20610,37004,54603,19920,21001,40921,19941,9450,9250,18700,46790,52313,99103,80403
Hartland,14,4,7,11,49,23,15,38,2101,795,935,1730,847,963,1810,80
Manchester,7382,2181,3079,5260,8790,2657,3077,5734,36413,15546,16575,32121,22488,25064,47552,15431
Marlborough,86,68,18,86,261,83,82,165,6029,2511,2502,5013,2613,2644,5257,244
New Britain,7903,3114,3226,6340,27868,8887,10646,19533,33977,14602,16187,30789,27773,31294,59067,28278
Newington,1705,627,578,1205,2581,914,964,1878,24058,9685,11547,21232,12021,14097,26118,4886
Plainville,599,152,296,448,1290,428,465,893,15510,6443,6980,13423,7109,7911,15020,1597
