"","state_code","county_code","tract_code","total_pop","white_pop","black_pop","hispanic_pop","id","minority_pop","white_pop_p","minority_pop_p","black_pop_p","hispanic_pop_p"
"1","09","001","010101",4392,4050,44,4392,"09001010101",342,92.21,7.79,1,1
"2","09","001","010102",4134,3800,110,4134,"09001010102",334,91.92,8.08,2.66,2.66
"3","09","001","010201",3387,2928,202,3387,"09001010201",459,86.45,13.55,5.96,5.96
"4","09","001","010202",5066,4447,9,5066,"09001010202",619,87.78,12.22,0.18,0.18
"5","09","001","010300",4209,3846,28,4209,"09001010300",363,91.38,8.62,0.67,0.67
"6","09","001","010400",5701,4968,60,5701,"09001010400",733,87.14,12.86,1.05,1.05
"7","09","001","010500",5399,4146,214,5399,"09001010500",1253,76.79,23.21,3.96,3.96
"8","09","001","010600",1769,1525,32,1769,"09001010600",244,86.21,13.79,1.81,1.81
"9","09","001","010700",3870,3475,99,3870,"09001010700",395,89.79,10.21,2.56,2.56
"10","09","001","010800",3390,2946,89,3390,"09001010800",444,86.9,13.1,2.63,2.63
"11","09","001","010900",5263,4301,102,5263,"09001010900",962,81.72,18.28,1.94,1.94
"12","09","001","011000",5160,4642,35,5160,"09001011000",518,89.96,10.04,0.68,0.68
"13","09","001","011100",4779,4445,40,4779,"09001011100",334,93.01,6.99,0.84,0.84
"14","09","001","011200",1755,1656,0,1755,"09001011200",99,94.36,5.64,0,0
"15","09","001","011300",3867,2707,163,3867,"09001011300",1160,70,30,4.22,4.22
"16","09","001","020100",4136,2089,1285,4136,"09001020100",2047,50.51,49.49,31.07,31.07
"17","09","001","020200",3826,3510,98,3826,"09001020200",316,91.74,8.26,2.56,2.56
"18","09","001","020300",7146,6328,209,7146,"09001020300",818,88.55,11.45,2.92,2.92
"19","09","001","020400",3795,3361,98,3795,"09001020400",434,88.56,11.44,2.58,2.58
"20","09","001","020500",4764,4352,123,4764,"09001020500",412,91.35,8.65,2.58,2.58
"21","09","001","020600",4862,3723,266,4862,"09001020600",1139,76.57,23.43,5.47,5.47
"22","09","001","020700",4402,4100,42,4402,"09001020700",302,93.14,6.86,0.95,0.95
"23","09","001","020800",2841,2461,85,2841,"09001020800",380,86.62,13.38,2.99,2.99
"24","09","001","020900",4825,3528,503,4825,"09001020900",1297,73.12,26.88,10.42,10.42
"25","09","001","021000",3190,2507,381,3190,"09001021000",683,78.59,21.41,11.94,11.94
"26","09","001","021100",5564,4042,592,5564,"09001021100",1522,72.65,27.35,10.64,10.64
"27","09","001","021200",4552,3402,381,4552,"09001021200",1150,74.74,25.26,8.37,8.37
"28","09","001","021300",4578,2758,591,4578,"09001021300",1820,60.24,39.76,12.91,12.91
"29","09","001","021400",6799,2225,1563,6799,"09001021400",4574,32.73,67.27,22.99,22.99
"30","09","001","021500",6403,1787,1909,6403,"09001021500",4616,27.91,72.09,29.81,29.81
"31","09","001","021600",7202,3310,865,7202,"09001021600",3892,45.96,54.04,12.01,12.01
"32","09","001","021700",6892,3282,1018,6892,"09001021700",3610,47.62,52.38,14.77,14.77
"33","09","001","021801",4138,2253,734,4138,"09001021801",1885,54.45,45.55,17.74,17.74
"34","09","001","021802",5156,2375,1580,5156,"09001021802",2781,46.06,53.94,30.64,30.64
"35","09","001","021900",5912,4027,562,5912,"09001021900",1885,68.12,31.88,9.51,9.51
"36","09","001","022000",2957,1361,530,2957,"09001022000",1596,46.03,53.97,17.92,17.92
"37","09","001","022100",8202,2626,1177,8202,"09001022100",5576,32.02,67.98,14.35,14.35
"38","09","001","022200",4497,1529,829,4497,"09001022200",2968,34,66,18.43,18.43
"39","09","001","022300",6401,2348,1618,6401,"09001022300",4053,36.68,63.32,25.28,25.28
"40","09","001","022400",2361,2060,38,2361,"09001022400",301,87.25,12.75,1.61,1.61
"41","09","001","030100",3711,3589,15,3711,"09001030100",122,96.71,3.29,0.4,0.4
"42","09","001","030200",3751,3423,0,3751,"09001030200",328,91.26,8.74,0,0
"43","09","001","030300",4148,3990,0,4148,"09001030300",158,96.19,3.81,0,0
"44","09","001","030400",4134,3628,36,4134,"09001030400",506,87.76,12.24,0.87,0.87
"45","09","001","030500",5446,5073,26,5446,"09001030500",373,93.15,6.85,0.48,0.48
"46","09","001","035100",7724,7041,193,7724,"09001035100",683,91.16,8.84,2.5,2.5
"47","09","001","035200",3302,3207,15,3302,"09001035200",95,97.12,2.88,0.45,0.45
"48","09","001","035300",3874,3674,0,3874,"09001035300",200,94.84,5.16,0,0
"49","09","001","035400",5173,4883,14,5173,"09001035400",290,94.39,5.61,0.27,0.27
"50","09","001","042500",4058,3415,68,4058,"09001042500",643,84.15,15.85,1.68,1.68
"51","09","001","042600",4139,3471,219,4139,"09001042600",668,83.86,16.14,5.29,5.29
"52","09","001","042700",4916,3830,427,4916,"09001042700",1086,77.91,22.09,8.69,8.69
"53","09","001","042800",5030,4069,495,5030,"09001042800",961,80.89,19.11,9.84,9.84
"54","09","001","042900",1746,1596,28,1746,"09001042900",150,91.41,8.59,1.6,1.6
"55","09","001","043000",3172,2548,414,3172,"09001043000",624,80.33,19.67,13.05,13.05
"56","09","001","043100",4890,4091,213,4890,"09001043100",799,83.66,16.34,4.36,4.36
"57","09","001","043200",2991,2044,501,2991,"09001043200",947,68.34,31.66,16.75,16.75
