Department Name,residents_total,b_res,b_res_total,b_res_stops,res_diff_b,res_ratio_b
Ansonia,"14,979",9.74%,1700,19.41%,9.67%,1.99
Avon,"13,855",1.41%,411,3.41%,1.99%,2.41
Berlin,"16,083",0.65%,1256,2.47%,1.82%,3.78
Bethel,"14,675",1.74%,1046,2.58%,0.84%,1.49
Bloomfield,"16,982",54.76%,1717,74.78%,20.02%,1.37
Branford,"23,532",1.76%,1858,2.96%,1.20%,1.68
Bridgeport,"109,401",31.82%,4285,38.37%,6.55%,1.21
Bristol,"48,439",3.24%,2855,8.65%,5.41%,2.67
Brookfield,"12,847",1.05%,604,2.81%,1.76%,2.68
Canton,"7,992",0.00%,350,0.57%,0.57%,0
Cheshire,"21,049",1.27%,1878,2.40%,1.12%,1.88
Clinton,"10,540",0.00%,1303,0.61%,0.61%,0
Coventry,"9,779",0.79%,699,1.43%,0.64%,1.82
Cromwell,"11,357",3.69%,622,8.84%,5.15%,2.4
Danbury,"64,361",6.42%,1022,10.08%,3.66%,1.57
Darien,"14,004",0.00%,608,1.64%,1.64%,0
Derby,"10,391",6.03%,498,15.66%,9.63%,2.6
East Hampton,"10,255",1.10%,236,3.81%,2.71%,3.46
East Hartford,"40,229",22.52%,4159,41.12%,18.60%,1.83
East Haven,"24,114",2.47%,1310,3.82%,1.35%,1.54
East Windsor,"9,164",5.96%,299,9.36%,3.41%,1.57
Easton,"5,553",0.00%,157,0.00%,0.00%,0
Enfield,"33,218",2.63%,3418,7.93%,5.30%,3.01
Fairfield,"45,567",1.73%,1901,4.31%,2.58%,2.49
Farmington,"20,318",2.20%,731,5.88%,3.68%,2.67
Glastonbury,"26,217",1.80%,1790,3.02%,1.21%,1.67
Granby,"8,716",0.92%,374,1.60%,0.69%,1.75
Greenwich,"46,370",2.03%,2197,3.87%,1.84%,1.9
Groton City*,"7,960",7.70%,792,16.79%,9.09%,2.18
Groton Long Point*,"2,030",0.00%,12,0.00%,0.00%,0
Groton Town,"31,520",6.07%,2089,9.96%,3.88%,1.64
Guilford,"17,672",0.70%,1552,1.16%,0.46%,1.65
Hamden,"50,012",18.28%,2044,35.08%,16.80%,1.92
Hartford,"93,669",35.80%,2383,48.38%,12.59%,1.35
Madison,"14,073",0.49%,1584,1.07%,0.58%,2.19
Manchester,"46,667",10.15%,2552,22.26%,12.10%,2.19
Meriden,"47,445",7.80%,1782,14.70%,6.91%,1.89
Middlebury,"5,843",0.00%,47,0.00%,0.00%,0
Middletown,"38,747",11.68%,1595,24.51%,12.84%,2.1
Milford,"43,135",2.23%,1366,4.47%,2.23%,2
Monroe,"14,918",1.32%,1857,2.37%,1.05%,1.79
Naugatuck,"25,099",4.11%,2585,7.93%,3.82%,1.93
New Britain,"57,164",10.67%,5843,17.61%,6.94%,1.65
New Canaan,"14,138",1.06%,1874,2.03%,0.97%,1.91
New Haven,"100,702",32.16%,7039,52.19%,20.03%,1.62
New London,"21,835",15.18%,714,26.19%,11.01%,1.73
New Milford,"21,891",1.69%,1779,3.60%,1.91%,2.13
Newington,"24,978",2.99%,1489,6.65%,3.65%,2.22
Newtown,"20,171",0.68%,4060,1.11%,0.43%,1.63
North Branford,"11,549",1.33%,279,2.15%,0.82%,1.61
North Haven,"19,608",2.91%,427,4.92%,2.01%,1.69
Norwalk,"68,034",13.13%,1990,25.33%,12.20%,1.93
Norwich,"31,638",8.96%,2980,23.32%,14.36%,2.60
Old Saybrook,"8,330",0.00%,1037,2.03%,2.03%,0.00
Orange,"11,017",1.31%,538,3.16%,1.85%,2.42
Plainfield,"11,918",0.96%,776,2.19%,1.23%,2.27
Plainville,"14,605",2.73%,1141,5.61%,2.88%,2.05
Plymouth,"9,660",0.00%,361,2.49%,2.49%,0.00
Portland,"7,480",1.87%,69,1.45%,-0.42%,0.77
Putnam,"7,507",1.17%,290,5.17%,4.00%,4.41
Redding,"6,955",0.00%,486,1.03%,1.03%,0.00
Ridgefield,"18,111",0.77%,2594,0.73%,-0.04%,0.95
Rocky Hill,"16,224",3.77%,1353,5.69%,1.93%,1.51
Seymour,"13,260",2.25%,1258,3.58%,1.33%,1.59
Shelton,"32,010",2.07%,311,4.18%,2.11%,2.02
Simsbury,"17,773",1.46%,1469,3.06%,1.60%,2.09
South Windsor,"20,162",3.68%,1462,7.32%,3.64%,1.99
Southington,"34,301",1.34%,1950,1.08%,-0.26%,0.81
Stamford,"98,070",12.86%,4084,15.87%,3.01%,1.23
Stonington,"15,078",0.82%,923,3.14%,2.33%,3.85
Stratford,"40,980",12.76%,1319,29.42%,16.66%,2.31
Suffield,"10,782",1.40%,227,2.20%,0.80%,1.57
Thomaston,"6,224",0.00%,241,0.41%,0.41%,0.00
Torrington,"29,251",2.12%,3230,4.92%,2.81%,2.33
Trumbull,"27,678",2.90%,570,6.84%,3.94%,2.36
Vernon,"23,800",4.70%,1461,14.24%,9.54%,3.03
Wallingford,"36,530",1.34%,4217,2.54%,1.20%,1.90
Waterbury,"83,964",17.37%,1772,32.28%,14.91%,1.86
Waterford,"15,760",2.29%,1107,5.15%,2.86%,2.25
Watertown,"18,154",1.24%,455,3.08%,1.84%,2.48
West Hartford,"49,650",5.65%,1567,9.25%,3.60%,1.64
West Haven,"44,518",17.70%,3077,22.91%,5.21%,1.29
Weston,"7,255",1.25%,175,2.86%,1.60%,2.28
Westport,"19,410",1.22%,1501,1.67%,0.45%,1.37
Wethersfield,"21,607",2.75%,826,5.93%,3.18%,2.16
Willimantic,"20,176",4.08%,1623,5.91%,1.83%,1.45
Wilton,"12,973",1.01%,1014,1.68%,0.67%,1.66
Windsor,"23,222",32.20%,2079,50.51%,18.31%,1.57
Windsor Locks,"10,117",4.27%,697,9.33%,5.06%,2.18
Winsted,"9,133",1.04%,315,2.86%,1.82%,2.75
Wolcott,"13,175",1.53%,186,0.54%,-1.00%,0.35
Woodbridge,"7,119",1.94%,183,6.01%,4.07%,3.10
