Department Name,residents_total,h_res,h_res_total,h_res_stops,res_diff_h,res_ratio_h
Ansonia,"14,979",14.03%,1700,10.47%,-3.56%,0.75
Avon,"13,855",2.76%,411,2.68%,-0.08%,0.97
Berlin,"16,083",2.67%,1256,3.66%,0.99%,1.37
Bethel,"14,675",6.65%,1046,8.32%,1.67%,1.25
Bloomfield,"16,982",4.78%,1717,4.66%,-0.12%,0.97
Branford,"23,532",3.45%,1858,3.61%,0.16%,1.05
Bridgeport,"109,401",36.20%,4285,31.62%,-4.58%,0.87
Bristol,"48,439",7.65%,2855,13.03%,5.38%,1.70
Brookfield,"12,847",3.79%,604,4.47%,0.68%,1.18
Canton,"7,992",1.94%,350,1.43%,-0.51%,0.74
Cheshire,"21,049",2.35%,1878,1.44%,-0.91%,0.61
Clinton,"10,540",4.41%,1303,8.37%,3.95%,1.90
Coventry,"9,779",2.21%,699,1.43%,-0.78%,0.65
Cromwell,"11,357",3.90%,622,2.57%,-1.33%,0.66
Danbury,"64,361",23.25%,1022,37.08%,13.83%,1.59
Darien,"14,004",3.49%,608,3.13%,-0.37%,0.89
Derby,"10,391",12.37%,498,21.29%,8.92%,1.72
East Hampton,"10,255",2.02%,236,1.69%,-0.32%,0.84
East Hartford,"40,229",22.91%,4159,30.61%,7.70%,1.34
East Haven,"24,114",8.43%,1310,10.99%,2.56%,1.30
East Windsor,"9,164",4.34%,299,3.68%,-0.66%,0.85
Easton,"5,553",2.56%,157,1.91%,-0.65%,0.75
Enfield,"33,218",4.00%,3418,5.76%,1.77%,1.44
Fairfield,"45,567",4.51%,1901,5.21%,0.69%,1.15
Farmington,"20,318",3.20%,731,6.16%,2.95%,1.92
Glastonbury,"26,217",3.60%,1790,5.53%,1.93%,1.54
Granby,"8,716",1.39%,374,1.07%,-0.32%,0.77
Greenwich,"46,370",9.15%,2197,10.01%,0.86%,1.09
Groton City*,"7,960",11.80%,792,16.29%,4.49%,1.38
Groton Long Point*,"2,030",0.00%,12,0.00%,0.00%,0.00
Groton Town,"31,520",7.40%,2089,7.90%,0.50%,1.07
Guilford,"17,672",2.90%,1552,2.26%,-0.65%,0.78
Hamden,"50,012",7.58%,2044,6.85%,-0.73%,0.90
Hartford,"93,669",41.02%,2383,38.52%,-2.49%,0.94
Madison,"14,073",1.73%,1584,0.88%,-0.84%,0.51
Manchester,"46,667",9.89%,2552,15.09%,5.19%,1.52
Meriden,"47,445",24.86%,1782,41.98%,17.11%,1.69
Middlebury,"5,843",2.22%,47,4.26%,2.03%,1.91
Middletown,"38,747",6.77%,1595,9.03%,2.26%,1.33
Milford,"43,135",4.45%,1366,4.61%,0.17%,1.04
Monroe,"14,918",4.30%,1857,3.02%,-1.29%,0.70
Naugatuck,"25,099",7.77%,2585,10.68%,2.91%,1.37
New Britain,"57,164",31.75%,5843,47.48%,15.72%,1.50
New Canaan,"14,138",2.69%,1874,2.13%,-0.55%,0.79
New Haven,"100,702",24.79%,7039,26.81%,2.02%,1.08
New London,"21,835",25.08%,714,33.61%,8.53%,1.34
New Milford,"21,891",5.46%,1779,7.14%,1.68%,1.31
Newington,"24,978",6.39%,1489,11.62%,5.23%,1.82
Newtown,"20,171",2.86%,4060,2.44%,-0.43%,0.85
North Branford,"11,549",2.31%,279,1.08%,-1.24%,0.47
North Haven,"19,608",3.26%,427,2.34%,-0.92%,0.72
Norwalk,"68,034",22.67%,1990,26.98%,4.31%,1.19
Norwich,"31,638",10.59%,2980,18.02%,7.43%,1.70
Old Saybrook,"8,330",2.93%,1037,2.89%,-0.04%,0.99
