"","DepartmentName","y16_21","y22_27","y28_31","y32_37","y38_41","y42_47","y48_51","y52_57","y58_61","y62_67","y68_71","y72_77","y78_81","y82_","y16_21_p","y22_27_p","y28_31_p","y32_37_p","y38_41_p","y42_47_p","y48_51_p","y52_57_p","y58_61_p","y62_67_p","y68_71_p","y72_77_p","y78_81_p","y82_p"
"1","Ansonia",508,882,556,647,363,504,328,352,160,157,48,41,15,13,11.11,19.28,12.16,14.15,7.94,11.02,7.17,7.7,3.5,3.43,1.05,0.9,0.33,0.28
"2","Avon",204,211,128,148,100,176,129,161,68,68,20,21,15,9,13.99,14.47,8.78,10.15,6.86,12.07,8.85,11.04,4.66,4.66,1.37,1.44,1.03,0.62
"3","Berlin",534,939,613,814,433,701,422,536,281,264,105,85,22,34,9.23,16.24,10.6,14.08,7.49,12.12,7.3,9.27,4.86,4.57,1.82,1.47,0.38,0.59
"4","Bethel",350,566,268,388,261,378,232,353,163,152,54,33,19,22,10.81,17.47,8.27,11.98,8.06,11.67,7.16,10.9,5.03,4.69,1.67,1.02,0.59,0.68
"5","Bloomfield",483,1058,475,640,349,501,412,524,285,285,99,78,28,24,9.22,20.19,9.06,12.21,6.66,9.56,7.86,10,5.44,5.44,1.89,1.49,0.53,0.46
"6","Branford",331,726,494,670,319,642,394,583,288,290,124,91,30,43,6.59,14.45,9.83,13.33,6.35,12.78,7.84,11.6,5.73,5.77,2.47,1.81,0.6,0.86
"7","Bridgeport",502,1120,683,849,636,605,325,401,167,185,63,38,12,17,8.96,19.99,12.19,15.15,11.35,10.8,5.8,7.16,2.98,3.3,1.12,0.68,0.21,0.3
"8","Bristol",781,1212,740,882,480,713,409,499,191,201,64,43,14,15,12.51,19.41,11.85,14.13,7.69,11.42,6.55,7.99,3.06,3.22,1.02,0.69,0.22,0.24
"9","Brookfield",220,333,165,200,150,263,158,227,119,90,40,33,13,15,10.86,16.44,8.14,9.87,7.4,12.98,7.8,11.2,5.87,4.44,1.97,1.63,0.64,0.74
"10","Canton",280,229,122,151,89,164,122,145,75,66,25,27,8,15,18.45,15.09,8.04,9.95,5.86,10.8,8.04,9.55,4.94,4.35,1.65,1.78,0.53,0.99
