"","DepartmentName","average_age","median_age"
"1","Ansonia",37,34
"2","Avon",40,39
"3","Berlin",40,37
"4","Bethel",40,38
"5","Branford",42,41
"6","Bridgeport",37,35
"7","Bristol",37,34
"8","Brookfield",41,40
"9","Canton",38,36
"10","Cheshire",40,38
"11","Clinton",41,40
"12","Coventry",37,35
"13","Cromwell",39,36
"14","Danbury",39,37
"15","Darien",41,40
"16","Derby",39,34
"17","East Hartford",37,34
"18","East Windsor",38,34
"19","Enfield",24,24
"20","Fairfield",39,37
"21","Farmington",39,37
"22","Glastonbury",40,38
"23","Granby",41,40
"24","Greenwich",42,41
"25","Groton City",37,33
"26","Guilford",44,45
"27","Hamden",38,35
"28","Hartford",38,35
"29","Madison",42,43
"30","Meriden",36,33
"31","Middletown",38,35
"32","Monroe",40,40
"33","Naugatuck",40,34
"34","New Britain",36,33
"35","New Canaan",42,43
"36","Newington",38,34
"37","New London",38,34
"38","New Milford",39,38
"39","North Branford",39,36
"40","North Haven",39,37
"41","Norwalk",39,37
"42","Norwich",37,35
"43","Old Saybrook",43,44
"44","Orange",39,37
"45","Plainville",38,34
"46","Plymouth",38,35
"47","Redding",42,43
"48","Ridgefield",41,42
"49","Rocky Hill",40,38
"50","Seymour",39,36
"51","Shelton",39,35
"52","Simsbury",42,42
"53","South Windsor",38,35
"54","Stonington",42,42
"55","Stratford",37,35
"56","Thomaston",38,37
"57","Torrington",41,39
"58","Trumbull",37,35
"59","Vernon",36,32
"60","Wallingford",38,35
"61","Waterford",38,36
"62","Watertown",38,34
"63","West Hartford",37,34
"64","Westport",42,42
"65","Wethersfield",36,33
"66","Wilton",40,40
"67","Winsted",43,38
"68","Willimantic",35,32
"69","Windsor",39,37
"70","Windsor Locks",42,36
"71","Wolcott",37,35
"72","Woodbridge",39,36
"73","UCONN",26,21
"74","DMV",41,40
"75","CCSU",31,25
"76","SCSU",35,31
"77","Yale",37,33
"78","State Police",38,35
"79","Southington",40,38
"80","Newtown",42,42
"81","Milford",NA,NA
"82","Groton Town",39,35
"83","New Haven",38,34
"84","Stamford",NA,NA
"85","West Haven",38,35
"86","Bloomfield",40,37
"87","East Hampton",39,38
"88","East Haven",40,37
"89","Easton",40,41
"90","Manchester",37,34
"91","Middlebury",37,33
"92","Putnam",38,35
"93","Suffield",39,37
"94","Waterbury",37,34
"95","ECSU",26,21
"96","CAPITOL POLICE",42,38
"97","Plainfield",39,37
"98","Groton Long Point",43,44
"99","Weston",50,46
"100","WCSU",39,38
"101","Portland",37,35
