"","DepartmentName","infraction_ticket","misdemeanor_summons","no_disposition","uniform_arrest","verbal_warning","written_warning","infraction_ticket_p","misdemeanor_summons_p","no_disposition_p","uniform_arrest_p","verbal_warning_p","written_warning_p"
"1","Ansonia",1572,170,59,42,2716,15,0.27,0.03,0.01,0.01,0.46,0
"2","Avon",233,20,140,13,674,378,0.04,0,0.02,0,0.11,0.06
"3","Berlin",2664,274,112,21,906,1806,0.45,0.05,0.02,0,0.15,0.31
"4","Bethel",978,59,8,15,407,1772,0.17,0.01,0,0,0.07,0.3
"5","Bloomfield",1084,245,97,67,780,2968,0.18,0.04,0.02,0.01,0.13,0.51
"6","Branford",3082,352,212,15,1361,3,0.53,0.06,0.04,0,0.23,0
"7","Bridgeport",3641,338,32,67,1287,238,0.62,0.06,0.01,0.01,0.22,0.04
"8","Bristol",2096,389,376,95,580,2708,0.36,0.07,0.06,0.02,0.1,0.46
"9","Brookfield",603,61,31,11,656,664,0.1,0.01,0.01,0,0.11,0.11
"10","Canton",410,54,52,19,851,132,0.07,0.01,0.01,0,0.15,0.02
"11","CAPITOL POLICE",40,6,2,NA,174,9,0.01,0,0,NA,0.03,0
"12","CCSU",327,102,26,3,2295,276,0.06,0.02,0,0,0.39,0.05
"13","Cheshire",1520,260,35,39,405,3438,0.26,0.04,0.01,0.01,0.07,0.59
"14","Clinton",413,197,21,22,293,1967,0.07,0.03,0,0,0.05,0.34
"15","Coventry",597,153,45,4,506,364,0.1,0.03,0.01,0,0.09,0.06
"16","Cromwell",600,127,78,7,811,337,0.1,0.02,0.01,0,0.14,0.06
"17","Danbury",4044,174,92,67,921,14,0.69,0.03,0.02,0.01,0.16,0
"18","Darien",1160,102,22,20,944,320,0.2,0.02,0,0,0.16,0.05
"19","Derby",1850,360,16,16,554,3,0.32,0.06,0,0,0.09,0
"20","DMV",1554,108,68,2,484,152,0.26,0.02,0.01,0,0.08,0.03
"21","East Hampton",106,59,NA,3,9,280,0.02,0.01,NA,0,0,0.05
"22","East Hartford",4321,968,244,91,1894,972,0.74,0.16,0.04,0.02,0.32,0.17
"23","East Haven",903,257,88,45,1862,39,0.15,0.04,0.01,0.01,0.32,0.01
"24","East Windsor",363,77,19,16,450,132,0.06,0.01,0,0,0.08,0.02
"25","Easton",109,30,11,1,34,396,0.02,0.01,0,0,0.01,0.07
"26","ECSU",12,3,2,NA,139,42,0,0,0,NA,0.02,0.01
"27","Enfield",1186,165,18,17,195,4246,0.2,0.03,0,0,0.03,0.72
"28","Fairfield",2560,544,247,51,4325,120,0.44,0.09,0.04,0.01,0.74,0.02
"29","Farmington",2028,279,143,97,2212,151,0.35,0.05,0.02,0.02,0.38,0.03
"30","Glastonbury",1288,386,73,37,1096,1510,0.22,0.07,0.01,0.01,0.19,0.26
"31","Granby",331,79,4,6,284,329,0.06,0.01,0,0,0.05,0.06
"32","Greenwich",3880,264,193,28,1695,1105,0.66,0.04,0.03,0,0.29,0.19
"33","Groton City",836,145,50,22,812,260,0.14,0.02,0.01,0,0.14,0.04
"34","Groton Long Point",27,1,2,NA,8,36,0,0,0,NA,0,0.01
"35","Groton Town",1899,330,20,135,1844,1671,0.32,0.06,0,0.02,0.31,0.28
"36","Guilford",460,69,16,5,120,2284,0.08,0.01,0,0,0.02,0.39
"37","Hamden",1827,212,51,5,2603,154,0.31,0.04,0.01,0,0.44,0.03
"38","Hartford",4317,693,31,150,491,205,0.74,0.12,0.01,0.03,0.08,0.03
"39","Madison",1009,89,42,37,1360,1171,0.17,0.02,0.01,0.01,0.23,0.2
"40","Manchester",2235,412,85,25,2060,474,0.38,0.07,0.01,0,0.35,0.08
"41","Meriden",1652,314,26,46,540,122,0.28,0.05,0,0.01,0.09,0.02
"42","Middlebury",12,5,7,1,104,48,0,0,0,0,0.02,0.01
