"","DepartmentName","F","M","male_p","female_p"
"1","Ansonia",1891,2683,0.46,0.32
"2","Avon",543,915,0.16,0.09
"3","Berlin",2152,3631,0.62,0.37
"4","Bethel",1258,1981,0.34,0.21
"5","Bloomfield",1996,3245,0.55,0.34
"6","Branford",2041,2984,0.51,0.35
"7","Bridgeport",2031,3572,0.61,0.35
"8","Bristol",2349,3895,0.66,0.4
"9","Brookfield",841,1185,0.2,0.14
"10","Canton",528,990,0.17,0.09
"11","CAPITOL POLICE",93,138,0.02,0.02
"12","CCSU",1289,1740,0.3,0.22
"13","Cheshire",2292,3405,0.58,0.39
"14","Clinton",1179,1734,0.3,0.2
"15","Coventry",545,1124,0.19,0.09
"16","Cromwell",910,1050,0.18,0.16
"17","Danbury",2139,3173,0.54,0.36
"18","Darien",980,1588,0.27,0.17
"19","Derby",1008,1791,0.31,0.17
"20","DMV",843,1525,0.26,0.14
"21","East Hampton",140,317,0.05,0.02
"22","East Hartford",3131,5359,0.91,0.53
"23","East Haven",1154,2040,0.35,0.2
"24","East Windsor",347,710,0.12,0.06
"25","Easton",223,358,0.06,0.04
"26","ECSU",79,119,0.02,0.01
"27","Enfield",2275,3552,0.61,0.39
"28","Fairfield",2992,4855,0.83,0.51
"29","Farmington",2050,2860,0.49,0.35
"30","Glastonbury",1895,2495,0.43,0.32
"31","Granby",374,659,0.11,0.06
"32","Greenwich",2727,4438,0.76,0.46
"33","Groton City",704,1421,0.24,0.12
"34","Groton Long Point",26,48,0.01,0
"35","Groton Town",2507,3392,0.58,0.43
"36","Guilford",1282,1672,0.28,0.22
"37","Hamden",2012,2840,0.48,0.34
"38","Hartford",2346,3541,0.6,0.4
"39","Madison",1547,2161,0.37,0.26
"40","Manchester",2122,3169,0.54,0.36
"41","Meriden",1005,1695,0.29,0.17
"42","Middlebury",80,97,0.02,0.01
"43","Middletown",1202,2058,0.35,0.2
"44","Milford",1063,2114,0.36,0.18
"45","Monroe",2301,3499,0.6,0.39
"46","Naugatuck",1934,3104,0.53,0.33
"47","New Britain",3102,5226,0.89,0.53
"48","New Canaan",2246,3109,0.53,0.38
"49","New Haven",4398,8420,1.43,0.75
"50","New London",477,1022,0.17,0.08
"51","New Milford",1638,2257,0.38,0.28
"52","Newington",1965,3518,0.6,0.33
"53","Newtown",3999,5957,1.02,0.68
"54","North Branford",343,659,0.11,0.06
"55","North Haven",569,1183,0.2,0.1
"56","Norwalk",1942,3380,0.58,0.33
"57","Norwich",2279,3680,0.63,0.39
"58","Old Saybrook",1447,1955,0.33,0.25
"59","Orange",1804,2797,0.48,0.31
"60","Plainfield",688,1006,0.17,0.12
"61","Plainville",1135,2138,0.36,0.19
"62","Plymouth",727,1338,0.23,0.12
"63","Portland",81,97,0.02,0.01
"64","Putnam",482,567,0.1,0.08
"65","Redding",749,1193,0.2,0.13
"66","Ridgefield",3277,4436,0.76,0.56
"67","Rocky Hill",1592,2337,0.4,0.27
"68","SCSU",451,593,0.1,0.08
"69","Seymour",1404,2035,0.35,0.24
"70","Shelton",207,372,0.06,0.04
"71","Simsbury",1368,1933,0.33,0.23
"72","South Windsor",1533,2662,0.45,0.26
"73","Southington",1633,2503,0.43,0.28
"74","Stamford",2307,3925,0.67,0.39
"75","State Police",75350,146936,25.04,12.84
"76","Stonington",1078,1721,0.29,0.18
"77","Stratford",1090,2054,0.35,0.19
"78","Suffield",477,795,0.14,0.08
"79","Thomaston",224,482,0.08,0.04
"80","Torrington",2236,3158,0.54,0.38
"81","Trumbull",1202,1674,0.29,0.2
"82","UCONN",862,1626,0.28,0.15
"83","Vernon",1344,2293,0.39,0.23
"84","Wallingford",3723,6321,1.08,0.63
"85","Waterbury",800,1608,0.27,0.14
"86","Waterford",1852,2764,0.47,0.32
"87","Watertown",519,755,0.13,0.09
"88","WCSU",31,48,0.01,0.01
"89","West Hartford",3439,5200,0.89,0.59
"90","West Haven",2137,3717,0.63,0.36
"91","Weston",164,197,0.03,0.03
"92","Westport",2420,2949,0.5,0.41
"93","Wethersfield",1659,2831,0.48,0.28
"94","Willimantic",1200,2044,0.35,0.2
"95","Wilton",1716,3057,0.52,0.29
"96","Windsor",2268,3448,0.59,0.39
"97","Windsor Locks",819,1463,0.25,0.14
"98","Winsted",187,368,0.06,0.03
"99","Wolcott",149,222,0.04,0.03
"100","Woodbridge",618,984,0.17,0.11
"101","Yale",386,695,0.12,0.07
