"","DepartmentName","Asian","Black","hispanic","Indian","middle-eastern","White","total","asian_p","black_p","hispanic_p","indian_p","mid_e_p","white_p"
"1","Ansonia",33,795,524,6,850,2366,586849,0.01,0.14,0.09,0,0.14,0.4
"2","Avon",45,117,87,2,38,1169,586849,0.01,0.02,0.01,0,0.01,0.2
"3","Berlin",77,602,749,13,129,4213,586849,0.01,0.1,0.13,0,0.02,0.72
"4","Bethel",67,195,383,NA,23,2571,586849,0.01,0.03,0.07,NA,0,0.44
"5","Bloomfield",30,2762,353,15,124,1957,586849,0.01,0.47,0.06,0,0.02,0.33
"6","Branford",10,268,344,4,10,4389,586849,0,0.05,0.06,0,0,0.75
"7","Bridgeport",68,2033,1536,11,85,1870,586849,0.01,0.35,0.26,0,0.01,0.32
"8","Bristol",60,558,759,16,26,4825,586849,0.01,0.1,0.13,0,0,0.82
"9","Brookfield",NA,96,151,34,15,1730,586849,NA,0.02,0.03,0.01,0,0.29
"10","Canton",10,51,14,23,NA,1420,586849,0,0.01,0,0,NA,0.24
"11","CAPITOL POLICE",8,63,49,NA,3,108,586849,0,0.01,0.01,NA,0,0.02
"12","CCSU",62,523,388,1,190,1865,586849,0.01,0.09,0.07,0,0.03,0.32
"13","Cheshire",70,555,293,15,73,4691,586849,0.01,0.09,0.05,0,0.01,0.8
"14","Clinton",39,97,210,2,36,2529,586849,0.01,0.02,0.04,0,0.01,0.43
"15","Coventry",24,58,61,3,9,1514,586849,0,0.01,0.01,0,0,0.26
"16","Cromwell",19,270,105,5,53,1508,586849,0,0.05,0.02,0,0.01,0.26
"17","Danbury",107,446,1339,23,16,3381,586849,0.02,0.08,0.23,0,0,0.58
"18","Darien",45,305,399,14,18,1787,586849,0.01,0.05,0.07,0,0,0.3
"19","Derby",21,444,340,2,27,1965,586849,0,0.08,0.06,0,0,0.33
"20","DMV",55,417,267,3,5,1621,586849,0.01,0.07,0.05,0,0,0.28
"21","East Hampton",5,22,12,NA,3,415,586849,0,0,0,NA,0,0.07
"22","East Hartford",112,3242,2184,7,86,2859,586849,0.02,0.55,0.37,0,0.01,0.49
"23","East Haven",35,237,456,10,28,2428,586849,0.01,0.04,0.08,0,0,0.41
"24","East Windsor",5,152,70,15,5,810,586849,0,0.03,0.01,0,0,0.14
"25","Easton",7,23,46,NA,7,498,586849,0,0,0.01,NA,0,0.08
"26","ECSU",1,18,15,NA,3,161,586849,0,0,0,NA,0,0.03
"27","Enfield",79,561,404,10,73,4700,586849,0.01,0.1,0.07,0,0.01,0.8
