"","DepartmentName","not.resident","resident","resident_p","not.resident_p"
"1","Ansonia",2874,1700,37.17,62.83
"2","Avon",1047,411,28.19,71.81
"3","Berlin",4527,1256,21.72,78.28
"4","Bethel",2193,1046,32.29,67.71
"5","Bloomfield",3524,1717,32.76,67.24
"6","Branford",3167,1858,36.98,63.02
"7","Bridgeport",1318,4285,76.48,23.52
"8","Bristol",3389,2855,45.72,54.28
"9","Brookfield",1422,604,29.81,70.19
"10","Canton",1168,350,23.06,76.94
"11","CAPITOL POLICE",161,70,30.3,69.7
"12","CCSU",2147,882,29.12,70.88
"13","Cheshire",3819,1878,32.96,67.04
"14","Clinton",1610,1303,44.73,55.27
"15","Coventry",970,699,41.88,58.12
"16","Cromwell",1338,622,31.73,68.27
"17","Danbury",4290,1022,19.24,80.76
"18","Darien",1960,608,23.68,76.32
"19","Derby",2301,498,17.79,82.21
"20","DMV",2127,241,10.18,89.82
"21","East Hampton",221,236,51.64,48.36
"22","East Hartford",4331,4159,48.99,51.01
"23","East Haven",1884,1310,41.01,58.99
"24","East Windsor",758,299,28.29,71.71
"25","Easton",424,157,27.02,72.98
"26","ECSU",164,34,17.17,82.83
"27","Enfield",2409,3418,58.66,41.34
"28","Fairfield",5946,1901,24.23,75.77
"29","Farmington",4179,731,14.89,85.11
"30","Glastonbury",2600,1790,40.77,59.23
"31","Granby",659,374,36.21,63.79
"32","Greenwich",4968,2197,30.66,69.34
"33","Groton City",1333,792,37.27,62.73
"34","Groton Long Point",62,12,16.22,83.78
"35","Groton Town",3810,2089,35.41,64.59
"36","Guilford",1402,1552,52.54,47.46
"37","Hamden",2808,2044,42.13,57.87
"38","Hartford",3504,2383,40.48,59.52
"39","Madison",2124,1584,42.72,57.28
"40","Manchester",2739,2552,48.23,51.77
"41","Meriden",918,1782,66,34
"42","Middlebury",130,47,26.55,73.45
"43","Middletown",1665,1595,48.93,51.07
"44","Milford",1811,1366,43,57
"45","Monroe",3943,1857,32.02,67.98
"46","Naugatuck",2453,2585,51.31,48.69
"47","New Britain",2485,5843,70.16,29.84
"48","New Canaan",3481,1874,35,65
"49","New Haven",5779,7039,54.91,45.09
"50","New London",785,714,47.63,52.37
"51","New Milford",2116,1779,45.67,54.33
"52","Newington",3994,1489,27.16,72.84
"53","Newtown",5896,4060,40.78,59.22
"54","North Branford",723,279,27.84,72.16
"55","North Haven",1325,427,24.37,75.63
"56","Norwalk",3332,1990,37.39,62.61
"57","Norwich",2979,2980,50.01,49.99
"58","Old Saybrook",2365,1037,30.48,69.52
"59","Orange",4063,538,11.69,88.31
"60","Plainfield",918,776,45.81,54.19
"61","Plainville",2132,1141,34.86,65.14
"62","Plymouth",1704,361,17.48,82.52
"63","Portland",109,69,38.76,61.24
"64","Putnam",759,290,27.65,72.35
"65","Redding",1456,486,25.03,74.97
"66","Ridgefield",5119,2594,33.63,66.37
"67","Rocky Hill",2576,1353,34.44,65.56
"68","SCSU",671,373,35.73,64.27
"69","Seymour",2181,1258,36.58,63.42
"70","Shelton",268,311,53.71,46.29
"71","Simsbury",1832,1469,44.5,55.5
"72","South Windsor",2733,1462,34.85,65.15
"73","Southington",2186,1950,47.15,52.85
"74","Stamford",2148,4084,65.53,34.47
"75","State Police",195272,27014,12.15,87.85
"76","Stonington",1876,923,32.98,67.02
"77","Stratford",1825,1319,41.95,58.05
"78","Suffield",1045,227,17.85,82.15
"79","Thomaston",465,241,34.14,65.86
"80","Torrington",2164,3230,59.88,40.12
"81","Trumbull",2306,570,19.82,80.18
"82","UCONN",2214,274,11.01,88.99
"83","Vernon",2176,1461,40.17,59.83
"84","Wallingford",5827,4217,41.99,58.01
"85","Waterbury",636,1772,73.59,26.41
"86","Waterford",3509,1107,23.98,76.02
"87","Watertown",819,455,35.71,64.29
"88","WCSU",37,42,53.16,46.84
"89","West Hartford",7072,1567,18.14,81.86
"90","West Haven",2776,3077,52.57,47.43
"91","Weston",186,175,48.48,51.52
"92","Westport",3868,1501,27.96,72.04
"93","Wethersfield",3664,826,18.4,81.6
"94","Willimantic",1621,1623,50.03,49.97
"95","Wilton",3759,1014,21.24,78.76
"96","Windsor",3637,2079,36.37,63.63
"97","Windsor Locks",1585,697,30.54,69.46
"98","Winsted",240,315,56.76,43.24
"99","Wolcott",185,186,50.13,49.87
"100","Woodbridge",1419,183,11.42,88.58
"101","Yale",811,270,24.98,75.02
