"","DepartmentName","Minority","White"
"1","Ansonia",2.08,1.22
"2","Avon",0.21,0.48
"3","Berlin",1.31,1.19
"4","Bethel",0.22,0.46
"5","Bloomfield",2.37,0.5
"6","Branford",0.48,1.45
"7","Bridgeport",7.28,1.21
"8","Bristol",0.9,0.98
"9","Brookfield",0.49,1.04
"10","Canton",0.13,1.45
"11","CAPITOL POLICE",1.3,NA
"12","CCSU",0.2,0.07
"13","Cheshire",0.54,0.82
"14","Clinton",0.55,4.05
"15","Coventry",0.24,1.32
"16","Cromwell",0.36,0.71
"17","Danbury",3.77,3.58
"18","Darien",1.13,1.29
"19","Derby",3.68,5.64
"20","DMV",0.04,0.21
"21","East Hampton",1.31,5.03
"22","East Hartford",3.26,1.2
"23","East Haven",1,2.04
"24","East Windsor",0.28,1.32
"25","Easton",0.17,0.52
"26","ECSU",NA,NA
"27","Enfield",0.81,1.94
"28","Fairfield",1.19,1.43
"29","Farmington",0.9,2.02
"30","Glastonbury",1.73,5.81
"31","Granby",0.19,0.77
"32","Greenwich",0.84,0.45
"33","Groton City",1.08,0.47
"34","Groton Long Point",NA,NA
"35","Groton Town",0.44,0.97
"36","Guilford",0.1,0.71
"37","Hamden",0.91,0.33
"38","Hartford",0.88,0.15
"39","Madison",0.3,0.65
"40","Manchester",1.66,0.77
"41","Meriden",3.89,2.56
"42","Middlebury",0.56,0.56
"43","Middletown",2.82,4.36
"44","Milford",3.37,5.04
"45","Monroe",0.26,0.81
"46","Naugatuck",1.27,3.45
"47","New Britain",2.81,1.03
"48","New Canaan",0.32,0.62
"49","New Haven",5.12,1.08
"50","New London",4.4,3.34
"51","New Milford",0.39,0.9
"52","Newington",2.32,1.79
"53","Newtown",0.25,0.71
"54","North Branford",0.9,1
"55","North Haven",2.28,3.2
"56","Norwalk",3.31,1.26
"57","Norwich",2.95,3.1
"58","Old Saybrook",0.18,3.32
"59","Orange",0.96,0.61
"60","Plainfield",0.3,1.48
"61","Plainville",2.17,4.77
"62","Plymouth",0.58,2.18
"63","Portland",NA,2.25
"64","Putnam",0.1,1.33
"65","Redding",0.15,0.77
"66","Ridgefield",0.18,0.34
"67","Rocky Hill",0.71,1.4
"68","SCSU",0.77,0.48
"69","Seymour",0.87,1.98
"70","Shelton",0.17,2.25
"71","Simsbury",0.15,0.7
"72","South Windsor",1.69,1.91
"73","Southington",0.1,0.12
"74","Stamford",1.7,1.41
"75","State Police",0.76,1.03
"76","Stonington",0.07,0.61
"77","Stratford",6.14,3.31
"78","Suffield",0.39,1.81
"79","Thomaston",0.57,2.83
"80","Torrington",0.44,1
"81","Trumbull",0.97,1.53
"82","UCONN",1.05,2.17
"83","Vernon",2.61,5.44
"84","Wallingford",2.58,4.44
"85","Waterbury",13.62,4.49
"86","Waterford",1.34,2.66
"87","Watertown",1.26,0.63
"88","WCSU",NA,NA
"89","West Hartford",3.03,4.79
"90","West Haven",2.34,1.35
"91","Weston",0.28,0.55
"92","Westport",1.83,2.12
"93","Wethersfield",3.01,2.63
"94","Willimantic",1.97,1.85
"95","Wilton",3.39,5.26
"96","Windsor",1.03,0.45
"97","Windsor Locks",1.1,2.94
"98","Winsted",0.72,2.34
"99","Wolcott",1.35,5.12
"100","Woodbridge",1.19,0.25
"101","Yale",7.77,1.2
