"","DepartmentName","not.searched","searched","searched_p","not.searched_p"
"1","Ansonia",4423,151,3.3,96.7
"2","Avon",1448,10,0.69,99.31
"3","Berlin",5638,145,2.51,97.49
"4","Bethel",3217,22,0.68,99.32
"5","Bloomfield",5091,150,2.86,97.14
"6","Branford",4928,97,1.93,98.07
"7","Bridgeport",5127,476,8.5,91.5
"8","Bristol",6127,117,1.87,98.13
"9","Brookfield",1995,31,1.53,98.47
"10","Canton",1494,24,1.58,98.42
"11","CAPITOL POLICE",228,3,1.3,98.7
"12","CCSU",3021,8,0.26,99.74
"13","Cheshire",5619,78,1.37,98.63
"14","Clinton",2779,134,4.6,95.4
"15","Coventry",1643,26,1.56,98.44
"16","Cromwell",1939,21,1.07,98.93
"17","Danbury",4922,390,7.34,92.66
"18","Darien",2506,62,2.41,97.59
"19","Derby",2538,261,9.32,90.68
"20","DMV",2362,6,0.25,99.75
"21","East Hampton",428,29,6.35,93.65
"22","East Hartford",8111,379,4.46,95.54
"23","East Haven",3097,97,3.04,96.96
"24","East Windsor",1040,17,1.61,98.39
"25","Easton",577,4,0.69,99.31
"26","ECSU",198,NA,NA,100
"27","Enfield",5667,160,2.75,97.25
"28","Fairfield",7642,205,2.61,97.39
"29","Farmington",4767,143,2.91,97.09
"30","Glastonbury",4059,331,7.54,92.46
"31","Granby",1023,10,0.97,99.03
"32","Greenwich",7073,92,1.28,98.72
"33","Groton City",2092,33,1.55,98.45
"34","Groton Long Point",74,NA,NA,100
"35","Groton Town",5816,83,1.41,98.59
"36","Guilford",2930,24,0.81,99.19
"37","Hamden",4792,60,1.24,98.76
"38","Hartford",5826,61,1.04,98.96
"39","Madison",3673,35,0.94,99.06
"40","Manchester",5162,129,2.44,97.56
"41","Meriden",2526,174,6.44,93.56
"42","Middlebury",175,2,1.13,98.87
"43","Middletown",3026,234,7.18,92.82
"44","Milford",2910,267,8.4,91.6
"45","Monroe",5738,62,1.07,98.93
"46","Naugatuck",4800,238,4.72,95.28
"47","New Britain",8008,320,3.84,96.16
"48","New Canaan",5305,50,0.93,99.07
"49","New Haven",12024,794,6.19,93.81
"50","New London",1383,116,7.74,92.26
"51","New Milford",3845,50,1.28,98.72
"52","Newington",5258,225,4.1,95.9
"53","Newtown",9860,96,0.96,99.04
"54","North Branford",983,19,1.9,98.1
"55","North Haven",1656,96,5.48,94.52
"56","Norwalk",5079,243,4.57,95.43
"57","Norwich",5598,361,6.06,93.94
"58","Old Saybrook",3283,119,3.5,96.5
"59","Orange",4529,72,1.56,98.44
"60","Plainfield",1664,30,1.77,98.23
"61","Plainville",3046,227,6.94,93.06
"62","Plymouth",2008,57,2.76,97.24
"63","Portland",174,4,2.25,97.75
"64","Putnam",1034,15,1.43,98.57
"65","Redding",1924,18,0.93,99.07
"66","Ridgefield",7673,40,0.52,99.48
"67","Rocky Hill",3846,83,2.11,97.89
"68","SCSU",1031,13,1.25,98.75
"69","Seymour",3341,98,2.85,97.15
"70","Shelton",565,14,2.42,97.58
"71","Simsbury",3273,28,0.85,99.15
"72","South Windsor",4044,151,3.6,96.4
"73","Southington",4127,9,0.22,99.78
"74","Stamford",6038,194,3.11,96.89
"75","State Police",218306,3980,1.79,98.21
"76","Stonington",2780,19,0.68,99.32
"77","Stratford",2847,297,9.45,90.55
"78","Suffield",1244,28,2.2,97.8
"79","Thomaston",682,24,3.4,96.6
"80","Torrington",5316,78,1.45,98.55
"81","Trumbull",2804,72,2.5,97.5
"82","UCONN",2408,80,3.22,96.78
"83","Vernon",3344,293,8.06,91.94
"84","Wallingford",9339,705,7.02,92.98
"85","Waterbury",1972,436,18.11,81.89
"86","Waterford",4431,185,4.01,95.99
"87","Watertown",1250,24,1.88,98.12
"88","WCSU",79,NA,NA,100
"89","West Hartford",7963,676,7.82,92.18
"90","West Haven",5638,216,3.69,96.31
"91","Weston",358,3,0.83,99.17
"92","Westport",5157,212,3.95,96.05
"93","Wethersfield",4237,253,5.63,94.37
"94","Willimantic",3120,124,3.82,96.18
"95","Wilton",4360,413,8.65,91.35
"96","Windsor",5631,85,1.49,98.51
"97","Windsor Locks",2190,92,4.03,95.97
"98","Winsted",538,17,3.06,96.94
"99","Wolcott",347,24,6.47,93.53
"100","Woodbridge",1579,23,1.44,98.56
"101","Yale",984,97,8.97,91.03
