"","DepartmentName","Minority","White"
"1","Ansonia",0.2,0.22
"2","Avon",0.27,1.65
"3","Berlin",3.42,10.79
"4","Bethel",3.12,15.07
"5","Bloomfield",5.23,1.74
"6","Branford",NA,0.06
"7","Bridgeport",5.43,3.89
"8","Bristol",1.31,4.55
"9","Brookfield",0.39,2.32
"10","Canton",NA,0.33
"11","CAPITOL POLICE",NA,NA
"12","CCSU",0.53,0.4
"13","Cheshire",0.12,0.49
"14","Clinton",0.27,2.64
"15","Coventry",0.3,3.71
"16","Cromwell",1.58,3.83
"17","Danbury",0.11,0.23
"18","Darien",0.55,1.83
"19","Derby",1.86,6.18
"20","DMV",0.17,0.21
"21","East Hampton",NA,NA
"22","East Hartford",2.94,1.97
"23","East Haven",0.75,3.22
"24","East Windsor",1.51,5.87
"25","Easton",1.2,7.06
"26","ECSU",NA,1.01
"27","Enfield",0.36,0.86
"28","Fairfield",0.6,1.1
"29","Farmington",1.1,4.64
"30","Glastonbury",0.07,0.82
"31","Granby",0.29,4.16
"32","Greenwich",0.56,0.74
"33","Groton City",0.05,0.09
"34","Groton Long Point",NA,NA
"35","Groton Town",0.41,2.31
"36","Guilford",0.03,0.37
"37","Hamden",1.17,1.83
"38","Hartford",4.26,4.65
"39","Madison",0.03,0.03
"40","Manchester",0.09,0.11
"41","Meriden",2.41,3.11
"42","Middlebury",0.56,29.38
"43","Middletown",0.06,NA
"44","Milford",1.35,4.38
"45","Monroe",0.09,0.62
"46","Naugatuck",0.3,0.83
"47","New Britain",4.66,4.12
"48","New Canaan",0.13,0.71
"49","New Haven",1.3,0.66
"50","New London",0.07,0.07
"51","New Milford",0.05,0.28
"52","Newington",0.49,0.46
"53","Newtown",0.16,0.65
"54","North Branford",NA,0.1
"55","North Haven",0.29,1.77
"56","Norwalk",3.61,5.26
"57","Norwich",1.36,2.87
"58","Old Saybrook",0.06,0.71
"59","Orange",0.61,1.74
"60","Plainfield",NA,0.12
"61","Plainville",0.4,1.83
"62","Plymouth",0.87,10.12
"63","Portland",NA,NA
"64","Putnam",NA,0.76
"65","Redding",NA,0.31
"66","Ridgefield",0.09,0.48
"67","Rocky Hill",1.71,5.88
"68","SCSU",1.63,0.57
"69","Seymour",0.17,1.74
"70","Shelton",0.35,2.07
"71","Simsbury",0.12,1.61
"72","South Windsor",0.19,0.17
"73","Southington",0.87,8.41
"74","Stamford",1.32,1.97
"75","State Police",0.28,0.41
"76","Stonington",0.04,0.57
"77","Stratford",0.16,0.35
"78","Suffield",0.08,0.24
"79","Thomaston",0.14,0.14
"80","Torrington",NA,0.2
"81","Trumbull",3.37,5.25
"82","UCONN",NA,0.12
"83","Vernon",0.08,0.82
"84","Wallingford",0.06,0.46
"85","Waterbury",2.33,2.87
"86","Waterford",NA,0.06
"87","Watertown",0.55,2.98
"88","WCSU",NA,1.27
"89","West Hartford",1.06,1.92
"90","West Haven",0.31,0.31
"91","Weston",0.28,1.11
"92","Westport",0.43,3.41
"93","Wethersfield",1.89,2.38
"94","Willimantic",0.49,1.48
"95","Wilton",0.52,2.1
"96","Windsor",0.51,0.28
"97","Windsor Locks",1.14,4.82
"98","Winsted",NA,NA
"99","Wolcott",NA,NA
"100","Woodbridge",0.06,0.12
"101","Yale",0.37,0.09
