"","id","total","town_name","town_department","white","minority_p","white_p","black","black_p","hispanic","hispanic_p","X","state_code","county_code","tract_code","total_pop","white_pop","black_pop","hispanic_pop","minority_pop","white_pop_p","minority_pop_p","black_pop_p","hispanic_pop_p"
"1","09001073100",1,"Bridgeport","Stratford",2,33.33,66.67,1,33.33,NA,NA,126,9,1,73100,5007,2247,2090,5007,2760,44.88,55.12,41.74,41.74
"2","09001073200",7,"Bridgeport","Stratford",3,70,30,6,60,1,10,127,9,1,73200,2461,1240,603,2461,1221,50.39,49.61,24.5,24.5
"3","09001073300",5,"Bridgeport","Stratford",3,62.5,37.5,3,37.5,2,25,128,9,1,73300,3206,984,1683,3206,2222,30.69,69.31,52.5,52.5
"4","09001073700",5,"Bridgeport","Stratford",3,62.5,37.5,4,50,1,12.5,132,9,1,73700,4810,1530,1900,4810,3280,31.81,68.19,39.5,39.5
"5","09001074300",18,"Bridgeport","Stratford",5,78.26,21.74,14,60.87,4,17.39,136,9,1,74300,4113,1317,2219,4113,2796,32.02,67.98,53.95,53.95
"6","09001074400",3,"Bridgeport","Stratford",2,60,40,3,60,NA,NA,137,9,1,74400,4571,1098,2491,4571,3473,24.02,75.98,54.5,54.5
"7","09001080100",108,"Stratford","Stratford",77,58.38,41.62,63,34.05,44,23.78,138,9,1,80100,5014,3068,948,5014,1946,61.19,38.81,18.91,18.91
"8","09001080200",272,"Stratford","Stratford",202,57.38,42.62,175,36.92,95,20.04,139,9,1,80200,4520,2768,1089,4520,1752,61.24,38.76,24.09,24.09
"9","09001080400",277,"Stratford","Stratford",155,64.12,35.88,195,45.14,80,18.52,140,9,1,80400,5722,2238,2817,5722,3484,39.11,60.89,49.23,49.23
"10","09001080500",93,"Stratford","Stratford",114,44.93,55.07,59,28.5,33,15.94,141,9,1,80500,3213,3112,41,3213,101,96.86,3.14,1.28,1.28
"11","09001080600",61,"Stratford","Stratford",89,40.67,59.33,38,25.33,22,14.67,142,9,1,80600,2111,1733,243,2111,378,82.09,17.91,11.51,11.51
"12","09001080700",145,"Stratford","Stratford",218,39.94,60.06,79,21.76,60,16.53,143,9,1,80700,2096,1679,326,2096,417,80.1,19.9,15.55,15.55
"13","09001080800",72,"Stratford","Stratford",146,33.03,66.97,39,17.89,30,13.76,144,9,1,80800,4835,4358,160,4835,477,90.13,9.87,3.31,3.31
"14","09001080900",102,"Stratford","Stratford",157,39.38,60.62,60,23.17,41,15.83,145,9,1,80900,5144,4148,672,5144,996,80.64,19.36,13.06,13.06
"15","09001081000",36,"Stratford","Stratford",47,43.37,56.63,24,28.92,12,14.46,146,9,1,81000,4406,3508,385,4406,898,79.62,20.38,8.74,8.74
"16","09001081100",25,"Stratford","Stratford",68,26.88,73.12,17,18.28,7,7.53,147,9,1,81100,4707,4232,369,4707,475,89.91,10.09,7.84,7.84
