"","id","total","town_name","town_department","white","minority_p","white_p","black","black_p","hispanic","hispanic_p"
"1","09001073100",1,"Bridgeport","Stratford",2,33.33,66.67,1,33.33,NA,NA
"2","09001073200",7,"Bridgeport","Stratford",3,70,30,6,60,1,10
"3","09001073300",5,"Bridgeport","Stratford",3,62.5,37.5,3,37.5,2,25
"4","09001073700",5,"Bridgeport","Stratford",3,62.5,37.5,4,50,1,12.5
"5","09001074300",18,"Bridgeport","Stratford",5,78.26,21.74,14,60.87,4,17.39
"6","09001074400",3,"Bridgeport","Stratford",2,60,40,3,60,NA,NA
"7","09001080100",108,"Stratford","Stratford",77,58.38,41.62,63,34.05,44,23.78
"8","09001080200",272,"Stratford","Stratford",202,57.38,42.62,175,36.92,95,20.04
"9","09001080400",277,"Stratford","Stratford",155,64.12,35.88,195,45.14,80,18.52
"10","09001080500",93,"Stratford","Stratford",114,44.93,55.07,59,28.5,33,15.94
"11","09001080600",61,"Stratford","Stratford",89,40.67,59.33,38,25.33,22,14.67
"12","09001080700",145,"Stratford","Stratford",218,39.94,60.06,79,21.76,60,16.53
"13","09001080800",72,"Stratford","Stratford",146,33.03,66.97,39,17.89,30,13.76
"14","09001080900",102,"Stratford","Stratford",157,39.38,60.62,60,23.17,41,15.83
"15","09001081000",36,"Stratford","Stratford",47,43.37,56.63,24,28.92,12,14.46
"16","09001081100",25,"Stratford","Stratford",68,26.88,73.12,17,18.28,7,7.53
"17","09001081200",20,"Stratford","Stratford",92,17.86,82.14,9,8.04,10,8.93
"18","09001081300",8,"Stratford","Stratford",63,11.27,88.73,6,8.45,1,1.41
"19","09001090500",4,"Trumbull","Stratford",1,80,20,2,40,2,40
"20","09003415300",81,"New Britain","New Britain",41,66.39,33.61,24,19.67,56,45.9
"21","09003415400",62,"New Britain","New Britain",34,64.58,35.42,25,26.04,34,35.42
"22","09003415500",75,"New Britain","New Britain",59,55.97,44.03,26,19.4,46,34.33
"23","09003415600",87,"New Britain","New Britain",43,66.92,33.08,19,14.62,66,50.77
"24","09003415700",50,"New Britain","New Britain",32,60.98,39.02,15,18.29,34,41.46
"25","09003415800",81,"New Britain","New Britain",85,48.8,51.2,34,20.48,47,28.31
"26","09003415900",252,"New Britain","New Britain",128,66.32,33.68,65,17.11,185,48.68
"27","09003416000",51,"New Britain","New Britain",36,58.62,41.38,14,16.09,37,42.53
"28","09003416100",394,"New Britain","New Britain",116,77.25,22.75,98,19.22,292,57.25
"29","09003416200",339,"New Britain","New Britain",137,71.22,28.78,92,19.33,239,50.21
"30","09003416300",258,"New Britain","New Britain",138,65.15,34.85,81,20.45,171,43.18
"31","09003416400",25,"New Britain","New Britain",54,31.65,68.35,9,11.39,16,20.25
"32","09003416500",138,"New Britain","New Britain",137,50.18,49.82,40,14.55,92,33.45
"33","09003416600",69,"New Britain","New Britain",54,56.1,43.9,18,14.63,50,40.65
"34","09003416700",57,"New Britain","New Britain",54,51.35,48.65,10,9.01,46,41.44
"35","09003416800",56,"New Britain","New Britain",58,49.12,50.88,15,13.16,40,35.09
"36","09003417100",467,"New Britain","New Britain",223,67.68,32.32,146,21.16,308,44.64
"37","09003417200",12,"New Britain","New Britain",22,35.29,64.71,5,14.71,7,20.59
"38","09003417300",6,"New Britain","New Britain",5,54.55,45.45,5,45.45,NA,NA
"39","09003417400",21,"New Britain","New Britain",24,46.67,53.33,9,20,12,26.67
"40","09003417500",67,"New Britain","New Britain",90,42.68,57.32,21,13.38,42,26.75
"41","09003460202",1,"Farmington","New Britain",4,20,80,1,20,NA,NA
"42","09003464101",1,"Canton","Granby",NA,NA,NA,1,NA,NA,NA
"43","09003468101",9,"Granby","Granby",127,6.62,93.38,6,4.41,3,2.21
"44","09003468102",33,"Granby","Granby",318,9.4,90.6,18,5.13,13,3.7
"45","09003470100",2,"East Granby","Granby",2,50,50,2,50,NA,NA
"46","09003487500",17,"South Windsor","East Hartford",22,43.59,56.41,7,17.95,9,23.08
"47","09003494300",2,"Newington","New Britain",NA,NA,NA,1,NA,1,NA
"48","09003500500",1,"Hartford","East Hartford",NA,NA,NA,1,NA,NA,NA
"49","09003502100",1,"Hartford","East Hartford",NA,NA,NA,1,NA,NA,NA
"50","09003510100",229,"East Hartford","East Hartford",109,67.75,32.25,117,34.62,102,30.18
"51","09003510200",1211,"East Hartford","East Hartford",687,63.8,36.2,694,36.56,495,26.08
"52","09003510300",426,"East Hartford","East Hartford",267,61.47,38.53,245,35.35,168,24.24
"53","09003510400",647,"East Hartford","East Hartford",294,68.76,31.24,358,38.04,275,29.22
"54","09003510500",357,"East Hartford","East Hartford",162,68.79,31.21,211,40.66,139,26.78
"55","09003510600",363,"East Hartford","East Hartford",232,61.01,38.99,215,36.13,137,23.03
"56","09003510700",59,"East Hartford","East Hartford",82,41.84,58.16,29,20.57,27,19.15
"57","09003510800",39,"East Hartford","East Hartford",68,36.45,63.55,18,16.82,18,16.82
"58","09003510900",7,"East Hartford","East Hartford",14,33.33,66.67,4,19.05,2,9.52
"59","09003511000",8,"East Hartford","East Hartford",7,53.33,46.67,6,40,2,13.33
"60","09003511100",16,"East Hartford","East Hartford",27,37.21,62.79,5,11.63,10,23.26
"61","09003511200",114,"East Hartford","East Hartford",33,77.55,22.45,57,38.78,54,36.73
"62","09003511300",346,"East Hartford","East Hartford",148,70.04,29.96,196,39.68,142,28.74
"63","09003511400",14,"East Hartford","East Hartford",9,60.87,39.13,11,47.83,3,13.04
"64","09003514101",4,"Manchester","Manchester",11,26.67,73.33,2,13.33,2,13.33
"65","09003514102",308,"Manchester","Manchester",386,44.38,55.62,184,26.51,98,14.12
"66","09003514200",90,"Manchester","Manchester",124,42.06,57.94,45,21.03,29,13.55
"67","09003514300",39,"Manchester","Manchester",80,32.77,67.23,20,16.81,17,14.29
"68","09003514400",216,"Manchester","Manchester",336,39.13,60.87,129,23.37,76,13.77
"69","09003514500",132,"Manchester","Manchester",175,43,57,68,22.15,55,17.92
