DepartmentName,VOD Estimate,Minorities,Black,Hispanic,Black_Or_Hispanic
Ansonia,Coefficient,-0.255,-0.22,-0.481*,-0.332*
Ansonia,SE,-0.213,-0.22,-0.251,-0.177
Ansonia,ESS,"1,005",988,932,1105
Avon,Coefficient,0.533,0.635,-1.798*,0.088
Avon,SE,-0.7,-0.87,-0.991,-0.787
Avon,ESS,233,223,216,232
Berlin,Coefficient,0.311,0.22,-0.21,-0.0285
Berlin,SE,-0.423,-0.476,-0.4,-0.321
Berlin,ESS,540,520,539,595
Bethel,Coefficient,-0.503,-0.286,-0.227,-0.278
Bethel,SE,-0.396,-0.438,-0.45,-0.335
Bethel,ESS,502,490,505,543
Bloomfield,Coefficient,-0.599***,-0.588**,-0.265,-0.579**
Bloomfield,SE,-0.231,-0.235,-0.391,-0.229
Bloomfield,ESS,727,703,381,749
Branford,Coefficient,-0.362,-0.362,-0.782,-0.558
Branford,SE,-0.694,-0.694,-0.727,-0.512
Branford,ESS,444,444,445,463
Bridgeport,Coefficient,-0.0705,-0.0966,-0.266,-0.141
Bridgeport,SE,-0.224,-0.226,-0.25,-0.209
Bridgeport,ESS,538,527,408,731
Bristol,Coefficient,-0.228,-0.282,0.590**,0.225
Bristol,SE,-0.316,-0.348,-0.28,-0.221
Bristol,ESS,979,966,"1,003","1,076"
Brookfield,Coefficient,0.617,0.916,0.427,0.414
Brookfield,SE,-0.823,-1.375,-0.487,-0.468
Brookfield,ESS,301,295,312,319
Canton,Coefficient,1.231,7.564*,0.482,0.0237
Canton,SE,-0.98,-4.309,-1.478,-1.098
Canton,ESS,323,316,319,322
Cheshire,Coefficient,-0.204,-0.138,-0.749,-0.318
Cheshire,SE,-0.333,-0.357,-0.67,-0.316
Cheshire,ESS,742,729,698,758
Clinton,Coefficient,0.398,0.129,-1.243**,-0.941*
Clinton,SE,-0.76,-0.738,-0.62,-0.505
Clinton,ESS,357,347,363,370
Coventry,Coefficient,0.0306,1.877**,0.93,1.103
Coventry,SE,-1.14,-0.86,-0.926,-0.7
Coventry,ESS,197,193,193,200
Cromwell,Coefficient,0.307,1.225,1.411,1.137*
Cromwell,SE,-0.663,-0.803,-1.137,-0.619
Cromwell,ESS,167,164,158,173
Danbury,Coefficient,-1.482**,-1.379**,0.132,-0.148
Danbury,SE,-0.586,-0.664,-0.384,-0.354
Danbury,ESS,231,222,279,310
Darien,Coefficient,-0.289,-0.224,-0.68,-0.54
Darien,SE,-0.514,-0.537,-0.475,-0.378
Darien,ESS,299,292,307,338
Derby,Coefficient,-0.281,-0.514,-0.372,-0.385
Derby,SE,-0.44,-0.47,-0.43,-0.34
Derby,ESS,374,368,370,424
East Hampton,Coefficient,0.312,0.348,,0.239
East Hampton,SE,-2.309,-1.858,,-3.003
East Hampton,ESS,63,62,,64
East Hartford,Coefficient,-0.03,-0.0542,-0.0164,-0.0373
East Hartford,SE,-0.278,-0.28,-0.304,-0.256
East Hartford,ESS,470,456,389,611
East Haven,Coefficient,0.344,-0.155,0.284,0.166
East Haven,SE,-0.507,-0.785,-0.525,-0.431
East Haven,ESS,328,316,340,358
East Windsor,Coefficient,-0.841,-0.692,1.498,-0.25
East Windsor,SE,-0.82,-0.836,-1.774,-0.735
East Windsor,ESS,171,170,165,179
Easton,Coefficient,-12.09*,-85.13,-1.402,-1.249
Easton,SE,-7.23,-4457.4,-1.701,-1.059
Easton,ESS,89,88,92,95
Enfield,Coefficient,0.493*,0.564*,-0.49,0.116
Enfield,SE,-0.286,-0.33,-0.359,-0.248
Enfield,ESS,"1,077","1,056","1,037","1,109"
Fairfield,Coefficient,0.179,0.242,-0.346,0.0245
Fairfield,SE,-0.244,-0.266,-0.335,-0.219
Fairfield,ESS,"1,008",980,948,"1,097"
Farmington,Coefficient,-0.406,-0.742,0.512,-0.169
Farmington,SE,-0.398,-0.563,-0.62,-0.421
Farmington,ESS,440,409,398,435
Glastonbury,Coefficient,-0.24,-0.123,-0.369,-0.258
Glastonbury,SE,-0.33,-0.517,-0.451,-0.346
Glastonbury,ESS,688,648,657,697
Granby,Coefficient,1.277,0.536,20.43,0.31
Granby,SE,-1.455,-1.66,-25.29,-1.165
Granby,ESS,201,200,194,205
Greenwich,Coefficient,-0.456,-0.750*,-0.0607,-0.258
Greenwich,SE,-0.34,-0.443,-0.314,-0.267
Greenwich,ESS,798,764,807,858
Groton,Coefficient,-0.0507,-0.268,-0.736**,-0.438*
Groton,SE,-0.286,-0.321,-0.37,-0.266
