SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E611	E612	E61	E62A	E62B	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	MEMBER92	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE611	IE612	IE61	IE62A	IE62B	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D_	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IMEMBR92
93	1	AL	Alabama	0	0	293906318	319897691	0	589111	0	0	4669485	80309168	161074822	43009292	0	0	902866776	0	1732505562	223955966	108650319	0	14774692	347380977	186791338	2982753315	1220955689	299686376	5253066	0	0	81134594	28925904	16663271	1623692996	59273420	54254299	37740229	115411352	78668107	61665140	25526107	432538654	14548727	13316788	9263552	28328087	19309452	15135920	6265273	106167799	1014445	1014445	8508228	3224176	83334827	4459618	13542567	115098306	4267605	13585477	1151777	978845	3067985	1239775	2342482	26633946	4653369	4653370	590333	3413804	590333	13310859	1744567	28956635	8262074	4616882	6372605	2659600	42696770	24453352	3964310	93025593	87366271	86787891	63036391	150602060	227077141	106953805	51640739	773464298	81033080	19889722	2504234	102461384	7586943	7468715	213357135	0	0	0	0	0	0	0	213357135	0	0	0	0	0	0	0	0	0	0	2610514429	0	134097624	134097624	3220432	4820813	8041245	0	142138869	54926488	42431540	97358028	7018094	0	849852	17408496	0	17329767	0	35588115	73510727	2860728989	115298232		5163224		361845446	2248668983	694078	0	694078	731634	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T
93	2	AK	Alaska	0	0	0	187717442	15862	0	0	0	4572165	8741304	16808650	23535689	87991	0	241479103	0	767808842	20567084	48686772	0	103985307	173239163	0	1182527108	353601881	80329320	19469252	135287	0	21389011	8557142	20944681	495869432	73166351	35387124	27504219	43088664	55027224	4267554	640109	239081245	18584294	8421728	11461369	10629839	16642539	1927206	241616	67908591	3590361	2947103	17020421	3124417	21902740	25593986	743415	74922443	1335692	3337131	2582360	1349778	47778310	696023	52554	57131848	532290	870972	1667465	608451	3270636	404197	10403	7364414	377081	398972	573807	239785	91139	205761	529897	2416442	97053779	50492058	59142176	58432483	141441952	32690530	2207591	441460569	10511966	3022323	581228	12149086	365031	16217	26280820	161176	19919	1680919	2120639	441239	171680	4154333	30435153	0	0	0	0	0	0	0	0	0	0	967765154	0	52025059	52025059	30543	19724	50267	12766852	64842178	42435268	93842947	136278215	5593995	65766	0	384155	0	0	95034	384155	29705745	1055474108	21323086	50466	1707943	21646	48756948	919008206	110797	110797	0	122487	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
93	4	AZ	Arizona	1247293016	0	0	0	1985370	19408238	166813	0	48436161	54759634	19370182	128032578	0	313684	1500357438	190760557	1411844207	69909305	213613731	0	16403218	299926254	454405016	3402888456	1328278323	216455810	13243228	11090547	19841837	29130446	60040478	10784028	1608982383	94103680	73158192	78312896	125107040	117906625	51962703	33934683	574485819	15953178	13038925	14177805	21849104	27622396	12164902	9973953	114780262	2041099	3184712	6329008	1269356	19475762	13001774	3381012	48682723	1804094	5925845	3098795	1353179	135597309	15752475	7771777	171303474	2761964	10979746	3734616	3496970	23301481	12171305	8598071	65044153	171186	247152	14761469	245366	15467915	14125364	35520526	80538977	114073237	95554825	116679973	149824045	316070007	107007218	90581950	989791255	48059829	10034745	7499986	56539372	2464281	3686820	125820752	9002534	2392604	5270701	9545352	1351796	2698782	28909972	154730724	0	0	0	0	0	0	2505550	0	0	0	2753504362	1269327	318635839	319905166	37098988	148573614	185672602	56767917	562345685	168328712	210914341	379243053	12484106	477112	0	3542700	0	0	0	3542700	371818339	3461254674	67602197	9390358	5270247	1504695	160363180	2593141182	610558	610558	0	673477	R	R	R	R	A	R	A	R	R	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	A	R	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	R	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	A	A	A	A	A	A	T	T	R	R	A	R	R	R	R	A	R	T	T	R	A	T	A	A	T	A	R	R	R	R	A	A	R	R	R	R	R	R	T	R	R	R	R	R	R	T	R	R	R	R
93	5	AR	Arkansas	0	0	437997535	17316430	500658	8306521	35528	10745	82696453	34277878	56545591	11113388	38219	423999	640945679	3620356	1104346615	5609675	170005250	51495	9267271	184933691	89012018	1933846341	831953309	180166418	16610499	5651752	7872321	32636499	19360973	2623169	1069641646	51040330	46103623	32634092	78100933	51738013	35535505	12190149	307342646	10932633	10129176	10315354	16233229	12194434	8174107	3069078	71048010	3922673	3869578	5668041	1692927	59668360	4171868	2673081	81666527	1782770	7006858	1508244	1230116	15357658	15049702	2130860	44066207	263189	1484658	803559	646442	4998018	13111831	1403580	22711277	113499	236540	2635244	150143	5166526	2150080	4945940	15397973	67791906	67345775	52760976	97407347	144124991	65081262	25009107	519521362	36571744	14297618	4455195	44666453	1999197	1451614	101442624	4052937	1077149	2372867	4297313	608578	1214990	13015257	114457881	0	0	0	0	0	0	0	0	0	0	1703620889	0	49075335	49075335	22620725	21546396	44167121	5507713	98750169	41769983	48738076	90508059	1748048	27124	305291	7092149	0	0	554198	7397440	94936181	1856777893	74431594		4365459		170618926	1533001963	413076	413076	0	441490	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	A	T	A	A	A	A	A	A	T	T	R	R	R	R	A	R	R	A	R	T	T	R	A	T	R	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	T	R	R	R	R
93	6	CA	California	6708165514	52777080	846651	0	0	57767495	4384652	24434343	428825696	324673163	0	823862633	0	0	8343535389	0	17439021241	377560048	1673514972	66791040	138595308	2256461368	620822935	28039017998	10314040865	3127650819	367576481	245990339	118242531	453963832	178233582	5906745	14515129081	918538208	684662441	78252875	1362799078	1076695142	293289353	660775867	5075012964	279785330	192420144	25308821	421188046	373631927	104390199	206033412	1602757879	33766263	122279541	39472910	53566570	924295120	253910153	188860678	1616151235	13806885	59493034	4313795	27685684	176253972	57889126	57171082	396613578	3250133	31352720	2149198	14925295	29767445	18945131	54901992	155291914	524821	392394	44991	780759	619033	168623	379905	2910526	1246421507	1059247554	147393392	1866020137	2551495194	709647454	1113220944	8693446182	347078268	128562193	32532553	500219655	16066691	199548	1008592217	1322263	360199	498843	442435	29420	760	2624500	1011216717	0	0	0	0	0	0	0	0	0	0	24219791980	280362933	865444605	1145807538	240199248	379971164	620170412	110601748	1876579698	68933241	397128081	466061322	128361059	3774844	0	335167323	0	0	8339082	335167323	1092507693	26921635593	555419839	80806527	23938087	14421006	1003643274	23216148706	5066708	5066708	0	5254844	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	T	R	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	T
93	8	CO	Colorado	1400532477	124440780	0	0	8203613	2718172	849686	954244	52982903	52712836	47238242	78016370	1324709	1533005	1767834621	1828673	1403075874	9086255	134609995	0	20831025	164527275	666904714	3337266443	1386468733	276573341	55063128	143067	12740576	66801881	19696139	5973501	1791023651	93125213	70906572	25337227	152188001	129805836	55463501	55714184	582540534	18786093	14277686	5105222	31490166	29554348	12587404	16225942	128026861	6910931	9457980	45454475	4665348	92475488	11727699	27289622	197981543	1759286	5896495	1586627	4305964	19002237	10423371	5910169	48884149	414702	1546623	609377	1380442	3300878	933225	2766363	10951610	774434	659512	23207778	736754	2820551	437165	36809947	65446141	121355957	101198245	100691329	193386233	273658460	90639140	141949864	1022879228	40374155	8109774	6248054	39225985	4112089	8953561	102911529	1387836	279982	678560	326499	14180	429209	3102086	106013615	0	0	0	0	0	0	0	0	0	0	2919916494	81362636	3293911	84656547	71052918	147566320	218619238	34275726	337551511	242134045	74037189	316171234	9397159	72610	0	0	0	0	0	0	287741592	3301711792	52324823		4797087		168984001	2750932493	568158	568158	0	612635	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
93	9	CT	Connecticut	0	0	2177878607	0	682413	25608886	0	83979	0	63179373	47308054	2477837	0	117499	2291643783	0	1544471201	8090774	121728299	0	7563690	137382763	271415680	3973497747	1847591468	408145079	36677162	13233295	185481780	61827458	21114527	1302614	2368777076	150664712	73451821	41082104	157378592	154085719	14739920	43031536	634434403	41958963	15393437	12511778	33714428	44701876	3966980	15047011	167294473	11435561	9654195	19978647	8280364	114179206	143374050	17241052	324143075	3203121	12125548	2509760	4658960	60768849	3531399	3077955	89875592	748196	4161371	1691999	3058621	9402149	1820998	2810934	23694268	136191	810446	1894006	818762	753896	226828	505921	5146049	207398548	111435447	77976294	204851108	374489545	165839177	78903474	1220893593	31452808	29395660	4198388	2776816	102954	3878363	71702035	53179994	3163731	12262371	8114158	293450	1403779	78124034	149826069	0	0	0	0	0	0	86855319	0	0	0	3739496738	0	3121411	3121411	68488	1370447	1438935	276477	4836823	88669730	108440318	197110048	20426550	844038	0	11398459	0	0	0	11398459	47764649	3822207807	58775355	7094827	3240177	787915	181185613	3558311125	468992	0	468992	488476	R	R	R	R	R	R	R	R	R	I	I	R	R	R	T	R	R	R	R	R	R	R	I	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	I	I	I	A	I	T	I	I	I	I	R	I	T	T	R	R	R	R	A	R	R	A	A	T	T	R	A	T	R	A	T	R	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	T	R	R	R	R	R
93	10	DE	Delaware	148134065	0	0	0	0	15961857	0	0	4878360	10172422	461177	7090823	0	0	170736847	0	417965416	6608398	32655304	0	4184308	43448010	44944864	632150273	266205843	86932909	5778248	957573	14945611	14587853	4326180	1221739	375684165	18746874	5855921	4131883	25274892	24403533	8483237	13878021	100774362	6148359	1910312	1313487	8229611	7869608	2487065	4453218	32411660	2830636	28726	2254964	1226481	20780410	24366424	10176947	61664588	183616	843977	66341	69840	3603124	1234142	1390594	7391634	384737	161477	5652	379269	1487263	2087485	2860706	7366589	15002	4020	5878	11401	17772	11432	52366	117872	27924488	8642956	7772552	34812226	56674448	36582299	29951147	202360116	8339195	2245278	1015886	10184974	246188	331001	22116334	0	0	0	0	0	0	0	22116334	0	0	0	0	0	0	2830591	0	0	0	600160615	0	33508478	33508478	172756	844245	1017001	2788522	37314001	5842446	12662705	18505151	7218061	275857	630224	3936362	0	0	0	4566586	16020337	661474078	14667947	3666988	1409943	352486	30730963	569429653	95660	0	95660	104321	R	R	R	R	R	R	R	R	R	I	R	R	R	R	T	R	R	R	A	R	A	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	I	I	I	A	I	T	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	R	R	R	T	T	R	R	R	R	T	R	R	R	R	R
93	11	DC	District of Columbia	0	0	0	637304000	183146	0	0	0	48010	1768837	1714000	6251022	0	0	647269015	0	0	2593629	61983477	0	10384108	74961214	50744003	722230229	245875797	72416625	5415051	12921492	837031	2534239	3642165	102792	339265996	36163039	21903847	18877888	26708482	53620828	8984704	12740626	178999414	11931542	7279726	7511923	7247406	15151421	2907511	6465475	58495004	4106044	741086	3004387	5475	20279055	1219099	956052	30311198	5822210	733368	1346474	95007	24967110	397885	589085	33951139	3505420	633107	1341860	1020704	4005000	984747	1529308	13020146	295720	23454	131211	987	18000	800	54649	524821	58318555	30681481	30871883	34057357	114036414	13509999	20805887	302281576	10461527	4334736	404737	10825379	2035984	1465941	27492320	509896	135515	298528	540640	76565	152857	1637435	29129755	0	0	0	0	0	0	0	0	0	0	670677327	840000	12493010	13333010	23956	5825245	5849201	2225745	21407956	11013561	16471364	27484925	0	0	0	5645081	0	0	5836	5645081	26855642	716511060	29515937	2506487	1212962	503059	37404428	633272899	71201	71201	0	80937	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	R	R	R	A	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	T	T	T	T	T	T	T	T	T	R	A	R	R	A	A	T	A	A	A	A	A	A	T	T	R	R	R	R	A	R	R	R	R	R	T	R	A	T	R	A	T	A	R	I	I	T	R	R	R	R	R	R	R	R	T	T	R	R	R	R	R	T	R	R	R	R
93	12	FL	Florida	4153125408	0	0	0	756944	1492371	1265669	291532	155719315	180237535	277979831	140867074	1539397	0	4911491173	0	5511186398	109946146	805583959	0	31780715	947310820	585701507	11369988391	3749837909	1249288977	361157921	480754	1492371	188728247	49595632	60261114	5609754922	308747224	336580867	54898759	479175791	430818025	206742182	173161690	1990124538	100912131	108133260	22471596	157899633	159627896	86948099	62378668	698371283	12437918	29593499	25751631	14180741	194971571	38098944	48711371	363745675	5553423	47949820	2091532	11983512	330927863	45466337	12821681	456794168	1344326	9054758	2433119	2977516	17720662	18709463	9265851	61505695	955885	5917811	25068033	1747851	8465582	8090929	7488408	57734499	428606581	528175257	130281551	664987528	1124810937	385346491	304561818	3566770163	158122872	68269870	9687378	231673592	4762598	16733605	484487317	0	0	0	0	0	0	0	484487317	0	0	0	0	0	0	0	0	0	0	9661012402	0	716304122	716304122	88943217	314491429	403434646	183878052	1303616820	258454187	332245386	590699573	93820124	2189008	0	250305034	0	0	9311504	250305034	714677135	11436118817	308057464	35345994	12154945	6903724	824241503	8836770899	1818011	1818011	0	1981407	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	T	R	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R
