SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	MEMBER99	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ITE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IMEMBER99
2000	1	AL	Alabama	0	0	561383148	315490891	3224955	1038620	0	292616	52474348	104707828	130683126	195222115	973918	0	1364160329	25639922	3003808686	15753370	409364597	36126	13372174	438526267	443213169	4832135204	1880267638	471091374	60094095	1546877	237588	155165921	60140838	9414929	2577580834	118330596	96160161	60584211	187120068	121057826	97959259	37775569	718987690	27971309	23086701	12614833	45493661	39282054	40181409	10667630	199297597	18508595	13820832	15659348	11139463	59110178	17427912	18608402	154274730	16728211	25339516	1999015	11043804	133500538	20081589	6474197	215166870	1377756	2880421	1203284	2032955	5026566	50502644	3469916	66493542	1448900	1550022	24094304	1673165	60120	69344	2831005	31726860	182987611	159957232	114951711	256470161	353010716	175719513	76356803	1319453747	105130858	43697658	6125778	123691547	6082094	401120	279046961	0	0	0	0	0	0	0	279046961	0	0	0	0	0	0	0	0	0	0	4176081542	505416660	24994786	3240613	533652059	74990704	89681948	164672652	2801390	31907	1626085	33510871	0	54803694	397199	89940650	161380979	4935621221	115724063	10229394	4156470	596323	370296077	3805785465	725212	0	725212	740732	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	T
2000	2	AK	Alaska	0	0	165155884	96906676	35158	76689	0	0	14871975	11102947	25259662	35238984	66726	0	348638012	0	801151285	20217727	78493414	1346656	109917058	209974855	0	1359764152	450803336	123113343	29522432	62908	0	36445109	9737759	22985153	662932281	36687565	55633380	29415349	48571202	57306150	4959452	558818	233131916	9768657	14562812	9444733	13169671	18317431	2073016	234020	67570340	9131192	9985171	17253126	2736878	45586946	36878987	1699190	123271490	2035436	6139697	2232496	1539726	37282020	672523	174408	50076306	474606	2169468	1661204	366827	3073273	688759	27727	8461864	5166838	1421913	0	164862	166533	19247	0	6939393	62789688	87742973	58345704	66182339	158659080	44603225	2666436	480989445	13143037	3720223	866467	15629116	698039	67539	33426382	657310	132119	4129050	1051978	140921	180383	6150840	39577222	0	0	0	0	0	0	0	0	0	0	1183498948	132671735	11204945	21606297	165482977	22052768	44325288	66378056	6478443	76749	0	655886	0	0	1114	655886	51927688	1375232700	25457040	45701	1614598	10433	63592265	1119906683	122412	122412	0	134391	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	A	A	T	A	R	R	R	R	R	R	T	A	R	R	R	R	R	R	T	A	R	R	R	R	R	R	T	A	R	R	R	R	R	R	T	A	R	R	R	R	R	R	T	A	R	R	R	R	R	R	T	T	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R
2000	4	AZ	Arizona	1854253835	0	0	38721543	2238548	23657904	1538286	3411897	74661698	87616684	43457347	256761446	751905	10698305	2370699597	143012807	2397669815	30096722	453600700	785177	107432607	591915206	427691566	5503297425	1787356212	307010072	42580012	111791372	27108189	325422977	65333830	31058146	2605218791	226742432	87987630	38728700	175261268	202714422	85785770	54589896	871810118	40236110	15069088	6945601	31345820	54724080	17902181	16474893	182697773	11799952	6149424	21085281	9813884	146251797	25792070	28791610	249684018	3240482	4306880	1948023	823118	105971047	21136627	6586452	144012629	18135718	12863881	19341922	2762281	27437417	36116371	12029311	128686901	3258458	584795	7037230	1425458	5086168	2581045	9329094	29302248	285277434	114097817	75744835	218669548	514747514	153197693	115771945	1477506786	67592204	13899366	29631854	87174840	3606868	7715507	206013771	0	0	0	0	0	0	0	206013771	0	0	0	0	0	0	0	0	0	0	4288739348	794608614	104932253	198531813	1098072680	306700968	221301146	528002114	0	0	0	3958665	0	0	0	3958665	501091665	5588398292	121192245	16683450	11693398	3308540	299178708	3989560640	782851	782851	0	852612	R	R	R	R	A	A	A	A	R	R	R	A	R	A	T	R	R	R	R	R	R	R	R	T	R	R	R	A	R	A	A	A	R	R	R	R	R	A	R	A	T	R	R	R	R	A	R	A	T	R	R	R	R	A	R	A	T	R	R	R	R	A	R	A	T	R	A	R	A	R	R	A	T	R	R	R	R	A	R	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	T	T	R	R	R
2000	5	AR	Arkansas	715131336	539335	2035260	253390	2296357	2600252	199416	13792	45614736	47584812	1286124	25215456	10133	518005	840684360	4396247	1644699538	5884055	235007674	31125	19478	240942332	1305419160	2730722477	1084819850	251580463	30443024	2299831	1781755	74978298	28982509	3595009	1447716475	77333495	64196066	45624066	112049076	75176989	51401208	31873343	457654243	17538904	14445148	18981633	24917982	19542224	11757853	8666592	115850336	8615706	6438538	11673878	2006659	56316942	6644847	18075368	109771938	2764669	10862278	2925901	1881886	65299541	16874261	8944831	109553367	532683	4099781	1834858	859431	7845641	19955206	7923983	43051583	224765	701279	2963553	342721	665479	160699	640935	5699431	106477539	96643309	82169031	141198324	217001175	86838868	68201069	798529315	54924886	14158716	5080214	59465243	1381475	440730	134069789	2670	646	3150	6725	0	2094	15285	134085074	0	0	0	0	0	0	0	0	0	0	2380330864	142801658	18857711	3960723	165620092	51589780	55383394	106973174	4242798	0	0	4471354	0	0	121590	4471354	96355591	2628202265	72503940	5808854	3289870	0	133497511	2246833353	422958	422958	0	451034	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	R	A	R	R	R	R	R	R	R	R	R	R	R	T	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R
2000	6	CA	California	10776977674	135328549	155954	0	20000000	101601285	11628662	26034068	944068396	475335557	0	1617593099	0	0	13981087891	0	27162572602	854519474	2828680683	68343371	183101370	3934644898	2950187956	45078305391	17023740804	4321949236	880778077	398294171	195355329	1199930907	479847950	8276062	23832969257	1111660167	1257584525	139979309	2018402584	1581069806	421438735	977559216	7507694342	282523653	280351266	39217565	500250038	403182710	110630089	233330877	1849486198	74556930	322634591	86203161	108561899	1164589059	341143625	375254708	2472943973	25423282	196540730	7299176	46835351	515607618	80958015	104868086	977532258	17366915	106474084	5034935	28560616	77755883	51172818	108592036	394957287	515625	1093893	2612389	1226363	750518	206880	1785720	8191388	1494679657	2058205005	275311600	2675276235	3665199711	954377344	1692798607	12815848159	508629497	130803735	46369925	769130398	35053124	262570	1455196125	16370913	3191617	3662703	2229970	133260	10340	25465543	1480661668	0	0	0	0	0	0	0	0	0	0	38129479084	3931804920	539720011	153599236	4625124167	300319882	914469635	1214789517	315058915	3806777	0	459342062	0	0	16732623	459342062	1623850268	44459535249	863416543	124117478	20205660	14410405	1529114305	36600364779	5957216	5957216	0	6038590	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	T
2000	8	CO	Colorado	1880058118	271020717	0	0	19725674	33739323	7989451	118851	112256522	81015194	115568897	175662260	3962511	52804486	2720063830	19685114	2083172748	12999612	242221921	10166214	5965634	271353381	385580658	5094275073	1875740266	345589747	55167744	37710014	9606654	163555922	54704048	72369516	2550133209	132346848	122757140	32575873	222072384	174178455	80161771	109155003	873247474	24111358	22045387	6073918	41239939	35340919	15901444	38207377	182920342	10807750	26721162	22310114	10829491	100106885	19118102	266424595	456318099	4156242	16981270	2975823	12232102	99125847	16777344	19584587	171833215	1224766	9331657	951660	4488213	11110845	15990050	21193526	64290717	461578	1209600	2021110	645743	145582	122753	2921855	7528221	171883776	189714559	65956838	287019659	408897688	132081414	436293417	1691847351	51554720	11406971	7682792	73759318	4120914	590988	144994789	9295215	1497173	1446355	1732635	973830	63666	14035044	159029833	0	0	0	0	0	0	0	0	0	0	4401010393	585607005	31177153	45244788	662028946	234248964	191396690	425645654	27152231	301801	0	12025341	0	0	149190	12025341	200962441	5226757411	76432586	2433881	15400472	143497	375476649	4025533744	656700	656700	0	708109	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R
2000	9	CT	Connecticut	0	0	3197875694	0	2299493	119126850	0	7112409	993805	94338230	58897617	21385910	0	207923	3375998672	0	2437887695	20302870	219982960	0	11278272	251564102	445192410	6065450469	2421649869	603448631	103000934	193304568	30737989	99942098	43227458	4891697	3426237797	210051806	106968219	57162134	219322547	202568637	18822273	62801033	877696649	52115741	26478277	17314714	54654217	58941914	5639757	18751300	233895920	22340804	24177987	27834556	13726151	137859610	213462572	26925114	466326794	4279249	21512749	3532600	5974001	83449812	4091050	4322436	127161897	1190583	13443090	2145479	3778424	20921716	2090642	4526676	48096610	439972	984741	3223488	1159655	4096722	227581	3881528	14013687	289227572	180121973	109067492	294836571	486916695	242243233	116681411	1719094947	52377348	17464468	10695263	68914769	3553614	1497655	150949503	68831996	10585369	14911205	10538487	844280	1687055	106554112	257503615	0	0	0	0	0	0	19322102	0	0	0	5402836359	501437407	66217451	12553004	580207862	122798711	191367981	314166692	29172456	882633	21681850	31796886	0	0	0	53478736	175375050	6162300008	56454301	13238028	1933940	873859	228243391	5174592968	533779	0	533779	553993	R	R	R	R	R	R	R	R	R	R	I	R	R	R	T	R	R	R	R	R	R	R	I	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	I	I	I	R	I	T	T	R	R	R	R	R	R	R	R	R	T	T	A	A	R	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	T	R	T	R	R	R
2000	10	DE	Delaware	234833439	0	0	0	0	26440467	0	0	12014149	12723418	530276	28586432	0	0	288687714	0	703330933	8047181	70855939	0	1572268	80475388	55232194	1072494035	400239541	113124227	14473860	12837925	25596646	33016186	10537909	3193858	576885597	29495311	9356125	6186285	36688590	33486512	11118878	18952733	145284434	8296008	2577150	1736220	10420580	9469774	3114540	5570083	41184355	4421079	22605	2186060	3754089	49460684	35677201	21862047	117383765	352085	1450923	368879	977408	5414000	1538192	2657154	12758641	408740	86166	16262	518419	1673914	2699262	2607449	8010212	56626	2711	27339	5760	9148	7115	181415	290114	42621109	13409514	10504783	51846427	97840118	51455926	49223432	316901309	16026681	4414585	2183012	20651082	1033649	567871	43843231	0	0	0	0	0	0	0	43843231	0	0	0	0	0	0	3295672	0	0	0	937630137	54839220	3638259	3872292	62349771	13709074	23386581	37095655	2782894	0	446057	8849390	0	0	0	9295447	27092321	1031640019	13661330	6935731	1062711	674764	35588230	902041907	106444	0	106444	112836	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R
2000	11	DC	District Of Columbia	0	0	430939461	252857539	238130	0	0	0	41759	634943	7329148	4557010	0	0	696597990	0	0	17152985	158478864	2430886	958265	179021000	64898943	875618990	258677984	43040903	9935240	0	0	11875254	8530687	795216	324324597	28458416	60283715	13625524	26073710	40134466	10491241	11310576	190377648	5248569	3712967	1373725	3206214	6151834	1926611	1571359	23191279	14122952	12986230	2217042	5766122	24969061	28436145	7394168	95891720	13760223	9582282	343353	88070	26216159	818740	264786	51073613	4353621	1322863	297117	8633	1047667	90195	4335193	11455289	727275	67105266	3558772	54027	1576481	0	798278	73820099	62317435	153670460	21118416	35188143	99048001	41672737	21339167	434354359	7361444	1971596	357444	11822974	164362	0	21513458	0	0	0	0	0	0	0	21513458	0	0	0	0	0	0	0	0	0	0	780192414	55277394	7299671	4985439	67562504	20574234	27205633	47779867	306869	0	0	1356843	0	0	0	1356843	32435448	869568968	25305590	11179405	1294886	1473976	47456078	732736336	65371	65371	0	77194	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	A	A	A	R	I	I	T	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R
2000	12	FL	Florida	5821147876	0	0	0	319511	0	765484	117881	324631773	271795882	332789739	382519275	1479126	0	7135448666	0	8381169990	109019751	1289732060	0	30643083	1429394894	599993439	16946013550	5515153038	1470190102	633586638	43040	0	379922024	129330115	77152321	8076047163	514442319	541758620	64862378	648733360	568895000	338384008	249890077	2926965762	135730419	138135011	19182574	168735544	182882780	115960148	71046365	831672841	35802181	77053869	28381792	16758221	335205084	67777917	101924957	662904021	13113217	86181224	3912246	16490987	391288505	60344827	23183268	594514274	11230685	13744243	2375490	13663006	24148849	9478051	7373058	82013382	2214405	15133526	31999021	2471292	29708783	9392075	14367532	105286634	701302541	858262250	148338011	853189404	1507980152	591858975	460412199	5121343532	226168435	80280061	24238421	335076633	9861424	22833405	688596955	0	0	0	0	0	0	0	688596955	0	0	0	0	0	0	0	0	0	0	13885987650	2055879582	156100799	348296773	2560277154	373979076	433082545	807061621	196746661	3150708	0	252275226	0	0	21405556	252275226	750158757	17141047876	332124937	42369751	13783142	2590137	998017709	12887969941	2175453	2175453	0	2381396	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R
