SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	MEMBER00	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IMEMBR00
2001	01	AL	Alabama			596065628	327777792	3507201	769674	0	75500	55846753	110489462	134551659	236196272	1200879	0	1465635646	11625844	2881223557	16598298	420891489	95423	16231921	453817131	330564319	4812302178	1920297333	495374453	66477438	1743199	298974	190735243	25379915	10557075	2685184741	124122449	103026344	55694541	195780252	125336476	102292731	39634005	745886798	30210340	25223495	12196066	48938775	42541899	44055232	11296656	214462463	19637995	13769240	15107817	9979481	58320394	16538257	16956093	150309277	19167578	19342794	2412784	10069367	150125171	20428733	5014970	226561397	214189	601197	216141	320548	3616025	34853422	828149	40649671	1734863	1686674	28319825	1716316	52724	59248	1249039	34818689	194873225	163048547	113731033	266484191	376376664	183374201	74150763	1372038624	109601561	46948682	6248436	134646667	4492858	125005	297570351	0	0	0	0	0	0	0	297570351	0	0	0	0	0	0	0	0	0	0	4354793716	430040177	18189636	13225105	461454918	84243962	98694754	182938716	3922937	53119	1947351	40346209	0	58105319	35314	100398879	102025618	4991181327	125621571	11304398	3837614	512392	391025176	3963768540	719562			739992	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	I
2001	02	AK	Alaska			174080204	100914279	15298	0	0	0	19825880	11771076	26533114	38771164	90519	0	372001534	0	782347758	33869362	82984374	2387204	96680417	215921357	0	1370270649	467642341	130028097	39512607	0	0	40477259	9139972	29173432	706833736	56437836	36649499	9710478	51021100	56772088	5056203	21305757	236952961	15240326	9135257	2889294	14034953	18432008	2108047	6834872	68674757	3591387	11675981	7926240	3302217	43230683	38413883	10993604	119133995	2148474	6881404	679355	1675771	39052608	705678	1491935	52635225	260640	1841961	334737	404374	1561545	1297653	1889826	7590736	71265	2170648	533643	177495	143250	39709	0	3136010	77489288	66512789	21739010	70211536	157630637	46323520	40626168	480532948	13730330	4185974	849263	16670834	789604	92942	35529343	745001	149963	4019713	1023417	316099	201481	6139575	41668918	0	0	0	0	0	0	0	0	0	0	1229035602	113591001	3759408	15324902	132675311	19539210	33088942	52628152	6099496	48244	0	543552	0	0	5170	543552	36974135	1386243786	25037016	182294	1415505	7243	65052065	1163983537	122932	122932	-2	133356	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R
2001	04	AZ	Arizona	1974564450			34070762	2039398	23072996	128176	301009	79703847	92114913	43982840	225219025	1194005	4728961	2457746377	155770312	2961901834	29475765	367314412	6407320	227547188	630744685	202919586	6206163208	1979157905	493787601	75216662	50983734	52577917	130892990	134441752	14519452	2744558344	177095670	95007589	40174734	202509283	196841517	95294388	160977127	967900308	31696138	16202932	6827048	34237085	41071701	20461270	48495630	198991804	11496085	7624274	21128690	12550754	139909778	29737196	87295739	309742516	11908163	4671817	2025436	4824152	168392580	23284154	18953031	234059333	3074052	16814249	3924814	3275204	29909430	32883938	14638076	104519763	4446625	675979	10559063	1166006	30485412	430219	24084845	71848149	236642681	124182591	80714971	255287280	576700988	169207227	339806372	1782542110	115702389	33318932	20772175	146630607	6072527	2580461	319004564	0	0	0	0	0	0	0	319004564	0	0	0	0	0	0	0	0	0	0	4846105018	587840749	67038881	9391620	664271250	363187507	298050853	661238360	29562676	1197423	0	2245371	0	0	0	2245371	322661966	5788415780	124205770	11131930	15693616	3031049	298250658	4547854360	803453	803453	-2	877696	R	R	R	R	A	A	A	A	R	R	R	A	R	A	T	R	R	R	R	R	R	R	R	T	A	A	A	A	R	A	R	A	R	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	A	A	A	A	A	A	A	R	R	R	R	R	R	R	A	T	R	R	R	R	R	R	R	R	A	A	A	A	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	T	T	T	R	R	R
2001	05	AR	Arkansas	740352650	2167470	2185203	75731	2915468	2659501	171072	115295	45183803	50257095	1330966	25697305	13464	437368	870787595	4538941	1676137976	10012100	250619864	53773	18944	260704681	1369249514	2812169193	1149953038	258403529	37657522	3457099	1702234	75550197	29009912	4975979	1529997364	81633229	67421826	47630127	117769234	75647063	52145569	29433191	471680239	18173735	14924698	17714467	25635240	19824645	12761424	7605615	116639824	10043381	7515393	14908510	2140015	55852135	7287236	19305296	117051966	3008438	13611958	3369700	3388582	67664234	16659949	9095125	116797986	483611	3737888	1534863	705207	6677707	19108288	8160654	40408218	3806076	818423	6713428	379921	602468	1736	612947	12934999	116664859	104292298	90336232	149312992	219590545	88855914	66052174	835105014	57049335	14635549	4691692	63147303	1435134	481944	140005823	2349	12473	22862	33002	22320	0	70686	140076509	0	0	0	0	0	0	0	0	0	0	2505178887	146437170	16700074	3695610	166832854	56954192	59788828	116743020	4417406	696718	0	4449311	0	0	207428	4449311	92175414	2752658188	74276066	4873801	3402504	201371	137879175	2367299712	421625	421625	-2	449959	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R
2001	06	CA	California	11784693666	136093621	156500	0	380731	139106261	14890265	26243316	1161092062	510256813	0	1847884402	0	0	15455448060	0	31392549317	736074610	3229231182	36293832	157913285	4159512909	4388478931	51007510286	19033888233	4812905754	925743326	441550687	203135156	1448534435	541237772	6904340	26669526775	1315727560	1564388172	174533047	2267866202	1782551439	467519506	1148999291	8721585217	311104352	326860417	50423654	527904729	426069620	115135865	269170210	2026668847	90910860	395431647	103838839	132303528	1165210228	368895510	441100711	2697691323	28056765	201093468	8929949	51749675	658766281	92881181	109534570	1151011889	19572625	117312386	9038062	31902271	67641081	51036919	108469607	404972951	454124	1171804	4281474	1326612	628703	166731	2426634	10456082	1746253661	2488945508	342006963	2981150746	4033226271	1044598793	1971231416	14607413358	571383941	147968277	50605978	817460245	37911346	250531	1587668972	25678982	4424431	10145149	3917897	408928	11630	44178089	1631847061	0	0	0	0	0	0	0	0	0	0	42908787194	4569177734	640794411	140008793	5349980938	394620424	973495949	1368116373	366083236	3989820	0	518599168	0	0	22526895	518599168	1791850916	50154498248	925585837	151977075	18578503	17684174	1639353398	41269433796	6075001	6075001	-2	6140814	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	I
2001	08	CO	Colorado	1955539831	285462230			22585865	28135732	8706606	124988	116302759	89045757	124269319	198994744	3587198	3120320	2807614629	20624701	2222083461	6607412	270100546	15689231	7179177	299576366	593621115	5349899157	2011049644	360831545	63770464	39744530	9809040	183042782	50613270	62417508	2720856473	144593465	135691423	33165457	231545339	184670654	87614192	117530078	934810608	25818320	23828427	6210805	41969433	36792002	17300290	23711681	175630958	13084304	30127032	22946545	11141639	139918761	20902538	304327905	542448724	4937971	17922934	3116263	19918128	120848761	19152036	19214662	205110755	974063	7316509	1159975	5036174	10828799	18249602	17725463	61290585	387950	704967	2102185	820531	183611	108837	2511994	6820075	188822010	208274783	67541255	305395070	482413789	145077893	467296320	1864821120	55218832	12419547	9073505	78182091	5602907	824936	155718911	11218456	1725592	1556476	2207057	690873	68938	16776519	172495430	0	0	0	0	0	0	0	0	0	0	4758173023	468915933	40382440	48305421	557603794	242962109	211195875	454157984	29955184	317868	0	13521358	0	0	313934	13521358	207517298	5478082796	82193740	1660555	19415746	230725	354815831	4403357192	671909	671909	-2	724508	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R
2001	09	CT	Connecticut			3497337156	0	2012763	126711055	0	7478989	1509881	101314552	0	28454667	0	255326	3630884345	0	2553179951	30290967	233015604	0	13120493	276427064	547916970	6460491360	2547048019	655894792	105808908	217480062	27382551	106073541	41475868	4475381	3636780703	224698801	117877087	61914900	230192367	211984579	20047307	63778966	930494007	57414569	30178634	19691861	58976346	62996487	6072133	20555995	255886025	24121224	26438466	27672479	14320796	145249099	226434500	36564850	500801414	4685739	21868953	3452749	5847233	100252209	5937557	3673733	145718173	1819289	11909561	2026144	3014317	27363051	2089044	4948143	53169549	376102	1294803	3143434	1298983	3520621	354747	4233872	14222562	311296435	197657943	115875423	310635725	524002995	258846244	128807416	1847122181	55266299	18976427	10832993	71652901	3427951	1659564	158388184	32002290	5269562	7180788	5678344	825504	785431	50916415	209304599	0	0	0	0	0	0	19508101	0	0	0	5693207483	533040809	60789354	7183791	601013954	132128753	203385053	335513806	33106190	1340952	22795483	31878218	0	0	0	54673701	168212969	6482241152	58599710	13122634	2009714	1023779	178338478	5514869005	540946			562179	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	R	T	R	R	R
2001	10	DE	Delaware	230253871	0			0	31715322	0	0	14610821	13658090	588448	32904504	0	0	292015734	0	732598987	8274750	77963462	0	1666147	87904359	112120216	1112519080	429191531	124996429	18050710	12541754	26288881	38299057	12647061	1640255	624719736	31154179	9870225	6251621	40568154	36031065	11540731	21784128	157200103	8990441	2890703	1791833	11766788	10379907	4004610	6220173	46044455	5866573	18779	2930109	4832733	61146281	38991639	25690567	139476681	376564	2004084	324739	273767	5762303	1542865	2517333	12801655	677775	244948	4424	298118	2053749	3104369	1963101	8346484	91187	4334	2332	7762	25135	10629	56262	197641	46478944	14788125	11300634	57449204	113344691	56090474	56268463	355720535	17101712	4710705	2329443	22036307	1102983	605963	46784130	0	0	0	0	0	0	0	46784130	0	0	0	0	0	0	3300000	0	0	0	1027224401	84541178	14748058	13648598	112937834	14042765	24315004	38357769	2384729	0	373363	9591823	0	0	0	9965186	50493184	1174608678	13881765	8460902	1000327	762472	38352004	988872397	105681			114676	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R
2001	11	DC	District Of Columbia			575528930	333634070	276574	0	0	0	45226	651002	7463535	9584527	0	0	927183864	0		4584125	96026673	13981774	934428	115527000	88432744	1042710864	284502562	30727732	9848572	74637439	0	11771652	5725431	788279	412276236	31299503	59303010	14985800	28676725	35105972	32141761	11089730	212602501	3805604	1775580	878850	2159876	4571980	5063517	1285094	19540501	34030221	5054373	5086557	5715823	16286331	15591549	5485035	87249889	12482013	10153410	1609675	87302	32696840	1037410	976963	59043613	359146	5391985	204224	5794	855034	93912	6379557	13289652	401238	13830875	124871	53556	4765	55155	1749540	16220000	82018579	90117248	22685753	36693282	88665888	53889392	20586362	394656504	7207524	1764260	129719	14264515	27160	0	23366018	0	0	0	0	0	0	0	23366018	0	0	0	0	0	0	0	0	0	0	830298758	136405638	15556052	11310310	163272000	25004667	34836798	59841465	11741739	1792261	0	0	0	0	0	0	47700866	1026147001	20184397	943932	933721	566989	31020150	799278608	62881	62881	-2	68925	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	I	I	T	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R
2001	12	FL	Florida	6182030073	0			372768	0	753011	94449	365414028	288709717	363091356	370111663	1913729	0	7572396345	0	8695213401	124609518	1439282008	0	35367104	1599258630	1330409325	17866868376	5932501015	1542786028	748482309	87400	0	449794822	126991085	91926208	8765577782	557090663	583698337	72059262	695019409	616450545	362828683	273250143	3160397042	144354985	146626816	22427022	176496956	191832791	125979877	78215161	885933608	43029930	82367062	34699971	15408916	346878727	72289902	104686776	699361284	13119997	92342216	2946256	16965813	442786594	69515735	24633869	662310480	11007456	13438655	2456607	13145519	23574157	9267025	7189657	80079076	2195634	22570658	37435118	3480266	29260922	9043552	15481141	119467291	759791209	927605089	169567629	907371360	1627209579	639657749	496267090	5527469705	241770831	85884897	26021503	358863195	12231543	17925660	730466086	0	0	0	0	0	0	0	730466086	0	0	0	0	0	0	0	0	0	0	15023513573	2123071832	133540267	377221158	2633833257	394967292	455782175	850749467	210970219	3056426	0	251363316	0	0	15861328	251363316	748980883	18357899823	348905750	45825474	13358896	3355621	1066286322	13957227251	2269372	2269372	-2	2434821	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R
