SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR01	iR1A	iR1B	iR1C	iR1D	iR1E	iR1F	iR1G	iR1H	iR1I	iR1J	iR1K	iR1L	iR1M	iR1N	iSTR1	iR2	iR3	iR4A	iR4B	iR4C	iR4D	iSTR4	iR5	iTR	iE11	iE12	iE13	iE14	iE15	iE16	iE17	iE18	iSTE1	iE212	iE213	iE214	iE215	iE216	iE217	iE218	iTE21	iE222	iE223	iE224	iE225	iE226	iE227	iE228	iTE22	iE232	iE233	iE234	iE235	iE236	iE237	iE238	iTE23	iE242	iE243	iE244	iE245	iE246	iE247	iE248	iTE24	iE252	iE253	iE254	iE255	iE256	iE257	iE258	iTE25	iE262	iE263	iE264	iE265	iE266	iE267	iE268	iTE26	iSTE22	iSTE23	iSTE24	iSTE25	iSTE26	iSTE27	iSTE28	iSTE2T	iE3A11	iE3A12	iE3A13	iE3A14	iE3A2	iE3A16	iE3A1	iE3B11	iE3B12	iE3B13	iE3B14	iE3B2	iE3B16	iE3B1	iSTE3	iE4A1	iE4A2	iE4B1	iE4B2	iE4C1	iE4C2	iE4D	iE4E1	iE4E2	iSTE4	iTE5	iE61	iE62	iE63	iSTE6	iE7A1	iE7A2	iSTE7	iE81	iE82	iE9A	iE9B	iE9C	iE9D	iE91	iSTE9	iTE10	iTE11	iX12C	iX12D	iX12E	iX12F	iTX12	iNCE13	iada	iA14A	iA14B	iPPE15	iMEMBR01
2002	01	AL	Alabama	-2	-2	639890077	391035026	3008679	928939	0	149085	32325990	114099563	140122572	245698122	1127381	0	1567307410	18267230	3010987073	26578456	487026693	182865	17456854	531244868	206697960	5127806581	1906960975	524272479	72254867	1610588	310827	205476672	6606597	11145014	2721720595	126486595	105488682	52497588	199183134	126309399	102911575	42213216	755090189	32821770	27491569	11987699	52534879	46693152	49117352	11976272	232622693	22246438	17640229	15522891	11553541	60429816	17116218	20137437	164646570	20609413	19016746	2223641	10067200	147701721	18621612	5909315	224149648	285796	335178	67465	321199	3029442	12585622	865027	17489729	2125811	1670306	30411286	1776840	75953	49177	2495759	38605132	204290027	171307532	112643105	275115594	381210041	187815934	82731999	1415114232	109870257	52113393	6465098	138966831	4858078	139985	307555564	0	0	0	0	0	0	0	307555564	0	0	0	0	0	0	0	0	0	0	4444390391	441383553	27131837	711643	469227033	101693952	128702440	230396392	6554223	95841	1872757	43488767	0	60607703	18319	105969227	56912044	5055209438	130579388	11146580	4092196	626787	404803146	4039587245	702423	-2	702423	5751	737190	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T
2002	02	AK	Alaska	-2	-2	193353170	108242485	0	0	0	0	11405933	12258075	23129770	34938155	30801	0	383358389	0	814665627	42066833	91191292	1619569	106999347	241877041	0	1439901057	503771388	141150986	41823169	0	0	42354718	11740981	25559859	754660120	46509919	40632866	9472436	52952654	59029280	5323550	22003935	235924640	12375785	10381511	2930537	14887988	20437445	2318955	7372220	70704441	3966472	12892674	7139257	3368245	45483185	41158332	10191501	124199666	1451999	6705573	604116	1706874	40240753	880154	1546285	53135754	226346	1805635	220737	284503	2177419	614330	1499427	6828397	83998	2156889	741587	195677	104204	97228	0	3379583	64388173	72769513	20887933	73111438	165294867	49778219	41113941	487344084	14183055	4380437	916433	16970629	634350	467748	36918302	620236	155174	3756713	1238756	157541	160932	5931811	42850113	0	0	0	0	0	0	0	0	0	0	1284854317	186928911	163493	10043367	197135771	27870661	26962137	54832798	7309938	79545	0	612584	0	0	26513	612584	29674187	1509379937	29044560	1114	1486163	2661	65953144	1218901173	123316	123316	-2	9884	134358	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2002	04	AZ	Arizona	2100761234	0	0	35552577	1924130	21990341	1548026	4034105	60310534	97526614	119858213	238818318	775014	5018474	2662093134	187279747	3136959374	46016835	491444294	1023958	127922058	666407145	352998983	6652739400	2310944195	584675901	91538376	65526683	57608760	155221534	96997362	18122555	3226029244	214357949	108302830	45144149	223553392	212680896	104717105	150492472	1059248793	36931384	19246142	8436403	38973147	46053567	23850798	45969714	219461155	15577156	8558145	25927237	12408809	157919128	33927640	77138206	331456321	14380762	4927306	2532819	5847311	176597054	21836418	18356889	244478559	2687287	14354369	2813078	2613698	27193207	31178232	13102346	93942217	6706487	625624	9008612	3264909	13864450	697067	23346655	57513804	287953738	141660047	91049220	284047568	607115095	185029028	315303936	1912158632	91909304	27481359	18160496	117489463	7550223	2585822	257626444	0	0	0	0	0	0	0	257626444	0	0	0	0	0	0	0	0	0	0	5395814320	552815543	174423115	11468289	738706947	231108508	364753638	595862146	36763180	1367123	0	4545436	0	0	0	4545436	385748329	6375686808	124551496	15197251	16907911	3389532	386696661	5009117659	834036	834036	-2	6006	922180	R	R	R	R	A	A	A	A	R	R	R	A	R	A	T	R	R	R	R	R	R	R	R	T	A	A	A	A	R	A	R	A	R	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	A	T	R	R	R	R	R	R	R	R	A	A	A	A	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	T	T	R	R	R	T	R
2002	05	AR	Arkansas	831284808	4532709	2035274	295706	3319381	2827724	169399	326051	37227306	51387747	80560110	66281939	28596	498561	1077621536	1353986	1776666965	19803593	313304350	85591	10246134	343439668	168528234	3199082155	1248407310	271819375	51528440	3585653	792439	153261876	34208300	10842692	1739445346	90479908	79355281	52332780	127039639	92930828	55435369	35380841	532954646	23416332	16413666	17295367	26729947	22977650	12328083	8393801	127554846	12876235	12088612	17068415	2225127	64892403	16177127	10642915	135970834	3224556	16562491	3693008	3364623	79965140	15592675	7537323	129939816	516948	4087229	1609621	761924	7410033	18987599	8845252	42218606	499191	1307637	7517384	454484	606836	84843	2322656	12793031	130496222	125727687	97906954	159813820	261372857	99618097	64277536	939213173	59703157	14867179	4746176	64331744	1298384	515666	144163922	41014	7157	0	3107	0	2902	54180	144218102	0	0	0	0	0	0	0	0	0	0	2822876621	152348022	26891140	5081147	184320309	65658633	77328087	142986720	8143003	163989	0	13606997	0	0	202931	13606997	110064497	3107039140	85759533	0	19482502	0	241205829	2581670792	422817	422817	-2	6106	449805	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	A	R	T	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2002	06	CA	California	12860137027	163120588	-2	-2	289557	153973695	18625430	26746087	776571348	534397737	0	2017956015	0	0	16371097702	0	31038376198	658392975	4008709147	53674282	121858565	4842634969	6352926285	52252108869	20161156453	5078523799	990456911	522991381	225345619	1808867120	209320181	4067192	28566062856	1468115650	1714586476	203798630	2301340954	1905171123	500743949	1224174887	9317931669	376063656	383922376	63702974	569699342	491661485	132808663	345194653	2363053149	121797453	422009878	124641741	133788007	1014718360	390267347	480660502	2687883288	33505543	293737593	11068877	70267367	947534599	84503532	136911088	1577528599	5252410	40811181	1619937	14969796	56953876	60274124	78683151	258564475	295839	1426563	6674309	1302129	387536	117652	3791305	13995333	1999778141	2815682886	409886531	3076397799	4359473103	1108441143	2190732435	15960392038	616542314	168150577	56583262	837349703	27950768	166994	1678792850	34335644	8339626	11551366	5839516	653747	230273	60296425	1739089275	0	0	0	0	0	0	0	0	0	0	46265544169	5049383407	1081056551	98010682	6228450640	453410773	1309792283	1763203056	386941151	2267778	0	582878133	0	0	9160025	582878133	1686984207	53971731067	938671911	145274182	19510195	18502783	1675271795	44590272374	6219160	6219160	-2	7170	6247726	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T
2002	08	CO	Colorado	2137964081	302426736	-2	-2	26297916	28373134	8230097	110430	118816845	90541145	118439651	198036120	3786979	3151928	3007691498	14142762	2460295001	9470258	313803390	15549836	8307544	347131028	687401775	5829260289	2212799549	401086756	59357887	40142762	10251833	215203649	77960859	47497138	2976087741	161350031	152763662	37022774	255764105	202313470	96348992	127959275	1033522309	29685201	27429814	6891300	47521636	40787699	19241373	28156455	199713478	14440514	31147470	25676780	12341971	122029803	21376003	311225596	538238137	7339919	18136177	3325659	22371861	121265400	17437605	21510453	211387074	1264539	7199726	1235080	3721163	11623935	16450163	24314065	65808671	306260	1448845	2343789	1258870	399825	167395	2525279	8450263	213121925	230925968	75260302	339258443	486796197	154571368	491377058	1991311261	58834761	13780208	10416523	81698739	5199208	435163	165165394	12852890	2035116	1270699	2135422	604764	144058	18438185	183603579	0	0	0	0	0	0	0	0	0	0	5151002581	546613125	37017691	49763017	633393833	252039867	272838197	524878064	34756110	324432	0	14848436	0	0	0	14848436	236678642	5983898894	89623268	2075051	21935021	658095	364739151	4786263430	707202	707202	-2	6768	742145	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2002	09	CT	Connecticut	-2	-2	3422152100	0	1975623	132611576	0	7423867	567079	101659682	0	31242399	0	201923	3557798806	0	2885921363	42164526	251881336	0	17465265	311511127	580092118	6755231296	2688388935	710126273	113562809	235472713	31676348	109498028	40814345	4585102	3861633860	234837675	128087477	61837105	244957217	220943653	21158269	70850260	982671656	61526733	33766273	18653843	64815484	67046758	6269807	23994813	276073711	26053267	26386199	29321224	15394307	153262928	245447146	41851766	537716837	5234796	25559560	3451241	6047260	92678995	5769032	4385884	143126768	1536100	10814391	1494970	3038951	20089393	2230451	6455191	45659447	323466	954850	3372831	1236972	2421704	392679	4527308	13229810	327975937	214754359	116636244	332451240	536354038	279036933	145610031	1952818782	57463146	19511562	10862309	72883251	3153019	2602149	163322417	33343753	5786753	7933583	5389339	1261553	833599	53287027	216609444	0	0	0	0	0	0	21162145	0	0	0	6031062086	516132616	91103213	37521395	644757224	134056368	211601913	345658281	39596387	1472482	23908897	35352767	0	0	0	59261664	220985454	6867038207	68055524	12363809	2178950	1040844	187476355	5843585731	547194	-2	547194	10679	570228	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	A	A	T	R	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	R	R	R	R	R	R
2002	10	DE	Delaware	245987409	0	0	0	0	31170551	0	0	11721700	14144630	793107	35526788	0	0	308173634	0	731363928	8535637	87348006	0	1840388	97724031	137266901	1137261593	461207650	147587078	14484991	5578090	33698055	31999021	14600643	0	660856830	33262300	10174574	6167284	43051871	38685359	12143128	24788124	168272640	10620784	3215499	1922615	13825867	12418103	4849023	7908826	54760717	6689471	29640	2925014	5965120	43437552	41319111	26322223	126688131	393017	2139344	404381	377838	5800174	885927	2263172	12263853	767639	161210	2512	396560	2095985	4453292	3087245	10964443	0	0	0	0	0	0	0	0	50965572	15559057	11419294	63220696	100341188	59197189	61282345	361985341	18289282	5037824	2491203	23566543	1179577	648041	50032893	0	0	0	0	0	0	0	50032893	0	0	0	0	0	0	3299250	0	0	0	1072875064	115184694	19796052	2064869	137045615	15204034	23678244	38882278	2787725	104823	450194	10741900	0	0	0	11192094	48710407	1250749984	16269898	8680840	981681	768755	41638911	1031236153	107730	-2	107730	9572	115560	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2002	11	DC	District of Columbia	-2	-2	599334815	335518106	301026	0	0	0	18176	915882	7325942	2093686	0	0	945507633	0	-2	2898146	123623058	13493060	1499869	141514133	0	1087021766	278597466	57993281	12056445	88882469	0	14410646	3341457	964998	452905305	30649854	64925859	14674757	28081514	40555603	36172414	15004452	230064453	6791791	8449677	2338392	4937743	10717032	10983515	3378438	47596588	35643344	4337798	5639005	6997848	18344218	6103203	5844072	82909488	13073694	8713928	1784501	106883	30846280	1131434	1040913	56697633	106008	4830013	184891	5819	651027	11102793	3528188	20408739	420257	11870026	138433	65569	5367	60153	1864060	14423865	86578940	98297288	24575088	40189557	100468500	54450719	27131935	431692027	10708629	3617441	146728	13361440	70527	0	27834238	0	0	0	0	0	0	0	27834238	0	0	0	0	0	0	429813	0	0	0	912431570	190448337	961860	961860	192372057	0	0	0	14357543	2652863	0	0	0	0	0	0	28397306	1145634756	26620342	6091117	1268433	882226	43404968	869026602	62681	62681	-2	13864	75392	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	A	R	T	R	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2002	12	FL	Florida	6668223795	0	-2	-2	313384	0	8733296	2947584	198998176	303565096	391260373	439531528	1861578	0	8012487226	0	8137044283	144482295	1617966794	0	37065642	1799514731	1591592231	17949046240	6185609782	1570905932	852446779	95432	0	449710779	111269993	103193503	9161962207	581592122	613294179	72961930	719641113	610182769	364845669	275950134	3238467916	148669616	151904445	23330900	182313192	194766071	127449565	75218980	903652769	43170152	78070001	33327703	14949108	349733224	74605726	104727092	698583006	13297749	83411210	2454307	14526396	449933196	62943196	18247139	644813193	9586668	11465756	2132020	11352710	19774447	7777408	5937039	68026048	2635820	17409578	43475533	3351444	23611075	10547001	14711941	115742392	789365459	944089413	175550373	934781253	1628226335	640391157	488855286	5601259276	253791178	90153410	31708850	375864001	15950185	21125141	772642580	0	0	0	0	0	0	0	772642580	0	0	0	0	0	0	0	0	0	0	15535864063	2264448669	176997181	348772750	2790218600	435328881	481387301	916716182	214880964	2609682	0	254835649	0	0	14496655	254835649	738122494	19008151839	412585977	57654311	16786361	4158799	1196919175	14338944888	2326142	2326142	-2	6164	2500478	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
