SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR02	iR1A	iR1B	iR1C	iR1D	iR1E	iR1F	iR1G	iR1H	iR1I	iR1J	iR1K	iR1L	iR1M	iR1N	iSTR1	iR2	iR3	iR4A	iR4B	iR4C	iR4D	iSTR4	iR5	iTR	iE11	iE12	iE13	iE14	iE15	iE16	iE17	iE18	iSTE1	iE212	iE213	iE214	iE215	iE216	iE217	iE218	iTE21	iE222	iE223	iE224	iE225	iE226	iE227	iE228	iTE22	iE232	iE233	iE234	iE235	iE236	iE237	iE238	iTE23	iE242	iE243	iE244	iE245	iE246	iE247	iE248	iTE24	iE252	iE253	iE254	iE255	iE256	iE257	iE258	iTE25	iE262	iE263	iE264	iE265	iE266	iE267	iE268	iTE26	iSTE22	iSTE23	iSTE24	iSTE25	iSTE26	iSTE27	iSTE28	iSTE2T	iE3A11	iE3A12	iE3A13	iE3A14	iE3A2	iE3A16	iE3A1	iE3B11	iE3B12	iE3B13	iE3B14	iE3B2	iE3B16	iE3B1	iSTE3	iE4A1	iE4A2	iE4B1	iE4B2	iE4C1	iE4C2	iE4D	iE4E1	iE4E2	iSTE4	iTE5	iE61	iE62	iE63	iSTE6	iE7A1	iE7A2	iSTE7	iE81	iE82	iE9A	iE9B	iE9C	iE9D	iE91	iSTE9	iTE10	iTE11	iX12C	iX12D	iX12E	iX12F	iTX12	iNCE13	iADA	iA14A	iA14B	iPPE15	iMEMBR02
2003	01	AL	Alabama	-2	-2	677621979	385564377	3369687	630078	0	137579	23900481	116354160	144422246	228564946	1210312	0	1581008188	10352251	2966979035	26238089	549019422	314583	19883501	595455595	540381924	5153795069	1979766663	530507640	74939811	1628144	520793	219287719	4685456	12396359	2818526336	137650432	113869847	61923661	209441797	132148944	107918913	44966443	807920037	35232943	28732958	12766367	53786118	48154711	51365069	12325136	242363302	23697351	22996065	15521092	11155817	68427733	18179911	23153679	183131648	23440597	22536428	2188688	9733370	158254587	21984020	6359014	244496704	112531	594660	222841	285271	2858106	16012371	635851	20721631	2269179	1979295	34553931	1648470	116654	69569	2787950	43425048	222290502	190114593	126953739	285765572	407102629	199517482	89592222	1521336739	114118830	54107413	6868588	142537335	7572956	147565	317779731	0	0	0	0	0	0	0	317779731	0	0	0	0	0	0	0	0	0	0	4657642806	373132194	27985605	355201	401473000	106315427	150031586	256347013	5667601	17568	1787349	43231094	0	55975104	53569	100993547	61391986	5198828134	130627911	11511590	4555145	585202	412636253	4245006553	701235	-2	701235	6054	739366	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	T
2003	02	AK	Alaska	-2	-2	147447151	151878630	0	0	0	0	6270732	12637461	19455794	36262674	0	0	373952442	0	834259395	44443156	113288930	2232670	100099318	260064074	0	1468275911	518112131	143069321	45372331	0	0	41991518	9220160	22691208	771236509	47319702	45502227	9805070	54523260	59334601	5832957	22065318	244383135	12967635	11856022	2988281	15980539	21373606	2604345	7532090	75302518	3714514	15526894	6935863	3520077	43280822	42606181	10550386	126134737	1170640	8594581	637230	1602242	44136545	964205	1922352	59027795	182020	2506211	162806	461691	1760118	629746	1115834	6818426	167124	2783264	687749	155739	1460728	226515	0	5481119	65339615	84262988	21054193	75781857	169586302	52234203	42070146	510329304	14439218	4783386	932300	17582076	511250	609949	38346929	480590	258816	4094751	1385441	194194	93986	6313584	44660513	0	0	0	0	0	0	0	0	0	0	1326226326	220547943	0	10206233	230754176	24564555	28504750	53069305	10587444	80649	0	463215	0	0	0	463215	27030912	1584855840	35718563	84	2726841	21500	70560243	1255666083	123145	123145	-2	10197	134364	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R
2003	04	AZ	Arizona	2225778103	-2	-2	36226025	2535108	27198981	74957	193654	24703169	98953022	78595362	266955264	727291	5390268	2739938569	170877515	3555569587	55721983	629650449	1157973	152747200	839277605	551233903	7305663276	2506568765	671154203	101525682	68008297	67166041	163709149	94070877	19891868	3530857964	232086069	112450197	46825942	229091119	225390271	111862280	180463903	1138169781	40919952	20001352	8488312	40881721	51430532	26951413	59414141	248087423	17756407	11050820	30133318	14860300	178696311	37691396	97758670	387947222	11955224	5155010	2468504	5962970	178208926	23398355	22539773	249688762	2618228	13797133	2644674	2567702	28322855	31779104	12459381	94189077	5239519	658797	8305731	2973604	16392022	1332742	24737847	59640262	307957171	149316176	96221807	293769714	650118062	201236186	384914334	2083533450	86079453	18936938	45678863	102806932	7121991	24333346	277835532	0	0	0	0	0	0	0	277835532	0	0	0	0	0	0	0	0	0	0	5892226946	496966658	145273708	13017917	655258283	265562005	579589055	845151060	39305577	1005641	0	2810113	0	0	0	2810113	354679211	6785988505	170875914	6913107	6729618	1175482	371970129	5520256817	868547	868547	-2	6356	937755	R	R	R	R	A	A	A	A	R	R	R	A	R	A	T	R	R	R	R	R	R	R	R	T	A	A	A	A	R	A	R	A	R	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	A	A	A	A	A	A	A	R	R	R	R	R	R	R	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	T	T	T	R	R	T	R
2003	05	AR	Arkansas	852226792	4234006	2279835	175552	3468409	3155870	150722	198492	26112051	53347722	81653540	53406226	24056	431511	1077510422	1574254	1804361715	25392772	357282973	186736	8676	382871157	281739856	3266317548	1282074851	280711236	50660392	3671287	4571397	157188536	36143613	12016687	1786322989	91093402	91489317	53864405	130891723	96106849	57310157	39002239	559758092	19673954	18889174	14919980	27686899	23865636	13135883	9912052	128083578	15401819	19668931	16455695	2286724	70069079	15886773	13937828	153706849	3672318	19038405	3596296	3175845	80175079	17220656	10997770	137876369	579557	4416278	1680773	642898	8150991	17865500	8418248	41754245	297882	1748604	6063217	437121	1047517	40263	1234626	10869230	130139375	150834431	94899593	164478312	271264160	103593732	75084515	990294118	61527640	15464557	4788124	64458233	1408814	488002	146726556	44320	11495	0	1987	0	0	57802	146784358	0	0	0	0	0	0	0	0	0	0	2923401465	169573499	21609443	16509789	207692731	69884377	83027819	152912196	10059161	276573	168523	13570036	0	0	350825	13738559	118053302	3234825986	94478289	0	5184104	0	238738353	2684663112	418775	418775	-2	6411	450985	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	A	A	T	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R
2003	06	CA	California	14027207426	269387011	-2	-2	304322	176092729	20398593	33792416	552142330	545388713	0	2415527902	0	0	17830356297	0	33561358340	326576818	5034701938	50371076	217998982	5629648814	9812967947	57021363451	20548956218	5596635109	850615151	615501558	244966201	1555769063	57972144	2792247	29170269346	1533136690	1835385097	225762935	2373491616	1907073482	499449751	1269876379	9644175950	433117779	475434171	75013172	701542496	572534962	155463665	408479182	2821585427	157458285	476849648	114328424	128085113	911381654	408216460	498179538	2694499122	32590830	340377170	10769948	66989129	1181993134	88041967	120533023	1841295201	2233664	11868581	2281584	5709351	34676170	41712872	42977447	141459669	145185	1598219	8022939	1197651	206631	94989	4969240	16234854	2156448769	3129644305	433897418	3271306005	4573189863	1151266832	2302037362	17017790554	628120613	190014028	60017849	849298734	13719427	131732	1727582956	36892931	13091672	10633818	6918000	286342	222308	67758729	1795341685	0	0	0	0	0	0	0	0	0	0	47983401585	5638596532	1057565456	76694101	6772856089	559546699	1431242603	1990789302	396928828	841560	0	613616494	0	0	1643934	613616494	1350182633	55982726072	1133331686	214817122	16417910	19703072	1950361418	46033040167	6312362	6312362	-2	7293	6353667	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	T
2003	08	CO	Colorado	2490810250	56480373	-2	-2	29809161	6634425	8809218	109987	108486148	90294510	118852641	250762747	2704083	3203259	3160212390	14758803	2715206029	44183320	349372512	6676998	9125823	409358653	1126319228	6299535875	2364954227	443785433	62450310	42688480	10124625	220619846	52683788	45894078	3180392374	184450903	179845654	39681494	281102002	221655706	104704705	129253081	1140693545	34626672	33024077	7463977	53858360	46135492	22212405	28563345	225884328	16083427	33647986	26540947	12355325	122741851	19069352	350328471	580767359	7729279	20657947	3367353	29240145	123488015	19285746	19416843	223185328	1344827	7313388	991753	3872153	16871105	23148465	25275146	78816837	806542	2070090	2415276	1132762	33985	0	3050684	9509339	243696823	269245754	79469047	377688594	514055049	165272208	530612424	2180039899	61560686	15140814	10828254	83241515	5466352	628312	171399581	13699957	2226652	1241376	2160285	550922	346122	19674392	191073973	0	0	0	0	0	0	0	0	0	0	5551506246	611862128	29811798	45944973	687618899	274499306	386613883	661113189	35727020	167262	0	17346877	0	0	31597	17346877	213473529	6429915800	113250677	3916377	10565609	699381	382104916	5169401330	709349	709349	-2	7288	751862	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R
2003	09	CT	Connecticut	-2	-2	3920784415	-2	1677538	139329471	0	7067113	248740	108190487	0	34315209	0	429849	4065646238	0	2652211516	43666991	311232858	0	14544199	369444048	644449995	7087301802	2783320438	743765353	124292776	253786205	31580209	109335494	39158841	5158377	4019658643	250844391	132632083	69588311	255887961	231242563	21910936	76120698	1038226943	65717073	34574972	22317697	67743596	70335459	6667453	24671180	292027430	26710572	29474003	30838655	15727324	160231047	261243471	39898901	564123973	5210430	20147168	3991544	6255983	102299156	5512362	4465736	147882379	1654819	7729204	1237175	3079851	21689992	1704914	5252182	42348137	396237	1066253	3917123	1718427	3571954	567684	5329259	16566937	348878703	217894479	130653330	347333291	567680179	295901906	150485774	2058827662	58803354	19779806	11770393	77153926	3463996	1733164	169240643	34906111	6586728	7822657	5150076	1035851	795129	55260701	224501344	0	0	0	0	0	0	20889939	0	0	0	6302987649	568074096	72392000	40596872	681062968	141312730	222476727	363789457	41543260	1062893	24591631	35062454	0	0	0	59654085	200058590	7172317680	86399937	16696436	2182087	1032151	216608485	6086379164	557701	-2	557701	10913	570023	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	A	A	T	R	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	R	T	R	R	R	R
2003	10	DE	Delaware	267040748	-2	-2	-2	0	33926542	0	0	8770135	14287326	619644	44574565	0	0	335292418	0	759290480	8678287	92380485	0	1870502	102929274	158815600	1197512172	473465461	160278622	13160988	6557320	39278150	31708413	3023860	8798954	693969758	34234397	10063105	7246899	44374395	39518517	12392195	26302754	174132262	11555730	3347894	2418042	15047625	13408098	5656141	8891304	60324834	7466265	21054	2657080	3137098	47800115	43673160	27731508	132486280	339713	1711308	393469	269426	5442828	1099242	2643362	11899348	587815	228865	4319	383845	2081076	888887	62356	4237163	0	0	0	0	0	0	2341258	2341258	53596105	15143361	12715490	62828544	106169558	62820738	67910186	381183982	19224656	5295474	2618612	24771813	1239904	681184	52591739	0	0	0	0	0	0	0	52591739	0	0	0	0	0	0	3294160	0	0	0	1127745479	144690760	22998960	2677847	170367567	17569006	26766414	44335420	2539748	65739	515572	11496817	0	0	0	12012389	34243473	1321231849	20125164	6961853	974450	813552	43781989	1083963490	109945	-2	109945	9859	116342	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R
2003	11	DC	District of Columbia	-2	-2	194756890	755155343	412401	0	0	0	10035	1019868	7078467	2342787	0	0	960775791	0	0	591720	141288425	9410145	1955402	153245692	0	1114021483	279891494	87078654	11831071	79524319	0	14141322	1997715	946962	473413822	30792217	65227425	14742918	28211947	38443879	35148135	9713759	222280280	3784735	1899807	870961	2143714	7377944	7508304	1505246	25090711	34977055	4256710	6867037	5533594	28223871	4097002	10558566	94513835	12829359	8551072	1751150	104885	26482613	66025	1208062	50993166	63378	2887659	110538	3479	1025876	14679635	4441192	23211757	412404	11648186	135846	64343	19855	829515	90607	13200756	82795770	91583200	24367912	36058483	100548162	47648981	23076240	406078748	7883289	2053754	412142	12476190	2405851	0	22825375	0	0	0	0	0	0	0	22825375	0	0	0	0	0	0	7053185	0	0	0	902317945	166281519	831408	831408	167944335	0	0	0	9368409	381366	0	0	0	0	0	0	29659505	1107627378	30082633	4787648	576112	533096	44490225	857827720	61236	61236	-2	14009	76166	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	A	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R
2003	12	FL	Florida	7255166895	-2	-2	-2	170467	0	9017216	3612683	150847591	314999146	414449875	552600470	1935998	0	8699187658	0	8285653947	162887461	1793910934	0	42466092	1999264487	1818993213	18984106092	6451459669	1622840945	951540994	239458	0	479965392	106166820	110673299	9616719757	613935980	648714599	75915307	760076569	632965386	382583628	291467782	3405659251	154473846	156525831	23612251	188379735	209156858	137885939	76838048	946872508	44829849	80439839	34055504	15968061	396750727	77515213	112246294	761805487	14422845	95897279	2452756	16804688	470819498	73743018	18124839	692264923	9164632	11064192	2037418	10867265	19266539	7536040	5620900	65556986	2481005	20630457	48515952	3141062	35494062	10895923	10470997	131629458	830143525	1002208005	184551770	984370115	1745186531	682623721	509147960	5938231627	263275361	101589088	33593530	381035572	12917011	20677787	800171338	0	0	0	0	0	0	0	800171338	0	0	0	0	0	0	0	0	0	0	16355122722	2154878267	186465497	378403899	2719747663	469897397	520534233	990431630	179053974	1976723	0	239653394	0	0	11846453	239653394	763333389	19692041746	423589234	62737141	12919319	3649250	1243467646	15111655076	2362841	2362841	-2	6396	2539929	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R
