SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11a	E11b	E11c	E11d	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR03	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11a	IE11b	IE11c	IE11d	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR03
2004	01	AL	Alabama	-2	-2	740135291	426130518	3434296	897223	0	115487	22447823	118815160	152522976	246101900	1197518	0	1710785482	18940526	2986962455	19188299	616606091	370108	20693219	656857717	221344100	5373546180	1987103507	592820576	80848848	1813581	560677	215653441	4711279	12664796	2890904749	1425002524	250707431	99269037	30441418	28761348	141651963	123378795	56838556	209520671	132354352	110026830	44488434	818259601	40914870	34084592	13865860	59990203	53570801	58064131	13716743	274207200	23981315	26204382	15963395	11470140	72320540	19810946	22975621	192726339	25778229	17186949	2291589	9199468	168969371	23092820	7000625	253519051	138220	373176	118004	203138	4041349	27961349	1011962	33847198	2169318	1994608	41014304	1501949	64955	91593	1715077	48551804	234495695	202849326	129973704	291682431	427280019	211086320	89896500	1587263995	115813178	60440458	7331457	150553572	10188613	171288	334309953	0	0	0	0	0	0	0	334309953	0	0	0	0	0	0	0	0	0	0	4812478697	365798147	36191750	1895042	403884939	112161436	129985582	242147018	5705808	54050	2078984	41326226	0	55512530	173275	98917740	87061207	5369961599	149927544	20088548	5665122	1059535	452710699	4359767998	706446	-2	706446	6171	731220	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2004	02	AK	Alaska	-2	-2	152837822	159940884	0	0	0	0	2849532	13487808	20232847	34700186	0	0	384049079	0	879186067	47031150	126999940	3628893	109469863	287129846	278039	1550364992	516985454	152896263	46214386	0	0	42840735	9562701	21737709	780674547	-1	-1	-1	-1	-1	57571593	37142795	9710711	56554702	61000263	5936474	26006872	253923410	16928086	10150602	3020021	17006321	22113026	2683174	9008122	80909352	11469623	10347495	5747534	3219878	39438132	41599323	12837243	124659228	2965579	7268389	558629	1651474	52466316	908110	1774623	67593120	501287	1814913	181385	187433	1337186	175002	1589884	5787090	384088	524799	1199492	171036	113583	259912	161927	2814837	89318969	65434080	20236387	78603411	175131320	51386993	49788787	529899947	14831404	4915423	860725	18063411	670329	14927	38685890	583189	210544	3189438	1589352	217095	12738	5585261	44271151	0	0	0	0	0	0	0	0	0	0	1354845645	207098400	25295339	7381478	239775217	31155723	31413563	62569286	9748245	87556	0	456125	0	0	0	456125	49001588	1621150003	36801389	267291	3504284	222	74293841	1280551804	122341	122341	-2	10467	133933	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2004	04	AZ	Arizona	2369501101	-2	-2	36278770	489758	28306180	89649	211194	23023566	104660890	88421666	274004650	750957	5097211	2902318218	177503039	3648870950	35323710	713611299	532436	163074899	912542344	367104244	7641234551	2873805850	529267700	65248456	9890164	48287271	140699091	93104462	20323193	3639234454	-1	-1	-1	-1	-1	243289048	106860771	46568302	237733565	235078346	116812262	157631642	1143973936	53524847	23974394	11570790	51269859	62666631	32603395	54619669	290229585	19885253	11054505	32425721	16974004	192084429	40836049	85516272	398776233	13574356	4589458	2657423	5976246	186328807	27301818	19834840	260262948	2712405	10904849	2208533	2130089	22903889	28973252	12001455	81834472	3801176	448639	6997658	2034169	18794435	1066616	20527108	53669801	334074680	146927767	100219894	313987843	694952648	218620140	338129531	2146912503	88688455	23142080	50562093	112890836	14534793	10355031	285638495	0	0	0	0	0	0	0	285638495	0	0	0	0	0	0	0	0	0	0	6071785452	477814474	112530862	9898812	600244148	218413169	410782951	629196120	38896821	1066959	5338321	3433042	0	0	0	8771363	312970360	6910238470	193033706	0	5721593	69058	398334488	5673450964	878891	878891	-2	6455	1012068	R	R	R	R	R	R	A	A	R	R	R	A	R	A	T	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	A	A	A	A	A	A	A	R	R	R	R	R	R	R	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	R	R	R	R	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	R	R	R	R	R	R
2004	05	AR	Arkansas	898844343	4081127	1784551	136683	4060950	2635606	85275	205856	55482826	53197750	88202141	57285507	19717	457772	1163638642	1509631	1826691033	40834856	385709019	69249	9638891	436252015	289584604	3428091321	1346754539	303720726	54972501	3216972	3335565	158932443	26665929	19546147	1887143328	916007976	138226601	76680444	89842078	19531047	98680804	97380288	55216721	135922122	100208636	60866048	41988530	590263149	21989525	20459664	15268674	29972161	25452056	14156913	10610766	137909759	17247664	21009933	19594020	2379849	71025980	16927857	15893076	164078379	4502856	21463617	4524814	2438141	85775450	18068479	10126806	146900163	557818	5554224	1381974	480047	8346376	19231987	7491394	43043820	389472	1901599	7536690	361231	1489550	62844	2157692	13899078	142810321	162215101	102140919	171073504	283951672	110082141	80776870	1053050528	64175009	16559365	5215424	80615807	1733303	468840	167034445	49122	13294	854856	774861	0	723964	2416097	169450542	0	0	0	0	0	0	0	0	0	0	3109644398	286883516	44283184	7068159	338234859	72955509	80519049	153474558	9739851	132458	0	14030645	0	79003	139269	14109648	123066122	3543443535	102376710	0	3159878	0	251560193	2858084205	425571	425571	-2	6716	454523	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	A	R	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2004	06	CA	California	15320690781	325059848	-2	-2	139497	169577688	21427331	36522550	449163576	553560559	0	2612828933	0	0	19282870525	0	32021757602	428525273	5618483277	36012707	210718171	6293739428	6079800471	57598367555	20763761809	5887602150	1037444808	660684857	278175186	1517562016	44877404	2618255	29869673895	15563055191	2295942090	129835467	640187489	370839765	1539604023	1814583647	226247926	2333956778	1882207695	487333603	1240589849	9524523521	441869212	509968269	83075915	735278742	735761524	204460203	511443356	3221857221	184925008	531385404	116535031	129373428	951362833	424112231	497984919	2835678854	34439140	305732218	9554243	67079990	1234505567	93466210	120604917	1865382285	1196683	16692289	395171	5054685	30156064	26553444	40190926	120239262	162783	1633325	8471295	1162569	170871	76503	4810464	16487810	2201000166	3163302863	443884410	3266851507	4804008490	1209448750	2375433505	17463929691	620298924	235246404	55070582	881624693	12034045	97532	1792338135	44583721	23135325	14280880	7690134	725329	234082	89924142	1882262277	0	0	0	0	0	0	0	0	0	0	49215865863	7723051176	1139205417	84496167	8946752760	1085522166	1229181177	2314703343	390045257	960328	0	606346163	0	0	1329495	606346163	1403867447	59339175906	1549696238	364696669	14680749	22976618	2527177661	46688688202	6384882	6384882	-2	7312	6413867	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T
2004	08	CO	Colorado	2586645971	63663206	-2	-2	33959317	5834894	9220376	90611	63096029	93010234	125640276	272317804	3084242	3669749	3254307204	12909654	2834720727	72440719	362578435	76654	8369853	443465661	1265613521	6545403246	2379849107	472336307	65372349	45355463	7242552	228370392	44888314	52311343	3243594961	1751344053	272416092	80830478	67560747	47199405	192426506	188569103	39846208	283310874	224080182	106476059	132443028	1167151960	38033465	36925362	7800690	56227795	49546703	24242795	36615898	249392708	16611613	35398596	26317014	12864422	129981136	19751162	328220079	569144022	5854793	21648186	3188822	12986618	139259129	21133704	24350451	228421703	1129051	7442202	947566	2899470	12953003	32840191	23783484	81994967	453627	1653469	2540128	1369932	609413	69073	3376610	10072252	253380004	284194716	79692862	366759641	543476563	171672793	525006066	2224182645	62335745	15574833	11364911	87597765	4770588	699506	177572760	14483429	2420740	1314805	2240395	697699	380867	20840236	198412996	0	0	0	0	0	0	0	0	0	0	5666190602	653935924	36766173	44137781	734839878	285460075	378500441	663960516	37177918	220620	0	18010957	0	0	202692	18010957	213678834	6588994235	117547882	1163840	12444369	1905956	401646241	5264544361	673285	673285	-2	7819	757693	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2004	09	CT	Connecticut	-2	-2	4176462703	-2	2313042	142059188	0	7892628	175664	116744056	0	34869456	0	311291	4330876212	0	2686571533	44856701	320377936	0	14133359	379367996	606950787	7396815741	2880450595	815592839	129760318	261717142	38393052	109842275	31567351	5868674	4203231843	1916916174	300714460	30803062	90723246	-1	263191687	137122619	69231422	267531115	234249340	21677550	77429787	1070433520	73533439	37869303	23622289	74932488	75129540	7127719	26010651	318225429	30883382	28445983	30156979	17507782	166152905	271608485	42691068	587446584	4914482	23213039	3615529	6614490	113619307	6398107	3876207	162251161	872757	5972111	1613025	2904379	19908378	1623939	5978947	38873536	794497	1174438	3956470	1406160	2338559	282391	6289606	16242121	373317487	227825382	130582689	367992035	591489651	307094252	156297319	2154598815	66139475	22528494	13134098	82701566	1953205	1837691	186341324	35577224	6967718	7995293	5019762	981980	1035288	56595285	242936609	0	0	0	0	0	0	19939392	0	0	0	6600767267	629383363	97151274	41758489	768293126	135650340	236985671	372636011	43490610	1167224	25941301	36242382	0	0	0	62183683	213453059	7549277982	89044609	25038725	2239269	965634	236656626	6364110641	561530	-2	561530	11334	577203	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	A	A	T	R	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	R	R	R	R	R	R
2004	10	DE	Delaware	291917036	-2	-2	-2	0	41623652	0	0	5109296	14892073	766486	63194149	0	0	375879040	0	804029016	9010726	106227759	0	1816240	117054725	174992624	1296962781	489724493	179778968	16448498	7481363	42941955	32464295	2688749	9110016	735007633	304963173	96411140	15310417	17076487	5879592	37068322	10057256	7620640	46025243	41222875	13657697	29023566	184675599	13551176	3620138	2764686	16909187	15165991	6456257	10601608	69069043	6665201	14243	3131564	3605099	53892597	46828018	27787701	141924423	388525	1656867	368147	284066	6290249	1217276	2285662	12490792	896131	62127	1457	205066	1858907	2998549	110787	6133024	0	0	0	0	0	0	2461881	2461881	57673224	15348504	13885037	66823595	116571712	68159248	72160418	410621738	20477649	5640615	2789283	26368350	1320716	725582	56001479	0	0	0	0	0	0	0	56001479	0	0	0	0	0	0	2965732	0	0	0	1201630850	131413269	21451301	1953977	154818547	20420196	33668639	54088835	786594	7514	481621	11437176	0	0	0	11918797	33555281	1379304791	19966975	9504496	923365	983135	47036530	1154594320	108751	-2	108751	10617	117668	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2004	11	DC	District of Columbia	-2	-2	226083796	801569824	671070	0	128861	0	6042	6071218	3670873	0	393704	116432	1038711820	0	0	766621	167062069	16487177	1702520	186018387	0	1224730207	355723571	40750336	52243065	26722313	0	81030152	8487100	9629615	566099052	217892439	48214865	9030671	17449368	8934916	48938338	26554978	11083453	46226538	38919343	44028459	12237596	227988705	4153818	2713734	1499547	4488879	8500655	8928314	2200615	32485562	11412138	17687554	10215055	16180	34090636	21819976	15640844	110882383	456024	3412423	309295	927921	32754511	1749672	1629221	41239067	653063	2708032	729285	84270	186541	2564088	2111242	9036521	0	1434717	485809	0	3127	0	81816	2005469	64960318	51803406	23593159	51659518	114268272	76526421	31790092	414601186	10751506	3501249	2404636	13792853	249331	385148	30835392	0	0	0	0	0	0	0	30835392	0	0	0	0	0	0	4098807	0	0	0	1011535630	104594371	16145130	6939654	127679155	0	0	0	15685696	401888	0	0	0	0	0	0	41259624	1173075321	42737528	5261331	1304709	1335413	61691139	949844491	65625	65625	-2	14474	78057	R	R	R	R	A	R	A	R	R	A	A	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	R	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2004	12	FL	Florida	7905976283	-2	-2	-2	164528	0	9824113	4159672	103466290	328566655	427384595	849622672	2135458	0	9627140594	0	9195242077	159984070	2014324826	0	45804414	2220113310	1644200193	21042495981	6819679139	1870176167	1080269076	431161	0	522624825	115030487	106891135	10400071503	-1	-1	-1	-1	-1	632654625	694036565	85121518	788986256	658885332	401978964	300470994	3562134254	173225564	181478118	23966621	215567442	233743961	157657459	85494809	1071133974	46180473	88723863	37564149	16071445	431128484	74558047	103367292	797593753	14207875	101795522	2501487	16970629	521296563	73828938	18327259	748928273	9607513	12054743	2216383	11515474	20809076	7964877	5705740	69873806	2360534	23852584	51232635	3534785	36324101	12092558	8203747	137600944	868629071	1089886652	200386410	1041130557	1881378441	720115966	515864101	6317391198	275685969	116644582	37882575	409211512	14561480	21996629	861421267	0	0	0	0	0	0	0	861421267	0	0	0	0	0	0	0	0	0	0	17578883968	2477418372	233406751	436329449	3147154572	504041962	727526648	1231568610	185066214	2046934	0	248724406	0	0	12396494	248724406	883645401	21373738361	452575089	78430462	15347965	5168217	1319597082	16259286886	2418329	2418329	-2	6723	2587628	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
