SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11A	E11B	E11C	E11D	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR04	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11A	IE11B	IE11C	IE11D	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR04
2005	01	AL	Alabama	-2	-2	777671746	445688097	3434702	728859	0	102196	70189081	122642590	159792471	267930601	1375738	0	1848725026	57882204	3253486387	17424611	664731621	315715	18814757	701286704	381527558	5861380321	2021674162	680250673	84114759	2008041	442728	258855986	4070911	11539426	3058443047	1442012693	252637355	97684483	30340129	53982646	151823593	137531768	58693694	218705589	137244991	111621218	47180862	862801715	49103007	42078294	15798872	70075527	63220231	68187104	15892795	324355830	26930260	30217577	16723337	11675204	80563104	21748479	25924124	213782085	27243080	23924756	2647672	10342876	188714190	31678269	9443346	293994189	145297	173965	267640	348018	4131857	35832297	1289289	42188363	2505443	2443909	44310881	1507188	90663	45880	1511304	52415268	257605383	236196304	138174456	312306384	469833179	233280950	99952431	1747349087	117237906	70843651	8031193	162180724	12738173	319930	358613404	0	0	0	0	0	0	0	358613404	0	0	0	0	0	0	0	0	0	0	5164405538	416775676	37835198	331960	454942834	111439418	165288629	276728047	4770328	69956	2241100	44086533	0	55567507	73377	101895140	97307938	5785154620	156256275	20424467	5783617	1167529	470877389	4693528149	706588	-2	706588	6643	730140	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2005	02	AK	Alaska	-2	-2	161725095	166073740	0	0	0	0	7532044	13389716	25052295	44426566	0	0	418199456	0	957819867	49890647	138518677	3461720	111755430	303626474	0	1679645797	531231377	186133045	46393690	0	0	42748502	8327205	26199957	832706571	-1	-1	-1	-1	-1	56843187	39451298	10057001	58192411	62047962	5650738	27159678	259402275	19823899	12973596	3819611	21064273	26235047	2746235	10875481	97538142	10043100	12225196	5548037	3399850	40728002	42039077	13825670	127808932	3333410	7939202	532645	1636732	57700962	876907	1840036	73859894	847532	1436272	107422	155942	2342489	750275	940191	6580123	659919	642557	1256816	147146	34465	269067	981193	3991163	90703515	73231849	21214110	84440412	186746438	51582024	54682058	562600406	15363319	6417345	1006222	18438291	610306	31078	41256255	762331	451735	2730539	1593521	48746	167459	5705585	46961840	0	0	0	0	0	0	0	0	0	0	1442268817	224969286	18569038	9537578	253075902	34951594	39599349	74550943	8157286	70898	0	663833	0	0	0	663833	43743894	1719803116	42877750	15234	2626770	479	83962244	1358306573	121699	121699	-2	11161	132970	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2005	04	AZ	Arizona	2496820963	-2	-2	43124407	881862	29725407	70835	230933	36145427	108717592	92006129	323888837	839539	5768975	3108264566	194272869	3898118042	24315426	774763792	726945	152202738	952008901	576685559	8152664378	3179672460	557575690	115670584	5320195	19979972	151570645	103011598	20939932	4030749506	-1	-1	-1	-1	-1	258604146	111055021	48301497	245955650	243188643	124805586	149569851	1181480394	56317523	25114535	11671402	53976330	65850385	34839375	54775005	302544555	27754330	12859052	36886988	18952867	198153583	43974427	82832942	421414189	13584668	4748383	2362756	5531423	198127020	32650586	19566321	276571157	2826361	13201036	2203776	2434672	25973158	33000573	14909707	94549283	3248249	448990	9255307	2346205	19916087	752186	23319031	59286055	359508916	154225981	108477950	326762475	725235718	237022160	330063150	2241296350	93972529	24647672	55894015	124471160	14592976	8925447	307910823	0	0	0	0	0	0	0	307910823	0	0	0	0	0	0	0	0	0	0	6579956679	520456310	96684994	12655193	629796497	231668861	410343884	642012745	42064437	1170293	5235238	3005075	0	0	0	8240313	322664337	7473382076	229485657	0	5793056	88293	443651938	6136304741	911640	911640	-2	6731	1043298	R	R	R	R	R	R	A	A	R	R	R	A	R	A	T	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	R	R	R	R	R	R	A	T	A	A	A	A	A	A	A	R	R	R	R	R	R	R	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	R	R	R	R	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	R	R	R	R	R	R
2005	05	AR	Arkansas	983928343	3935620	1848208	176497	4159783	4065305	69226	214068	30065841	53748949	90257692	65314079	24135	479153	1234007526	1661129	2349685378	25425118	423845819	150898	20486	449442321	311122897	4034796354	1521529680	367406266	63939252	4564354	3866334	180532410	27096891	20031949	2158003911	1013999381	152377589	82423068	113991701	21842018	111675583	120630923	58998269	151681547	110957261	67921348	47632790	669497721	25983827	26236772	15163581	34624278	28909073	16214953	11981198	159113682	18144148	30290912	19615195	2512712	79612282	18396710	16484449	185056408	4307632	24992089	4913449	3232027	95520132	22634021	14105544	169704894	601513	6916433	1282709	689846	8314959	21657688	8567924	48031072	273745	2311755	10933500	468572	1739446	158606	3310487	19196111	160384935	204462451	109623994	192519136	316738194	125325638	93514468	1202568816	70597858	18798406	6210566	87384103	1895241	536067	183527000	0	0	1091707	79987	0	1727157	2898851	186425851	0	0	0	0	0	0	0	0	0	0	3546998578	317361646	37860752	4104236	359326634	90151002	74150088	164301090	10840441	128228	0	14446754	0	112589	508202	14559343	119624622	4009384630	113466745	0	2241209	0	264446892	3282551686	430290	430290	-2	7629	463115	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	A	R	T	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2005	06	CA	California	13195543178	375545829	168400	-2	30862	173198032	21993295	34804820	617011860	559722679	0	2818865981	0	0	17588882084	0	35234573954	403484964	6018502893	25707886	210197874	6657893617	8870806336	59481349655	20911505004	6678136999	1125387747	661120364	294946731	1529163021	34098569	2745769	30908058904	15811496450	2359878194	129106117	674243011	352802627	1592780282	1836790607	229677332	2400656701	1937448528	494034436	1236414960	9727802846	516362836	590627497	92371383	821676187	785685428	201206916	523463627	3531393874	197014662	606152520	121430336	137631833	913520172	423988011	484610529	2884348063	37456309	258896927	10914465	71410074	1292301737	114834141	122243482	1908057135	2749960	17375533	704503	4884027	38585182	50524567	48118480	162942252	271083	1943197	9060527	1345781	186290	82252	5139503	18028633	2343885172	3294410748	463454043	3432720576	4929142155	1234145756	2371872101	18069630551	631744291	245062004	52628531	908309538	11183931	129611	1837873975	50373436	23336658	20686413	8437317	544278	257010	103090834	1940964809	0	0	0	0	0	0	0	0	0	0	50918654264	8541884139	1116476395	132135605	9790496139	1271142259	1648713743	2919856002	394968336	979576	0	607873017	0	0	1589376	607873017	1459949982	61923329738	1739775966	412134578	6220843	24389998	2764268221	48154386043	6373959	6373959	-2	7555	6441557	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T
2005	08	CO	Colorado	2702927772	66292761	-2	-2	43662482	7237040	4943055	101592	109791205	91744018	136374349	297967213	2824207	3459555	3459986617	15520555	2954905113	54520587	417704974	0	9169396	481394957	1158211838	6911807242	2456368550	519119702	72993697	48166117	7317755	243977256	49554196	51488234	3392113556	1790068721	287776012	83520529	70853260	49071735	195611518	196535348	40018306	295573336	230172851	109202999	137881471	1204995829	41245163	41505616	8015476	63107832	55280691	26727619	31260171	267142568	17628448	41597036	31229191	15547522	176297935	22855778	358298486	663454396	5752969	22359660	3463456	12049477	151079492	25564890	25067832	245337776	1107681	6048694	757054	3456558	16179056	22912658	34673926	85135627	435290	2161337	2488542	1748587	179954	98654	3734386	10846750	260673388	304158997	85214971	388026754	613010923	184449940	556242346	2391777319	65269893	16310543	12736961	92167777	5071249	648839	187134013	15552141	2715973	1796408	3184293	823750	166216	23415031	210549044	0	0	0	0	0	0	0	0	0	0	5994439919	707310383	38414427	36826347	782551157	298131920	345491315	643623235	37838735	269310	0	18925635	0	0	230832	18925635	216325738	6974840410	138840153	1886323	4374716	116529	428225387	5566214532	700485	700485	-2	7946	765976	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2005	09	CT	Connecticut	-2	-2	4367537643	-2	2786423	148446804	0	8438951	453449	120070887	0	36127728	0	529800	4527505930	0	3062149866	42600637	370219274	0	12833146	425653057	748575078	8015308853	2986242698	991740106	130379159	269984624	45637096	120981875	30857704	6405589	4505734051	1958827068	313774586	33495808	81919993	-1	280648985	134284617	69028442	280223507	245133933	22029646	83082763	1114431893	91129270	44785389	27465377	91925446	90262605	8319034	30387939	384275060	30632051	28920627	35038194	18020270	173380915	290271973	42723321	618987351	5131072	23539870	4151294	6955755	132528937	9421553	4455385	186183866	780656	7280380	2086706	3384820	29098056	1436129	5410816	49477563	1515733	2212942	4337940	1445442	2895217	360129	4861856	17629259	409057111	233743445	140021247	398570420	644201607	330402335	165511264	2321507429	66424164	27556205	15398163	83716241	2009520	1895255	194990028	35932883	7520991	8384244	5279465	851159	1046803	58164386	253154414	0	0	0	0	0	0	19629356	0	0	0	7080395894	804399609	95963627	53451544	953814780	135399721	257861510	393261231	46449340	1291385	27469316	36109545	0	0	0	63578861	233902502	8228726206	90589329	23659232	1646191	1057545	240339407	6840056487	559478	-2	559478	12226	577390	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	A	A	T	R	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	R	R	R	R	R	R
2005	10	DE	Delaware	316480583	-2	-2	-2	0	52250366	0	0	5457979	17227832	693082	55418028	0	0	395277504	0	851355417	7668323	120499105	0	1923662	130091090	206545118	1376724011	512940929	205156006	2986763	6525000	45762734	38482154	1736266	5825192	771916044	319825718	98354934	16016139	17563916	5018332	38997034	10209797	7957642	48378386	43306569	14525009	32854037	196228474	15534370	4019849	3150754	19318458	17310863	8188886	13030856	80554036	6929013	4917	3383218	4494619	63146045	56168655	33871223	167997690	403292	2092260	86844	443477	7886272	1750521	3341309	16003975	889122	47943	130479	144019	2275854	4038921	36194	7562532	0	0	0	0	0	0	6093965	6093965	61863709	16326823	14578458	72634940	131649749	80633071	89191390	466878140	22142482	6099197	3016052	28512097	1428090	784572	60554400	0	0	0	0	0	0	0	60554400	0	0	0	0	0	0	2996810	0	0	0	1299348584	132082882	37401097	941529	170425508	22540865	37769685	60310550	120535	3386	533668	12026594	0	0	0	12560262	49072900	1493185163	20343658	13569122	713496	1027332	53574522	1245774062	110393	-2	110393	11285	119091	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	T
2005	11	DC	District of Columbia	-2	-2	272197813	844615448	503156	0	190788	0	7251	1153576	6485296	0	665006	203570	1126021904	0	0	576374	138709955	18366790	1813689	159466808	0	1285488712	360376201	40549544	30990560	125438304	0	6315736	6345673	1802890	565473235	193194549	47498935	6388579	14433328	3346271	46957006	34459129	11564702	47896647	48228768	42577639	15005973	246689864	5089582	3536036	1800318	8185079	3214977	9578500	2545594	33950086	2961282	39624481	22220403	45242	33205774	17110588	22666349	137834119	307771	774087	582582	593178	37724206	3107323	2451844	45540991	97820	1597635	792254	875261	183293	4399689	619330	8565282	0	2619662	189030	0	0	0	10199028	13007720	55315641	81013395	36357035	56720146	122373725	72374050	52868788	477022780	8652189	2371390	881737	13098596	0	0	25003912	0	0	0	0	0	0	0	25003912	0	0	0	0	0	0	0	0	0	0	1067499927	114302177	13638586	7590934	135531697	0	0	0	13202041	488940	0	0	0	0	0	0	36629415	1231633560	47675688	9175409	947738	3318411	70318638	997181289	70817	70817	-2	14081	76714	R	R	R	R	R	R	A	R	R	R	A	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	R	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2005	12	FL	Florida	8634226460	-2	-2	-2	159809	0	10152410	4462263	212773495	328787871	435448057	1096669821	2323450	0	10720541373	0	9533208524	161090891	2167412324	0	51223163	2379726378	1832968724	22633476275	7337810292	2019401429	1208722949	507664	0	587634084	118738386	109403758	11263480176	4406982842	1493515482	206603561	269224641	248208812	663882315	758885930	82310535	832510763	723323518	430794919	322267307	3813975287	182866650	198035423	24591611	227586049	259574694	168485730	91038100	1152178257	49876743	92249218	37917233	15992891	500166862	89378291	112092944	897674182	16576216	93136902	2982267	19324523	598144406	105325535	24653623	860143472	9644777	12216592	2171519	11576836	22358222	8499049	5884605	72351600	1698145	16553986	58187851	2760270	39683386	12232269	8159561	139275468	914900069	1158861459	205989497	1098174496	2120892866	806216744	558211535	6863246666	290950766	126425489	42791118	430822741	13170415	25160294	916150408	0	0	0	0	0	0	0	916150408	0	0	0	0	0	0	0	0	0	0	19042877250	2856944601	284424631	442868805	3584238037	542823443	616114456	1158937899	190315576	2006286	0	249690040	0	0	12885071	249690040	946445194	23286272661	499812512	92494988	13600145	5146041	1387925283	17654951967	2463323	2463323	-2	7167	2639336	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T
