SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11A	E11B	E11C	E11D	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR05	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11A	IE11B	IE11C	IE11D	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR05
2006	01	AL	Alabama	-2	-2	837722644	507421446	3563199	902980	0	86597	80153773	129652208	162052015	233545389	1945426	0	1956056100	84058553	3547078153	18646756	722134379	320732	17738068	758839935	580959698	6346032741	2175489042	785451414	88963202	2899939	463446	267903434	6410373	12374024	3333081055	1547398697	270249489	103060191	31595980	54654671	170933354	159719812	64853947	241821448	149774596	121849909	52587518	961540584	59536612	52488754	18518498	83174007	73534601	79753389	18626864	385632725	30346034	36304296	19706600	12862865	92168191	22926836	30623045	244937867	29920364	28848157	2427004	12692301	215045620	38685906	9946823	337566175	303751	658563	299416	305655	4694889	40467214	1125513	47855001	2498454	2999791	48921507	1443728	60893	51904	1847184	57823461	293234818	280360810	154427556	351994349	530583901	263267944	113631434	1987500812	126356741	81266365	8118380	162492066	9676871	260700	378494252	0	0	0	0	0	0	0	378494252	0	0	0	0	0	0	0	0	0	0	5699076119	568901113	34665566	1090636	604657315	126642357	219255610	345897967	4392325	59655	5213908	48910000	0	54405772	82138	108529680	99840240	6480739477	165071452	19394445	4345018	0	486023763	5213052356	714197	-2	714197	7299	741761	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2006	02	AK	Alaska	-2	-2	169308873	180834960	0	0	0	0	11988478	12186450	6943996	34964440	0	0	416227197	0	1005181375	45529754	137031654	2109687	106521415	291192510	0	1712601082	551604528	223009277	49074469	0	0	42269974	7561600	8645424	874603672	-1	-1	-1	-1	-1	59312386	42691284	10380525	60529665	63211936	5442576	28589081	270157453	23935300	16381460	4355269	25120980	29817551	3018837	13011775	115641172	9894729	14001800	6428913	2882569	40890779	43645561	13225903	130970254	2337143	9482753	582023	1610351	67251937	1153492	2053859	84471558	267881	1978924	201182	299755	2015180	510074	964450	6237446	1044730	583019	1422603	169697	50422	89339	0	3359810	96524288	83140316	23169333	90313262	201222625	53349805	56880618	604600247	15705532	7350842	913835	20031065	561251	4417	44005691	611222	270905	3396951	2064043	894226	91970	6435091	50440782	0	0	0	0	0	0	0	0	0	0	1529644701	190276669	18679242	12735455	221691366	37842026	42600126	80442152	6885629	13422	0	787256	0	0	0	787256	46682642	1774276897	42696403	968522	2203553	56318	65055242	1464589459	122010	122010	-2	12004	133288	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2006	04	AZ	Arizona	2610582721	-2	-2	40960642	580878	21656088	129949	403161	59366011	117771588	99618284	380943727	877800	6064136	3316895736	204055366	4272319972	18931770	835576202	596874	185144404	1040249250	665225931	8833520324	3434476964	634617858	156342973	6053177	19084602	159898431	125084667	26840242	4418229645	-1	-1	-1	-1	-1	279269396	117199517	52085805	260069781	255072799	134602626	132643115	1230943039	67946540	28399745	13168238	60548114	73551904	40220195	49844907	333679643	34876931	17380842	38042000	18023211	212303696	50614657	73568709	444810046	15799222	4595682	2606869	5072826	220413326	43132205	17784098	309404228	3716275	19903216	2997661	3044630	34614661	45190879	18364142	127831464	2570996	613269	8183952	2086690	24897935	2586995	19691710	60631547	400463085	168189055	114086864	345800622	786239660	271156678	293532539	2379468503	99740916	27658250	58099525	135850124	27090253	11294388	332643203	0	0	0	0	0	0	0	332643203	0	0	0	0	0	0	0	0	0	0	7130341351	711005412	125400916	12678332	849084660	220256713	421321436	641578149	47145938	1293153	0	1868812	0	0	0	1868812	419378785	8309740298	261495803	0	5179144	106660	491824242	6638517109	933663	933663	-2	7110	1094454	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	R	R	R	R	R	R	R	R	I	I	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R
2006	05	AR	Arkansas	1094994437	1245972	1520969	792048	4678927	2982173	60826	135367	45949378	54430437	83205566	73396000	46094	392402	1360713056	3773441	2432919630	29364086	455589818	104272	41798	485099974	248061055	4282506101	1591695691	409857095	65222296	8077867	5541051	200079253	29174514	17153301	2292085503	1049757024	161487476	82585855	128450991	41212967	118655299	141483083	60719930	157962962	117603294	70189530	49761951	716376049	29422498	33317607	17068318	39073540	32281195	17998443	13646653	182808254	20267815	35337733	15992044	2409355	91603501	18921437	16730002	201261887	5669073	29133929	4472894	3014586	111028895	29467747	12837206	195624330	659573	6836761	942149	593989	10932165	19790968	7792420	47548025	329359	3115791	12941642	370148	1903750	624304	3105392	22390386	174344044	242388143	111194828	202830591	354420635	137201461	96081204	1318460906	73678579	21122347	4870417	94319019	1974214	521713	194512075	0	0	990746	1025201	0	936525	2952472	197464547	0	0	0	0	0	0	0	0	0	0	3808010956	161054205	251696203	3913515	416663923	95721173	79653263	175374436	10827574	43330	0	14167230	0	0	461586	14167230	334811387	4328871352	119645655	0	1252534	0	263712441	3544298515	435278	435278	-2	8143	474206	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2006	06	CA	California	13875619650	450091925	168400	-2	199551	216962720	23243683	36124922	1056239256	573634361	0	3069683317	0	0	19048880143	0	37847078336	399317041	6256207122	21089540	213299345	6889913048	9846494050	63785871527	21714002608	6906542947	1244453344	693884790	322128498	1682409648	36235279	3273287	32244566624	16320132495	2471220681	128097647	713973610	423712993	1684068985	2049972094	240074615	2518366818	2048972809	512680186	1203752431	10257887938	531731963	650044906	94581339	848158714	816567783	212450038	492517821	3646052564	204093340	651240266	128312300	145169730	1056730273	443308183	475189106	3104043198	38502384	252114769	11018627	102742686	1458372381	136963624	127161468	2126875939	1140028	48932363	903266	5591482	45394353	47452761	34304156	183718409	278137	2276644	9656287	1405979	181540	85693	5684481	19568761	2458674809	3605648679	483643168	3615843927	5380824786	1305487724	2304305307	19154428400	664456147	257249864	57363403	947680068	13233012	190043	1926939525	55774762	23094421	21872603	9138834	743053	287639	110168259	2037107784	0	0	0	0	0	0	0	0	0	0	53436102808	8462828203	1133729665	145311189	9741869057	1397060113	1513797269	2910857382	420351861	1031643	0	622989706	0	0	872747	622989706	1514874997	64457147575	1814701754	396473108	4645501	24435445	2837333403	50598769405	6349270	6349270	-2	7969	6437202	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T
2006	08	CO	Colorado	2828139818	71445787	-2	-2	47598986	5266907	5184240	111686	106929973	94630866	141872958	327321769	2950071	3460933	3629535401	19398046	3089571355	54407135	466552838	0	10010277	530970250	612260974	7269475052	2547089097	569916903	83895288	49376931	6386936	263930515	50750526	62780246	3576988980	1834671034	300246185	82543325	85381602	58002963	204937662	208914194	42364521	309060835	237435459	112835479	144713931	1260262081	46408849	46576312	9125679	71641363	58768734	27741768	35420344	295683049	21172959	47553048	38585164	17979614	185721627	17854039	403291776	732158227	6343610	24378226	4085484	13178060	176588900	23666542	22934330	271175152	1248398	5724164	778894	4458692	14940487	23181028	40082021	90413684	449248	2884644	3844416	2542093	163005	97882	8614956	18596244	279312328	330306424	98005264	414401965	658677725	182195710	614975337	2577874753	67753355	17485941	13398444	97679273	5090170	742111	197059124	9790236	1974259	1762612	2600131	313557	239194	16366432	213425556	0	0	0	0	0	0	0	0	0	0	6368289289	803073161	34842204	43757711	881673076	320521709	335696210	656217919	44055007	280508	0	19806500	0	0	242063	19806500	225690423	7460914380	152511763	1165847	3092691	94625	452562980	5915726309	712476	712476	-2	8303	779826	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2006	09	CT	Connecticut	-2	-2	4771725433	-2	3053979	160635678	0	9311737	1146385	126561878	0	39501614	0	551496	4942540785	0	3351643794	41257086	360438755	0	15933361	417629202	750226442	8711813781	3107054505	1108456056	140708880	284136388	50356321	114910156	30961436	7075003	4762340988	2027218289	329526257	34745503	103496895	-1	306128211	137283895	73252820	293988633	255675257	22304000	84499822	1173132638	107040376	47558960	30626452	104190039	96567023	9147317	34101135	429231302	32307420	31172241	35543228	16453295	189656041	310237188	39283708	654653121	5108910	22898102	3875041	7304820	156160832	12585228	4737168	212670101	1123639	8788074	1175348	3450114	27968100	1956726	4829160	49291161	1681752	2520966	4598586	1623499	2763629	313285	5166193	18667910	452266669	241434164	147896127	423560286	700822782	354587018	167788026	2488355072	67615582	29636235	16094795	87666363	4259706	1990379	203003354	39344062	8834483	9003086	5031805	742229	1112104	63325540	266328894	0	0	0	0	0	0	22679419	0	0	0	7517024954	833212347	118972910	49639470	1001824727	146349306	333994141	480343447	49490905	1357473	28906925	39194693	0	0	0	68101618	255224385	8723054209	91680001	25904690	1070757	929788	249752589	7267272365	558423	-2	558423	13014	575059	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	A	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	A	T	R	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2006	10	DE	Delaware	355448768	-2	-2	-2	0	47385484	0	0	9687604	16674931	811086	53981943	0	0	436604332	0	969854219	0	125194405	0	1745666	126940071	193814336	1533398622	539576609	231696607	20142985	6776803	51426965	40626996	3038210	9439002	848259002	334621519	103399476	16033739	20333887	8807130	42165566	11228135	7991579	51300458	45754353	16542988	37684197	212667276	18112579	4755518	3390456	22008504	19717965	9030368	16010499	93025889	6424866	3992	4706872	4286892	64735859	54131347	30655485	164945313	384084	2344702	443932	621720	7148586	3559033	3409631	17911688	872461	11364	103022	104637	1949704	1066923	54317	4162428	0	0	0	0	0	0	2742621	2742621	67087095	18332347	16532839	78217574	137356763	83263736	90502433	491292787	24102092	6638976	3282973	31035418	1554476	854007	65913466	0	0	0	0	0	0	0	65913466	0	0	0	0	0	0	2998608	0	0	0	1405465255	189358476	33193060	1565589	224117125	30112791	53097855	83210646	178713	4851	548752	12433711	0	0	0	12982463	43518614	1651503521	19696682	13582720	770387	753139	52288945	1353176310	113986	-2	113986	11871	120937	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2006	11	DC	District of Columbia	-2	-2	228167996	815773094	557725	0	233388	0	45624	988870	7686766	0	719954	218977	1054392394	0	-2	384278	125898200	18942952	1472874	146698304	0	1201090698	347191986	41199792	17803211	140103284	0	4450500	19995979	0	550748773	194712000	33896736	3936198	13214232	4412988	48637112	35207502	12294616	48015949	47201152	48228656	16434736	256019723	6125723	5439012	1881654	7131509	9376084	10310754	2952357	43217093	11331430	32146993	12389546	53606	24267269	13407770	22450382	116046996	263653	2361194	275979	838701	52196200	2869572	4192464	62997763	369433	7535316	180070	640230	1096307	6082782	2770061	18674199	0	105	0	0	4407	0	2014136	2018648	66357918	75154806	26841795	56039765	133045112	74816752	48044075	480300223	10197148	2344845	1481545	12093228	0	0	26116766	0	0	0	0	0	0	0	26116766	0	0	0	0	0	0	0	0	0	0	1057165762	87606489	12509175	5219245	105334909	0	0	0	13317661	100265	0	0	0	0	0	0	56498863	1214588775	63369907	11250734	928453	433321	86388095	970777667	59137	59137	-2	16416	76876	R	R	R	R	R	R	A	R	R	R	A	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	R	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2006	12	FL	Florida	9914711981	-2	-2	-2	338296	0	10111304	4953368	403759340	360923200	467833193	1358847620	2332975	0	12518857909	0	9795679424	161702458	2298309425	0	42257795	2502269678	3203217955	24816807011	8030592580	2222370951	1401906889	666407	0	601227999	130252063	95981694	12352746520	4699901623	1827213910	222125308	367874059	233731718	711563699	900875784	84874811	900819137	772008504	463954066	305255765	4139351766	197161216	237326277	25212041	246255186	275436298	180385234	86157406	1247933658	55814983	131959612	37287385	17923913	559031120	93424580	124930947	1020372540	18225051	124102492	2782591	20003131	705291461	137436213	19178486	1027019425	10381911	14891004	2220306	12520015	24800269	9343490	5755153	79912148	1827518	17958440	60411011	2363085	40223207	10911269	10280598	143975128	984592467	1412222605	210567839	1187364452	2351990590	886111362	545803202	7578652517	297335089	135537468	69592101	440598407	13008217	22865111	965928176	0	0	0	0	0	0	0	965928176	0	0	0	0	0	0	0	0	0	0	20897327213	3636960058	411615345	568530167	4617105570	607278212	666657574	1273935786	211819735	2259328	0	256466811	0	0	11908538	256466811	1217485806	26220059623	541917355	90976301	10860198	4632104	1489924926	19407402287	2494778	2494778	-2	7779	2675024	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	R	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
