SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11A	E11B	E11C	E11D	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR08	ARRASTE1	ARRATE5	ARRAE81Z	ARRATE10	ARRASTE6	ARRATLEIZ	ARRASTE4	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11A	IE11B	IE11C	IE11D	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR08	IARRASTE1	IARRATE5	IARRAE81Z	IARRATE10	IARRASTE6	IARRATLEIZ	IARRASTE4
2009	01	AL	Alabama	-2	-2	1043596176	501397938	4025811	727973	0	68802	47466026	128942617	168944599	368894988	1263362	0	2264531517	30943176	4166017520	19495654	736281511	491591	21321839	777590595	547045259	7239082808	2538696534	995728866	103224835	2219880	297840	245035128	9873274	12595363	3897500606	1793872596	193587327	110639595	30379331	31885024	218598213	189762357	71184884	282653574	170070779	152064396	64029895	1148364098	83537042	69341406	22926533	106673343	88686072	100409124	25441660	497015180	35228688	30966958	18771190	14631315	101241438	31991440	29570653	262401682	33931185	18866549	2214440	9833897	250897955	36229865	8670445	360644336	1465055	185576	222218	176823	2935238	25079670	869755	30934335	2615936	3021855	58179561	2358676	100743	59698	3204958	69541427	373911064	311959125	173276608	416150805	610996987	320754523	130917611	2337966723	147099193	96426640	9553397	195007438	9012202	289313	448375981	0	0	0	0	0	0	0	448375981	0	0	0	0	0	0	0	0	0	0	6683843310	840542112	35492724	1216950	877251786	140620613	287969119	428589732	3556058	0	2347106	53209557	0	55894641	73718	111451304	86603203	7725995987	190070673	15232367	0	3414143	511893572	6171949738	712179	-2	712179	8666	745668	9346415	11376880	93748	1957476	222674	5783300	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2009	02	AK	Alaska	-2	-2	227279320	193353620	161223	134678	0	0	7526907	12871329	9744450	37419624	0	0	488356473	0	1459658387	50379738	143752223	3437508	117379668	314949137	0	2262963997	605309764	394575674	58449208	189079	134678	55816469	8302033	9234020	1123574214	-1	-1	-1	-1	-1	84983545	46874011	12355195	69752634	67886077	6167951	32541122	320560535	55820432	29028881	7914502	46173416	46627476	5068296	22034398	212667401	15487969	26951915	7165572	3274383	54197350	47762778	16285981	171125948	3939127	9663996	644910	1714485	92172388	2316174	2351443	112802523	1409165	2773728	191275	217541	2235511	292093	1324311	8443624	821364	789728	1626068	169539	120699	15713	711127	4254238	161052437	113308531	29706247	121084457	261003990	61330912	73924071	821410645	18038538	10086332	1100120	24076638	261765	53590	53355218	609279	261762	3047920	4735511	321630	324489	8978961	62334179	0	0	0	0	0	0	0	0	0	0	2007319038	202241622	71781215	13053051	287075888	40925998	53833959	94759957	7546438	99223	0	419596	0	0	0	419596	102262541	2319789235	47108596	73713	799521	132378	70891210	1936427828	119330	119330	-2	16228	130662	0	0	0	0	0	0	0	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2009	04	AZ	Arizona	3168999325	-2	-2	34369753	644637	23657622	237818	487284	60631080	123876903	108331565	490117177	836809	6974163	3995019230	4663469	4628420749	21041552	972282218	828241	170047375	1164199386	868252078	9792302834	3531455165	845882579	226773945	10971707	30013376	166216754	156816290	125482579	4906782729	2153070536	368472960	71449799	136428754	102803474	621710031	162135644	54124929	306330487	297985788	160747142	147158904	1750192925	88860221	42913740	15225290	79091776	97834751	55048680	45078549	424053007	76681390	21309704	39820746	24075787	267897825	52151694	53753921	535691067	16569600	4933003	2196028	5746753	266502942	44786455	5753701	346488482	3011437	23775943	3168248	2587109	42447103	49521341	19968959	144480140	141101527	540530	13332958	3207247	42258076	5572097	127700465	333712900	944922769	231832621	124699951	418452050	972479382	318306068	379445540	3390138381	113707273	34977773	59541573	173188861	17429067	666304	382081784	46874991	0	0	0	88927	877528	47752519	429834303	0	0	0	0	0	0	0	0	0	0	8726755413	921316860	96428545	7886302	1025631707	585779013	231642142	817421155	51661585	1065373	0	0	0	0	0	0	424194644	10123928502	285219003	0	2489284	0	528610182	8198145231	999386	999386	-2	8203	1087817	11969411	19373958	-2	336852	24630	-2	-2	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	T	T	R	R	R	T	R	R	R	R	R	R	R	R
2009	05	AR	Arkansas	1317525203	2681742	-2	3219282	8260554	3121194	91111	541642	31544938	57429696	79368856	79353610	26755	329044	1579830791	3316329	2684309152	21082147	520346263	0	15071643	556500053	332534433	4823956325	1716716223	448615309	79542379	11180382	7289625	187295336	23615315	18755105	2462104734	1125283207	179527476	86586821	145323547	39380204	143106864	189205817	59339154	170542081	132707149	78594101	55462532	828957698	36317751	45850577	16866689	43486110	37100277	20021120	15557941	215200465	25696400	59340225	15162188	3360896	102373464	21336490	18880096	246149759	5449695	38939663	3305491	4181388	130750986	31002277	11486522	225116022	694796	10273204	765495	455578	7930013	16052279	5007880	41179245	423486	3351401	8877793	656145	1153445	1111205	3974222	19547697	210994196	336687683	103551315	222226620	404085321	152065193	105361313	1534971641	80330214	23484992	5646810	129831335	2131257	178662	239472013	16270	2725	1546600	2684127	13754	41371	4291093	243763106	0	0	0	0	0	0	0	0	0	0	4240839481	281648480	115475234	9117022	406240736	119908975	110710445	230619420	14320482	152283	0	14181030	0	0	105330	14181030	191789440	4742778913	137850945	0	0	0	283356961	3957482520	439432	439432	-2	9006	478965	-2	-2	-2	-2	-2	-2	-2	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2009	06	CA	California	16285388529	661263714	168400	-2	214551	275869794	21910215	41645158	740707049	505645480	0	2680531436	0	0	20895829374	0	40605912598	412582827	8528137643	16087558	228462125	9185270153	8605025483	70687012125	24365951573	7573922649	1580419020	795996382	399740304	1622480478	30718082	3661594	35942431696	17953660327	2824563421	153531874	818092805	487491829	2116373146	2298776020	279433556	2824039341	2359728262	573206192	1404595912	11856152429	655428664	704435700	106677907	934154683	954684623	237131741	535172318	4127685636	260527238	759635420	166110138	179974771	1217489691	526172944	503710778	3613620980	34515573	162623191	9500747	70173115	1618264338	136017078	101235165	2132329207	1059560	12882945	547971	4359940	42259441	41023849	32646024	134779730	318132	2906526	10965601	1857823	224567	107747	7361777	23742173	3067162753	3928376857	572687949	4010199733	6150391481	1472635702	2552075950	21753530425	764859382	311523217	78556093	1081647005	18919951	199836	2236785533	80855814	34732942	20647466	11694078	1974040	251365	148181665	2384967198	0	0	0	0	0	0	0	0	0	0	60080929319	7774882836	722148919	159280002	8656311757	1898636874	2046700899	3945337773	488677912	848612	0	746376315	0	0	1309791	746376315	1069979127	70160845509	1620080439	267066740	6680407	2228027	2423825859	57657103460	6365278	6365278	-2	9058	6322528	245659594	277201595	273813	192156	242526	12469857	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2009	08	CO	Colorado	3302064394	44032221	-2	-2	68195551	4583483	5871364	181650	53522994	99097620	149060112	363488354	3071533	2992506	4091396649	13979336	3670240349	58312133	507664156	0	12256372	578232661	835709231	8353848995	2970930299	686310904	105025053	41608165	8826630	277942843	51657856	60049167	4141866431	2111674524	345719472	85977940	99190579	55887395	243220644	252778033	51040284	367059537	270066126	133549118	178520482	1496234224	56242895	57141798	11694296	83372527	70064711	36189243	43112683	357818153	24418109	54174882	46962104	21717296	178551472	19941462	257437836	603203161	6829176	28263374	3378723	13764965	180057814	24225322	27303902	283823276	1476083	6064103	2715064	3376357	19934710	23495710	43467583	100529610	3907423	2639914	4833923	3480042	414675	127509	5498386	20901872	334618247	394998001	117909330	489394367	699154798	214032654	511873289	2761980686	82879620	23124670	13153222	123178507	5427584	1696352	244032371	24520422	5731502	4119532	3452253	1085897	1563468	39387177	283419548	0	0	0	0	0	0	0	0	0	0	7187266665	751003876	98926019	39720451	889650346	439863551	441944544	881808095	38108337	283691	0	18157212	0	0	120868	18157212	297751976	8292288066	153372612	1276370	439921	12717	483390306	6703876359	747845	747845	-2	8964	818443	4809041	5553896	1657097	71549	0	281072	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2009	09	CT	Connecticut	-2	-2	5411897457	-2	4159198	190449803	0	10899175	416602	121415088	0	50150839	0	712039	5588751223	0	3842177218	35386603	391165513	0	14274063	440826179	654727320	9871754620	3444803590	1330076790	176676643	357872022	56283904	124644435	38467767	7562239	5441635719	2232149546	373535224	41007061	123220682	-1	353386987	151305538	92063551	338180281	293743015	26904418	97808453	1353392243	137294526	57216137	40956283	131354253	120455581	12040518	42355543	541672841	40433997	33362321	40153650	18105409	224771698	376176913	44321325	777325313	6425638	28839418	4246977	9192559	205722644	19963269	6536437	280926942	1625687	11773247	1733365	4105858	33083734	2403956	7895300	62621147	1640826	2166005	5030657	2150493	4370072	2122777	5010311	22491141	539181974	272889419	182451118	498982995	849063010	437207895	196032069	2975808480	67949683	33082404	18219375	92788185	3293213	2998606	215038253	45605689	10573261	11469531	5884638	1512716	2278088	75811207	290849460	0	0	0	0	0	0	24797556	0	0	0	8708293659	679752938	72999615	33996805	786749358	156445005	320384982	476829987	49557035	1022523	31985342	39746346	0	0	0	71731688	213913786	9723249106	86821634	32326773	0	318609	245753341	8462540318	549776	-2	549776	15393	567198	5236	5236	-2	-2	-2	5236	-2	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	A	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	A	T	T	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2009	10	DE	Delaware	435192051	-2	-2	-2	0	58422520	0	0	8725543	17943925	829140	55105523	0	0	517796182	0	1094909162	9351801	131115360	0	1960683	142427844	150990242	1755133188	595656994	262135049	12515151	6509597	66166987	38954299	2247306	9640219	925411309	371394278	117263895	17380309	24674969	6240316	47100478	11433024	9774089	56528961	51674997	16820771	33615923	226948243	20352215	4948553	4180865	24561885	21654890	9334145	14168848	99201401	8430649	8447	5238079	7101788	75112980	68330556	22811148	187033647	457259	1358514	203985	684162	9133284	2933236	1245391	16015831	802251	17496	0	61752	1641075	623257	58075	3203906	4832	0	0	0	0	0	3428326	3433158	76345433	17748538	19397018	88876796	157576151	97418708	75269636	532632280	22211188	6118122	3025410	28600567	1432521	787006	60742293	0	0	0	0	0	0	0	60742293	0	0	0	0	0	0	2232137	0	0	0	1518785882	245864270	4020202	1318705	251203177	46082709	90874615	136957324	212168	0	4839776	13636386	0	0	0	18476162	12222640	1795561122	20641829	17712039	0	0	57126933	1461658949	119092	-2	119092	12273	125430	152819	207743	0	7842	0	0	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2009	11	DC	District of Columbia	-2	-2	307126725	1121605882	804530	0	61700	0	1290094	3054380	6435882	34412124	2203	489250	1475282770	0	-2	5405272	102684144	8023846	59618277	175731539	4757580	1651014309	395532249	53516401	23093371	140128700	0	10882755	7312017	962970	624116446	107787289	15433809	796624	3696538	2471732	89300365	54365473	23972681	88636110	33033430	214380	41024320	330546759	9645303	8402356	4338137	16790268	10487585	20648	6011765	55696062	34142060	21776019	6562462	11933059	37615389	88217180	31926418	232172587	5261678	3290980	2533288	2707125	42744429	4881	5000443	61542824	43081401	765223	1867224	868050	6655273	0	7119716	60356887	468637	455462	1842949	346729	866535	80461	1756402	5817175	138818043	88290290	39249517	120413291	124747368	88537550	85719348	685775407	3782215	2357143	33065711	1997003	65710	184206	41386278	299689	47020	28640	1219161	839356	32135	1626645	43012923	0	0	0	0	0	0	0	0	0	0	1352904776	347947661	37366584	17402071	402716316	13253684	4779401	18033085	14855533	174498	0	9864179	0	34531	2675130	9898710	126192253	1851798933	41848253	4933666	282333	261127	58173324	1294731452	68447	68447	-2	18916	68681	0	0	0	0	0	0	0	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	A	R	A	T	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	R	A	T	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	R	A	T	R	R	R	R	R	T	R	T	R	A	R	R	R	A	R	R	R	R	R	R	R	R	R	A	R	A	R	A	R	R	R	R	T	R	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	T	R	R	R	T	R	R	R	R	R	R	R	R
2009	12	FL	Florida	12467922670	-2	-2	-2	367936	0	12185715	6907863	162818383	355542363	597407694	981734264	1944267	0	14579923292	0	9047588162	204221483	2443132772	0	47224507	2694578762	1099240007	26322090216	8945024413	2693245815	1860387391	1027213	0	499287088	57745286	106025492	14104997412	5435735750	1839989627	230763973	379018564	200986469	771059558	981825575	89290667	1001423108	834973790	490169427	332328349	4501070474	233921382	277574257	31541351	299065400	323824792	206767030	103971407	1476665619	65299246	133567694	34389953	16255436	561165087	99262896	144050807	1053991119	15370551	96762042	2666675	13718399	742323343	136926893	14532023	1022299926	4456139	6190619	867240	5452543	10240816	3874903	2463331	33545591	2110590	23194133	52989126	2375358	38697740	14554449	7633627	141555023	1087761327	1512923701	210877772	1332837701	2500984752	947680695	602516213	8195582161	310260947	151112536	74849293	464660395	3494003	26565479	1027448650	0	0	0	0	0	0	0	1027448650	0	0	0	0	0	0	0	0	0	0	23328028223	3481103878	290267426	647708619	4419079923	835471439	938533125	1774004564	232960452	968726	0	277589616	0	0	8427589	277589616	1042157240	28361839409	580902463	99016700	0	0	1647367138	21680661085	2468060	2468060	-2	8784	2631020	34377652	37770011	1204	536712	0	1042590	17540	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
