SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11A	E11B	E11C	E11D	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR09	ARRASTE1	ARRATE5	ARRAE81Z	ARRATE10	ARRASTE6	ARRATLEIZ	ARRASTE4	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11A	IE11B	IE11C	IE11D	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR09	IARRASTE1	IARRATE5	IARRAE81Z	IARRATE10	IARRASTE6	IARRATLEIZ	IARRASTE4
2010	01	AL	Alabama	-2	-2	1066021960	510878707	4089031	447497	0	68041	24867476	131231168	178530095	327971818	1211133	0	2244801388	26720185	3800153264	19420093	1124843535	332455	23419758	1168015841	479515327	7239690678	2527833534	998529795	104085015	1853069	395947	258190506	5451356	11889250	3902381169	1792844992	188274018	110278708	24837500	16553537	220488723	184476547	71493964	280776328	165131520	149547462	62316315	1134230859	85123368	68865117	23191359	107013111	86236304	99001716	25160680	494591655	37516631	38546821	19007797	13204357	98856315	34480262	29342504	270954687	36805545	14017666	2952577	9848269	246923962	40345037	8824680	359717736	1367897	194267	102484	220791	2591054	28081293	1005098	33562884	2623851	2420693	44556645	2321614	102694	32899	12467481	64525877	382558118	308326844	161202342	413163679	597250795	323407376	138111660	2324020814	145097291	94578805	9357016	194830804	6699006	250810	444114726	0	0	0	0	0	0	0	444114726	0	0	0	0	0	0	0	0	0	0	6670516709	656833380	28320527	788763	685942670	130096322	239733567	369829889	3834811	0	2403698	49855616	0	57702927	21118	109962241	74843654	7515990795	298806716	16190863	0	0	630059006	6040457703	698208	-2	698208	8651	748889	369660033	381295043	138409	6187052	2689876	99711346	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2010	02	AK	Alaska	-2	-2	264898857	176461847	128736	197429	0	0	8362269	12385838	10018746	34323746	0	0	506580039	0	1461906360	39328351	200116975	3880492	126403204	369729022	0	2338215421	641431359	384228399	59288785	108520	197429	59980844	13023961	10549173	1155587080	-1	-1	-1	-1	-1	95734277	52637955	12806684	75052699	73973820	6539742	35131039	351876216	57222518	30263959	7999478	45636647	46904710	5405386	21443019	214875717	18207429	32843400	6812648	3501777	51631603	47795891	17576632	178369380	6080299	13365267	728487	1693738	85419162	2225401	2400719	111913073	492175	2740143	113926	142843	3112254	881388	2552213	10034942	699036	937807	1594375	202034	97588	19146	1192126	4742112	177943559	130048388	29941672	126086895	258026883	61985566	77743535	861776498	19199968	10821839	1158093	26466307	452310	43190	57689397	1042336	520556	3581888	3807385	159114	14351	8966516	66655913	0	0	0	0	0	0	0	0	0	0	2084019491	178398560	21965996	7512996	207877552	39771911	57428369	97200280	7498487	141165	0	413189	0	0	0	413189	53290484	2323620211	59270447	0	0	31092	81834859	2002184632	120118	120118	-2	16668	131661	23470386	49963570	0	3835787	1228974	13751946	0	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2010	04	AZ	Arizona	3236621487	-2	-2	39250995	623204	23264158	231030	559826	27181631	112334694	106910039	505073847	713490	7425288	4036365705	244178881	3896117202	24003209	1692185717	1282525	175826078	1893297529	517278514	10069959317	3359861432	859390181	206437720	10873343	28777468	187008767	128741211	135885169	4759456612	2084843217	334131348	66336523	116676673	71375105	668304116	143684549	55706616	291270090	285247340	160075206	145323561	1749611478	90869569	40678470	15432502	79727602	100508412	59121998	46396224	432734777	56449641	18819621	39797123	26417552	286164003	53397881	56850230	537896051	11345084	4162959	1806170	5544303	263089454	48360154	6126508	340434632	2432033	21732860	2620193	1768569	29557098	37906410	15331541	111348704	166015761	617284	14084639	3796531	20684173	4740376	116972608	326911372	992984171	207962883	126827050	406756078	955693382	325695615	371669131	3387588310	110024990	35408440	66180950	182887673	20992247	647043	395149096	44530092	0	0	0	118036	1164774	45694866	440843962	0	0	0	0	0	0	0	0	0	0	8587888884	517421452	51422952	13514360	582358764	563670943	253664627	817335570	48652430	0	0	0	0	0	0	0	326137510	9480100276	360541833	0	0	1621014	590400592	7997488292	968764	968764	-2	8255	1077831	539065103	550231077	548353	29137598	232566	253804938	-2	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	R	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	R	T	R	R	R	R	T	T	R	R	R	T	R	R	R	R	R	R	R	R
2010	05	AR	Arkansas	1404473211	2326573	-2	3566662	8232474	4510065	72620	548162	23411699	55612046	77462685	76847733	13378	249293	1652268374	2442736	2686230835	27293872	777093454	0	15071643	819458969	258994335	5160400914	1757604021	479523820	90422003	12001037	7316257	214753424	45831168	18506817	2572811122	1141046676	182872151	86305441	153053949	25140497	148990616	202960147	60390984	171815993	136138317	80375581	58876822	859548460	39778419	51935012	19632452	46406907	40530834	22982674	17168574	238434872	27556671	70918214	16045798	3683111	112656073	22440023	20315172	273615062	6300508	56861897	3734995	3872773	126140951	32609717	12919226	242440067	1168607	26810472	1027082	374871	14933203	26643636	8632978	79590849	389568	4183023	8998587	534305	2224300	1094394	8623816	26047993	223015782	386858293	108802816	226313089	417690475	159502389	117903610	1640086454	81628485	25420254	8943357	126277535	4073554	250831	242520462	19703	4269	1628815	2736976	1490	101938	4491701	247012163	0	0	0	0	0	0	0	0	0	0	4459909739	390558203	132494279	11477658	534530140	121995842	96221845	218217687	15330634	78511	0	14177260	0	0	167395	14177260	273714904	5153690740	187531808	0	0	0	329174304	4130735435	435676	435676	-2	9481	480559	76412045	134544527	427520	61383167	76377545	37711346	-2	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2010	06	CA	California	16379820724	692642827	168400	-2	347461	289113426	19114777	38973491	422961228	457132827	0	2559558982	0	0	20531747226	0	34743248852	449367225	8146441881	26262699	233174056	8855245861	11503454360	64130241939	23503106187	7756666360	1679025181	748356725	395138436	1365473021	26828100	3808507	35056435981	17138076886	2809219250	130419485	778490284	316585759	2027949626	2063980966	272519858	2707883115	2251783898	541300725	1355186206	11220604394	664384854	683154304	108123418	953472852	960611884	235482314	552958281	4158187907	274073909	660609769	145070768	177348096	1126134664	493359367	525151084	3401747657	38402872	143046814	7926176	66064274	1538125489	132452533	94259308	2020277466	1156756	8483261	361037	5239247	39876486	54394672	37914004	147425463	301854	2461823	10959161	1752262	211580	105304	6609466	22401450	3005113115	3553253676	544599381	3906520599	5876867515	1402700243	2534164345	20823218874	742125775	318815567	88542755	1079468678	25682482	213548	2229166323	73578988	30566347	25675932	9775050	577593	244503	139840820	2369007143	0	0	0	0	0	0	0	0	0	0	58248661998	6332147054	349040514	194693991	6875881559	2080486905	2203293229	4283780134	461006072	366953	0	611751190	0	0	428057	611751190	745043153	66398609467	1471953511	768285576	0	0	2716834152	55531827846	6017381	6017381	-2	9229	6263438	2332892784	3209610616	69829727	20955494	8622373	452377212	-1	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2010	08	CO	Colorado	3453889419	54383205	-2	-2	61940236	5344187	5770364	152484	29338736	97073695	149290578	388426476	3143325	2992850	4246248884	15970646	3860026474	71842282	648824156	0	9696761	730363199	600529742	8852609203	3059053410	724107986	110502483	42116539	9699904	274122107	64290163	59574416	4269476941	2151622195	356613211	87514203	108268215	54033013	260010247	270814705	53039842	375110918	274723582	135569776	185876478	1555145548	61025965	61123963	12094263	86111097	71648594	37724521	46685956	376414359	28644222	61217951	50355154	23868669	174602447	19196733	243054675	600939851	8709627	28336092	3801846	13980847	184018088	23169802	27107023	289123325	2502432	9210870	3203841	3646401	17433800	17608108	35004708	88610160	4050893	2997323	4572864	3276488	626892	157431	35316609	50998500	362440954	424490034	123863969	502348019	705619603	215818263	538040741	2872621583	86438749	24282378	14229345	121993048	5179135	1740505	248684025	23667203	5827292	4327108	3390693	1724893	1307169	38519465	287203490	0	0	0	0	0	0	0	0	0	0	7429302014	666427406	139117707	51970714	857515827	470869380	462706384	933575764	35392420	287519	0	17475041	0	0	232889	17475041	351413180	8500010061	228799235	2064166	0	194156	551268605	6878033409	762190	762190	-2	9024	832368	69641156	111859035	6107904	10567842	72984	47800312	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2010	09	CT	Connecticut	-2	-2	5410540722	-2	4408494	191783486	0	11734362	122505	114355944	0	46951515	0	672931	5577052111	0	3463789585	38476754	802970022	0	13198617	854645393	606773670	9895487089	3544680769	1371504932	204105857	364609254	66784612	126809130	45669776	7226164	5618936106	2283622951	389208722	42420860	130350148	-1	355547687	149722949	89891269	340049560	291176470	26569799	98928319	1351886053	139441128	56642141	38943095	132639719	122136351	12064173	44555531	546422138	36922832	33976079	41255281	18462307	216039499	376761952	48033105	771451055	5839444	26971362	4452310	7956595	182785657	15171897	6997505	250174770	1407748	13135447	3281276	3055072	25090172	1824001	6179027	53972743	1405946	2232680	4235978	1745798	2476017	665253	5706487	18468159	539157037	269545211	178777933	500853979	814613994	431233074	204220947	2938402175	69888178	33552756	19346672	94196647	3109441	3840073	220824326	45916125	11006812	11567975	5119120	1161069	1564761	75174793	295999119	0	0	0	0	0	0	24451748	0	0	0	8853337400	594138999	53409328	30195439	677743766	147915986	314001459	461917445	50073461	2819945	31151042	40774701	0	0	0	71925743	190337741	9759813344	90746175	71852790	0	0	282036334	8571301066	548787	-2	548787	15619	563968	368176090	368176090	1085172	10041669	-1	39247400	1753315	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	A	A	A	R	R	A	A	A	T	R	R	R	R	A	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	A	T	T	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2010	10	DE	Delaware	439792794	-2	-2	-2	0	56601963	0	0	4877064	16385131	727316	57797489	0	0	519579794	0	1046317231	7640037	208423150	0	2141189	218204376	179274061	1784101401	607857133	265699807	14029383	6474801	63743941	48807224	2670322	9691939	952560287	377124374	114761878	17015297	29011528	8112869	47162177	10671441	9582691	56766545	52523940	16049399	33558605	226314798	20624203	4637840	4060189	24781487	22922822	9300100	14501161	100827802	10426142	19151	4836056	5623400	76024503	67254773	25810406	189994431	557689	1496489	334356	650796	8064735	3081008	1763877	15948950	1652972	68619	0	224401	1350757	780225	52751	4129725	0	0	0	0	0	0	4360901	4360901	78770211	16824921	18813292	87822228	159536000	95685280	79994950	537446882	22188121	5995760	2964902	27884731	1403871	771266	59804780	0	0	0	0	0	0	0	59804780	0	0	0	0	0	0	1991319	0	0	0	1549811949	183254704	1956400	3312423	188523527	49327435	102217531	151544966	303647	0	4967917	13750461	0	0	0	18718378	13472741	1765561419	23787597	20603849	0	0	61503893	1488308056	119879	-2	119879	12415	126801	47318827	60815739	53106	1762749	0	11821846	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2010	11	DC	District of Columbia	-2	-2	600285240	900427861	819877	0	117985	0	132472	1815826	7167530	52331835	406	1615963	1564714995	0	-2	2842846	152663303	0	696218	156202367	3667352	1720917362	458470012	60639939	13029947	166575039	0	18708260	10932490	5732696	723155893	327223565	55070245	4284889	19538010	111616709	55398742	57226609	31672538	76356603	47340896	62866053	31776004	362637445	7679387	7694583	3892164	10493024	8548077	15036807	4725344	58069386	36796266	29056714	6168244	2626574	46258448	11106894	35949160	167962300	1593085	1292963	2526218	2802700	44556584	3648260	1897771	58317581	788566	2568053	1794718	759499	6589045	291792	3653975	16445648	1177247	3238653	4790979	2719073	9453403	9096991	1343261	31819607	102644727	98509522	49050143	94997974	156157408	101755005	75691540	678806319	2874308	441820	33875733	6118093	118319	2284560	45594514	579885	21052	25053	988711	0	2698284	4312985	49907499	0	0	0	0	0	0	0	0	0	0	1451869711	34683398	1497622	3935993	40117013	134109231	167698104	301807335	16111044	12083672	0	8536565	0	909916	4050	9446481	45017794	1557128428	38368489	6152664	81627	30743	56171110	1395698601	68217	68217	-2	20460	69433	94922392	100828760	796006	1268635	0	22900442	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2010	12	FL	Florida	11545455556	-2	-2	-2	631567	0	11116922	7262782	106235947	322163722	710255964	942541785	1775221	0	13640176684	0	8216579182	213137678	3937297231	0	49666007	4200100916	773060931	26056856782	8699434850	2680150045	2129008654	943321	0	502706147	77618831	99453572	14111696589	5249057514	1803179638	211792426	345545169	169016528	754322297	1006255042	83370889	984555309	817316097	468604552	328479400	4442903586	234224181	289730611	34009396	300584365	326446187	204676098	108100492	1497771330	62586169	144494278	32901706	15153685	573694378	101184378	136278458	1066293052	14765790	91836481	2545489	13789913	728713938	143591730	15869181	1011112522	5870436	8563638	1377629	7248065	13664588	5138183	3288934	45151473	2112243	23728794	96640103	2914120	40081507	16935019	9493009	191904795	1068010680	1556045206	249467583	1316997392	2486252107	934991777	598220540	8209985285	298038584	149155410	93258160	458861479	6111689	28318498	1027632131	0	0	0	0	0	0	0	1027632131	0	0	0	0	0	0	0	0	0	0	23349314005	2210981133	192226554	398727728	2801935415	809829480	748245553	1558075033	237316678	1340396	0	300566596	0	0	8353499	300566596	729530170	26827708582	747040058	117022738	0	0	1910006192	21439307813	2493694	2493694	-2	8597	2634522	850169705	1440267844	17253688	36363687	95990170	177551767	11026737	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
