SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11A	E11B	E11C	E11D	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR10	ARRASTE1	ARRATE5	ARRAE81Z	ARRATE10	ARRASTE6	ARRATLEIZ	ARRASTE4	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11A	IE11B	IE11C	IE11D	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR10	IARRASTE1	IARRATE5	IARRAE81Z	IARRATE10	IARRASTE6	IARRATLEIZ	IARRASTE4
2011	01	AL	Alabama	-2	-2	1070276399	542310716	4198317	701516	0	2504	19998054	118329978	182375416	332034882	1072250	0	2270596012	37386814	3827906539	21101676	1204561355	361890	24556450	1250581371	510814517	7386470736	2500992746	983940156	112088161	2631866	324032	235133897	6335974	11631830	3846418656	1782080018	265058655	107644992	48476732	15446672	219781202	179435202	70099766	277309033	160824086	149143680	61248911	1117841880	84300008	66964120	22813414	105420357	83513295	98752566	24699114	486462874	39222834	36704355	18621088	12798241	105128356	33025736	31957198	277457808	35888431	12076925	2814588	10060649	244648636	49065889	10418798	364973916	1408048	910098	265438	200813	2815299	27027593	707915	33335204	3224529	2540287	43938107	2358896	65490	31202	2822809	54981320	382417004	297720889	158286963	407947176	594179863	330019073	131146830	2301717798	144476585	93263499	10059409	196661374	5504009	327529	444788396	0	0	0	0	0	0	0	444788396	0	0	0	0	0	0	0	0	0	0	6592924850	472668085	47478952	625219	520772256	134550491	221910032	356460523	3810230	25011	2384629	49458135	0	61078731	12494	112921495	93316863	7275641523	188941867	71868687	0	0	566786515	6026138335	709225	-2	709225	8497	755552	127859201	334492317	1689930	3658424	3456110	47430180	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2011	02	AK	Alaska	-2	-2	297717875	160752197	131258	88690	0	0	4151981	11378331	9998478	37637881	0	0	521768001	0	1524083229	41528701	241344631	4545691	137003345	424422368	0	2470273598	666918708	413654983	61054899	364557	88690	67196368	8821115	9495230	1218684745	-1	-1	-1	-1	-1	97316152	54249074	13354806	78165066	75399125	6734909	36438659	361657791	60075791	33656484	8197371	50029166	49947680	4439122	23181051	229526665	17727632	45272356	6774663	3507492	54287166	50449067	19329459	197347835	4128335	19824381	741137	1868488	89380082	2423378	2625678	120991479	249202	8569649	108392	46728	2711407	70641	1568753	13324772	804522	1041317	1507887	215962	128985	9526	664210	4372409	180052432	154043612	30575864	133786174	269143038	64056002	82239057	913896179	19848159	11569385	1309050	27721342	339396	43366	60491302	868328	495634	2782854	4050791	187149	332	8197939	68689241	0	0	0	0	0	0	0	0	0	0	2201270165	115534871	35271693	7710083	158516647	39348943	62213190	101562133	8229843	151891	0	403277	0	0	0	403277	65806099	2391244255	59462006	0	0	0	80970073	2120300092	119949	119949	-2	17677	132104	46693004	82112252	0	10689240	760343	14803494	0	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2011	04	AZ	Arizona	3094295196	-2	-2	48737042	3951044	22923249	145062	7321458	24330805	109872955	111557843	540528325	638298	7774353	3941830923	258379586	3924368802	6492373	1387991497	30438650	214969799	1639892319	670582435	9764471630	3256512906	770956721	225929005	2073623	22911769	99764594	131452128	151646080	4506882929	1925272360	330624073	68259292	116653337	65523639	767119752	134603749	57099447	280884545	273598705	157232642	142883073	1813421913	86560276	37031221	17878954	74901820	93394838	56695171	42941789	409404069	56439718	18413193	39061632	25517994	288932123	52130673	60377653	540872986	10075723	4721605	1841723	6283029	259168874	56210989	6028514	344330457	4594709	20242217	2319133	1932248	30914129	36227189	14487216	110716841	167051882	538655	11014984	4942770	22386679	1252499	78797475	285984944	1087247351	195308423	126896740	392530158	937481219	323521974	331028504	3394014369	110326518	35184455	65881176	181348169	23558182	960327	393700645	43855674	0	0	0	176116	1757135	45612809	439313454	0	0	0	0	0	0	0	0	0	0	8340210752	526193346	53706223	19043724	598943293	637154712	239683437	876838149	47019593	0	0	0	0	0	0	0	338653214	9252076905	366421334	0	0	1628532	601989421	7738221331	964683	964683	-2	8022	1071751	242672397	298456284	0	21812895	2937923	225092911	0	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	R	T	R	R	R	R	T	T	R	R	R	T	R	R	R	R	R	R	R	R
2011	05	AR	Arkansas	1449957675	1515281	-2	3833118	8629306	3575452	91384	155355	20648007	55712979	79415073	88181206	33078	231354	1708248461	3137888	2703032545	34566990	801263063	0	23479122	859309175	368393601	5273728069	1798852379	492291463	98069994	11629632	7117634	196050691	34421575	18580152	2615474311	1154090421	184325657	85504682	153875613	26967863	154921031	207055788	62291654	175761389	140955005	84925422	62220803	888131092	41341938	53301130	19173996	47453404	42174102	24262788	17994483	245701841	30070088	76904911	16402371	3708998	121752831	24137202	25669401	298645802	6361983	52345843	5050208	3939447	127450399	37764807	16020459	248933146	768256	21962718	1043309	310780	10311637	26487335	8042487	68926522	403869	2588437	10067315	609717	2772488	1050481	3611874	21104181	233098909	392196109	112985544	231472955	435104825	172140700	125517020	1702516062	87712298	26988273	9767468	129967002	4083008	293273	254728314	839341	204910	276972	3084951	36304	1011521	5417695	260146009	0	0	0	0	0	0	0	0	0	0	4578136382	410647394	130752385	8167713	549567492	126131761	98165455	224297216	16264190	124693	0	14292042	0	0	74359	14292042	246586559	5265926567	251592417	0	0	0	395705591	4182430791	443118	443118	-2	9439	482114	108511756	178484756	303707	40849605	86204072	28522347	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2011	06	CA	California	16065608103	729009639	168400	-2	431760	261358537	18216201	38379342	347874973	427143116	0	2615474811	0	0	20203927003	0	38411424501	442981264	8532994204	20934867	251800112	9248710447	7465153012	67864061951	22874871130	7843569067	1741303252	754422397	379170225	1461633893	30829944	3809771	34679609510	16561534321	2760444356	127062159	758493371	319965605	1997477161	1999831271	271173945	2622872760	2157945202	525401534	1322252625	10896954498	671295140	682006424	110783398	944582251	960983902	239062259	584480431	4193193805	301391843	646626684	153821425	169798416	1015456360	474226034	449642325	3210963087	34541574	169168208	8481270	72643476	1560674325	147828640	99535019	2092872512	1258934	9979044	163636	4807952	37405198	119690338	36699111	210004213	252329	2359484	11568086	1768923	163694	85949	6831503	23029968	3004958047	3499992071	555828124	3811665826	5695223483	1386604416	2462741903	20417013870	734050457	330592066	97491210	1124804608	25938221	197951	2287136292	76063231	33485259	21758522	11498968	1077864	269223	143075203	2430211495	0	0	0	0	0	0	0	0	0	0	57526834875	6005034607	308740508	181244348	6495019463	2341848680	2027270391	4369119071	404184330	386533	0	534161118	0	0	443017	534161118	758664648	65228879578	1982449744	536431066	0	0	2964671887	54562162988	6029786	6029786	-2	9049	6289578	1273411034	1943079477	68807535	19767270	10228859	637010444	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2011	08	CO	Colorado	3470847843	45894241	-2	-2	66470976	5926171	6371156	104609	22317597	92698201	156308274	402422964	4214924	2834127	4270380303	17914122	3540864828	90087400	889785565	0	11750487	991623452	333429277	8820782705	3018418325	743335253	112519659	42267269	8445832	271477931	56576147	62674777	4250693214	2147254006	337964915	82659172	163940463	54219881	253827337	260515881	51971727	366180605	264664108	130496218	185063779	1512719655	61454486	61337759	12591905	87306843	71532061	37494055	57393181	389110290	33233815	66673629	86463507	23453231	178544767	20867897	242541656	651778502	8587898	29011570	3848070	15023881	179967411	28227765	28248895	292915490	3310513	8141161	1855225	3829476	12967082	12408317	40242932	82754706	4114344	3052792	4383844	3944680	337362	436030	5509040	21778092	361217880	420591631	159259053	495909240	695045709	217521965	518756551	2868302029	86441968	25806643	18606523	121995277	6315754	1730875	254581286	22943765	5820294	3081339	2950133	1997476	1089682	35885213	290466499	0	0	0	0	0	0	0	0	0	0	7409461742	528900317	104968178	53300273	687168768	439935944	496539274	936475218	42725514	160515	0	15753084	0	0	292752	15753084	306365801	8303206458	243960993	2915215	0	0	575773866	6833687876	763147	763147	-2	8955	843316	283909456	372584047	2201838	10279398	490141	61747366	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2011	09	CT	Connecticut	-2	-2	5568316704	-2	3288337	208902080	0	11149366	135386	108369711	0	59023710	0	592417	5739726265	0	3422641910	38905030	776269876	0	12442757	827617663	655377402	9989985838	3601405478	1448012365	199224980	396499045	62570915	115141304	43690913	8590255	5768873427	2288948967	393865933	42550163	134659002	-1	362695866	152836738	87389722	344118348	295775996	26207593	102642370	1371666633	147267527	61110802	40484004	140931355	127822549	12505189	48544063	578665489	38674736	39800670	42535183	19572500	233466074	394461599	44527271	813038033	5557538	25843136	3776934	8610160	182975789	15918901	5717058	248399516	1148528	12874953	1818584	2780494	26481780	1969251	7236383	54309973	1505853	1661408	4646863	2297628	2494707	760029	5876976	19243464	555701520	281252754	178832706	515529991	842535115	449853311	207307738	3031013135	68197079	34202213	20181088	92892349	4023937	3628390	219101119	45483894	11888227	10416222	5008249	1101550	2252013	75048605	294149724	0	0	0	0	0	0	24435417	0	0	0	9094036286	392694615	44939555	22006273	459640443	141440579	326013810	467454389	49689783	752613	31040007	39959094	0	0	0	70999101	170824814	9778244599	92747222	50084057	0	2606064	257687808	8836348478	537104	-2	537104	16452	560546	357405790	357405790	1610120	6094962	0	28160311	3701072	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	A	A	A	R	R	A	A	A	T	R	R	R	R	A	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	A	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	A	T	T	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2011	10	DE	Delaware	435580555	-2	-2	-2	0	59404585	0	0	2683990	15758661	896050	61359467	0	0	516278723	0	1024556774	6290228	199753110	0	1779305	207822643	155168215	1748658140	643670733	281665377	24377924	5547045	52930613	54009960	3190472	9220310	1018491349	427738006	95784888	16751765	35176464	13122415	45777746	12939981	11757775	57212310	54252228	16292365	29106597	227339002	20311412	5783621	5163826	25277074	23978002	9656374	12491742	102662051	9230101	800032	4709532	5738485	73109460	65467889	26257703	185313202	561706	1518175	501479	526834	9542133	2818074	1320271	16788672	1712455	58949	0	231130	1759769	4333650	54827	8150780	0	0	0	0	0	2033	4178367	4180400	75880965	21041809	22132612	88754703	160881823	94236735	73354680	536283327	21032899	5976622	2955438	27795725	1399390	768804	58529488	0	0	0	0	0	0	0	58529488	0	0	0	0	0	0	1847549	0	0	0	1613304164	168893930	1956431	6174782	177025143	23660372	39835167	63495539	1118158	0	6520410	18790680	0	0	0	25311090	20871855	1829499197	18733694	21892292	0	0	57280697	1556023467	121959	-2	121959	12759	129403	42422593	52302090	16552	4667342	0	15123970	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2011	11	DC	District of Columbia	-2	-2	553482069	1074406370	797904	0	119582	0	676626	1290439	6915483	59409656	5535	1522125	1698625789	0	-2	13800602	212266243	0	1131085	227197930	14960888	1925823719	451340550	79700002	52967290	135239863	0	18960911	11764056	16255749	754464365	310499832	61563127	1334831	63046075	4927646	27002848	47824699	31286374	81185954	44000063	61525405	17004496	309829839	4791040	8351416	6724346	13686198	12850317	15287701	3052229	64743247	50448115	52967290	14659746	9925129	86718944	13556217	7221754	235497195	1991683	3294662	2618467	2856151	7705087	378509	2452678	21297237	1330295	793846	732870	718754	5204595	4305930	107806	13194096	1900024	2512464	6442153	2581834	14210603	9359604	2315635	39322317	86133710	114950531	61731086	110235266	165485014	100107436	32046792	670689835	3156326	537471	47247728	1253063	383102	2029290	54223878	119784	1893	0	901454	0	1800667	2823798	57047676	0	0	0	0	0	0	0	0	0	0	1482201876	321586387	26335827	17857417	365779631	151373184	199496351	350869535	14436529	0	0	22418783	0	946584	531092	23365367	70065590	1911655749	39582270	3430827	0	0	53664165	1428537711	69575	69575	-2	20532	71284	9540306	18136490	5999746	213341	0	2922094	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2011	12	FL	Florida	10549647585	531731043	-2	-2	580847	0	11678234	7219905	91963384	304353457	626838780	374144624	1975272	0	12492913226	0	9069112608	224991014	4443447443	68940661	58949654	4796328772	1081626248	26358354606	8826444840	2860946156	2196960384	960187	0	582506775	88614031	98479435	14566297777	5568164948	1707091023	208983777	280104517	225395209	739426348	977707125	85432365	992838828	813751021	461140114	327911911	4398207712	240064206	297283154	33091327	318001683	340479642	210235728	110251348	1549407088	64450827	157314004	31858118	15487425	562414794	104727577	133461415	1069714160	20193915	81221205	2039799	13756669	703885857	164929727	20168471	1006195643	6480874	9370615	1543065	8164218	15037873	5835592	3661273	50093510	2128408	27982505	101235078	2960005	50730397	18068766	10478543	213583702	1066263704	1541507993	253656687	1343044610	2471261711	959101912	602271688	8237108305	300503084	154738648	99308082	483029729	9818619	29104643	1066684186	0	0	0	0	0	0	0	1066684186	0	0	0	0	0	0	0	0	0	0	23870090268	1621176289	117525931	328264522	2066966742	775923285	776810165	1552733450	252878861	1571121	0	317579484	0	0	0	317579484	595887734	26657612636	889987545	129456214	0	0	1964870349	21905219919	2541022	2541022	-2	8621	2643347	902297334	1451977368	18463464	35376138	191871059	301550961	11563815	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
