SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11A	E11B	E11C	E11D	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR11	ARRASTE1	ARRATE5	ARRAE81Z	ARRATE10	ARRASTE6	ARRATLEIZ	ARRASTE4	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11A	IE11B	IE11C	IE11D	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR11	IARRASTE1	IARRATE5	IARRAE81Z	IARRATE10	IARRASTE6	IARRATLEIZ	IARRASTE4
2012	01	AL	Alabama	-2	-2	1088895735	571848146	4553075	928296	0	3089	17931463	125356082	183751353	316473483	1032709	0	2309842046	16848230	3934576920	19205292	796663229	253316	22163658	838285495	639438962	7099552691	2442365193	872820748	120379070	1927290	314156	246709719	5986366	13916808	3698118828	1739451926	241703155	105189060	47016572	37917312	216303025	176464053	69520462	274038981	154219831	149944719	61103010	1101594081	75313374	59002598	20427542	94609081	73532845	91978643	21252419	436116502	37986505	37327509	21446864	13481592	116722999	32747125	38741799	298454393	35553714	12857238	3705481	9876437	237124514	54784567	14319079	368221030	725977	568619	279605	145467	4544569	31257155	1984297	39505689	3225074	2976691	30390021	1954446	79285	43010	2260767	40929294	368381692	288628089	145490370	393960537	581679474	329498064	137677074	2245315300	142116926	84752010	10012488	205971554	8803284	230240	443083218	0	0	0	0	0	0	0	443083218	0	0	0	0	0	0	0	0	0	0	6386517346	485836766	39906759	2105041	527848566	142078527	216544253	358622780	3545339	0	2375010	51980124	0	60629221	29485	114984355	96336624	7087220430	204604652	20948667	0	0	540246538	5846270808	715402	-2	715402	8172	744621	6453396	8416624	323602	0	711077	2252661	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2012	02	AK	Alaska	-2	-2	297729833	164116796	120483	102134	0	0	4773343	10632714	10315387	36022299	0	0	523710855	0	1618974989	38113954	185778882	2765740	127334691	353993267	0	2496679111	673081514	460008559	56674545	443831	102134	65144816	5026825	9691711	1265044976	-1	-1	-1	-1	-1	99045699	52059811	14017323	78528027	76492412	6760931	39225649	366129852	68739360	33858485	9438509	53658821	53737942	4755656	25886969	250075742	19836701	52447042	7500635	4017559	58429276	55396371	17960042	215587626	3810904	11017051	734180	2248942	95098680	2669436	3059021	118638214	241000	882667	52303	168283	2439949	1103342	1779372	6666916	823710	1227079	1688518	345158	314138	12012	801471	5212086	192256374	150609468	33379165	138798507	284072448	69594406	86933152	955643520	19460445	11734822	3474442	27722787	398571	180904	62573400	1099245	622538	2442761	4776589	53022	2100	8943233	71516633	0	0	0	0	0	0	0	0	0	0	2292205129	95245744	32992864	4901938	133140546	38047747	63352989	101400736	11132424	55284	0	224700	0	0	0	224700	50095420	2448903417	48913699	0	0	0	69982283	2222222846	119799	119799	-2	18550	131167	5112038	14265477	0	599349	237171	651236	0	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2012	04	AZ	Arizona	3007906363	-2	-2	54496285	4791135	19811239	94242	84675	16392471	109438156	120114164	534516303	578376	7618558	3855946053	269723157	3804900081	6849399	1156416315	19999012	191364566	1374629292	485216714	9305198583	3027600745	861743382	269410255	1817135	14946549	173792074	116650206	25038535	4359402126	1944553572	325415830	63203856	136737874	55014234	363744788	262732952	59884597	299968048	280797048	165838133	161006182	1593971748	104468014	68791291	18616965	80169378	96585951	60448620	50633135	479713354	87582293	58892752	46814953	25655545	349645955	59447072	85823984	713862554	11460582	17238994	2885558	6500044	270127350	67426133	9185867	384824528	2252375	22561869	3032494	2185954	35487284	42255791	19418428	127194195	7147896	1540245	5830443	3752807	4734653	1075546	12291919	36373509	574403573	409196234	134032516	416045822	1001890957	354235504	318941087	3208745693	108573854	34974541	71977031	185696166	14842841	3653120	404874712	590568	154901	126558	634980	103785	15158	1522165	406396877	0	0	0	0	0	0	0	0	0	0	7974544696	565293481	66748571	29915491	661957543	226520687	510783293	737303980	44708881	1319054	0	9434364	1804627	0	181513	11238991	356955656	8952741705	346516126	0	0	2624624	591775381	7382769315	969825	969825	-2	7612	1080319	71624717	86120241	163541	9853619	3901350	12093282	0	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	R	T	R	R	R	R	T	T	R	R	R	T	R	R	R	R	R	R	R	R
2012	05	AR	Arkansas	1608527266	1317901	-2	5285351	9200207	2192918	103343	140695	11431515	57048701	82299009	82837795	34367	185923	1858271378	3606135	2723739613	35795507	638867313	0	24274780	698937600	214243747	5284554726	1791543470	490982927	95351294	10587887	6369959	198823831	25013555	19700237	2606989646	1163908377	185661705	84050635	153228472	28786675	156626782	205068894	62830839	176169225	139465527	85339161	63433541	888933969	41844359	52850789	18401176	47541434	41924626	24539889	18594178	245696451	30770514	77756832	17948439	3746512	136403592	24104502	31472103	322202494	6646077	46604842	4177265	4032103	129865378	44276407	16731357	252333429	549892	16553586	721051	425523	8949952	23022114	6916764	57138882	451544	3517916	10515159	662899	2991481	1555104	3572390	23266493	236339276	385799273	113872878	232152173	450650604	179815063	133803569	1732432836	87585013	27242937	11000778	135738867	2873640	473253	262040848	891638	216731	210238	4129129	11165	83553	5531289	267572137	0	0	0	0	0	0	0	0	0	0	4606994619	409327560	122930800	7259429	539517789	130787260	137136750	267924010	16196421	224201	0	14273874	0	0	298490	14273874	215750162	5262542636	196211201	0	0	0	345082751	4261911868	443125	443125	-2	9618	483114	41782690	78126837	90020	11655235	22742686	11911255	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2012	06	CA	California	16065151547	820626274	168400	-2	657381	263521084	17007776	40273518	285072869	409821590	0	2869577568	0	0	20468083405	0	37079384443	449476187	7562066951	15322925	233994851	8260860914	7305784617	65808328762	22845108454	8250199334	1724400250	755681445	381087770	1254825167	26524352	4418143	34834632793	16460505498	2778961651	115332767	734250990	234909740	1987842828	1968460634	272193857	2605426991	2166749256	524979676	1329455320	10855108562	702549515	697927120	116281063	965700159	1002168407	246833866	596564516	4328024646	340024325	628308790	149297772	184624815	1057787731	474986871	485045896	3320076200	38802368	154778084	8363425	73732440	1549032298	159751697	104866514	2089326826	2165302	7744554	170186	3882547	42052529	99790359	41717455	197522932	235979	2355536	11331883	1846422	164999	104085	6596844	22635748	3069455015	3451830164	557468000	3831330827	5775902691	1406656195	2522529090	20615171982	742729482	351742512	103424469	1179407077	24569183	248165	2377551705	77401871	36079872	22774094	11351541	1717247	224844	147832222	2525383927	0	0	0	0	0	0	0	0	0	0	57975188702	5989751615	259434987	192649360	6441835962	2415815299	2618419788	5034235087	362803169	302151	0	486202099	0	0	814257	486202099	703534469	65517480054	1674423509	469986671	0	0	2571896927	55403291775	6034192	6034192	-2	9182	6214204	197531281	318175210	325311	5196014	9208809	164780646	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	T	R	R	R	R	A	R	R	R	R	R	R	R
2012	08	CO	Colorado	3394917857	43765363	-2	-2	72768641	6309174	8881519	106282	13312817	89493078	160248261	403812433	4995944	3332947	4195528860	14531271	3765939609	102562903	608451944	0	11795531	722810378	212603253	8698810118	2987371902	762687945	114591784	43413380	8521441	253575056	48093095	64983193	4226623260	2120302974	333745499	78112654	171438612	45415687	252381056	252131696	52795934	366727478	257090717	129063644	185724705	1495915230	63538923	61331676	12703563	90045389	72584395	39982681	53180495	393367122	32372438	60099089	50982580	22892336	187509714	20677125	227236466	601769748	7898575	27691276	3046859	15201178	183631833	30629125	34809779	302908625	1931566	6252347	2032281	2742961	13885877	9231537	43685520	79762089	4312391	4144719	4948155	3159496	1289605	196195	4174579	22225140	360503383	405398456	124477091	498025877	702106264	220548770	505126024	2816185865	87636905	26028514	20175689	126795505	6036922	1653993	262290606	22769805	5887053	3126357	3368356	2332065	1334148	36485719	298776325	0	0	0	0	0	0	0	0	0	0	7341585450	467079366	53587275	48768293	569434934	434086874	639318156	1073405030	48547500	229307	0	17957058	0	0	347376	17957058	239156422	8114325796	222592151	2677308	0	0	564989849	6776595601	779747	779747	-2	8691	854265	7227516	22627672	630691	2073270	0	4226060	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2012	09	CT	Connecticut	-2	-2	5607191081	-2	3985444	216186841	23708	11745799	153358	104714688	0	44173548	0	626768	5760868595	0	3978525391	45025040	481842867	0	8339831	535207738	725079606	10274601724	3597321000	1602150113	200190424	400077391	72992242	104888305	42378511	5338043	5909965276	2293553161	397723496	43862253	136982029	-1	373836562	151652141	91720126	352846909	295287705	25310387	103167559	1393821389	171333177	66180356	45398228	156878961	141579940	13002077	52985482	647358221	40709697	38143154	43382488	20097999	231461210	413564238	48711688	836070474	5879010	21054138	3715883	9149916	169523883	18680668	6634893	234638391	2395252	11741234	1928500	2394276	27286278	2340037	8429826	56515403	1049889	1440369	4494990	1992565	3979823	2139815	5743595	20841046	592808335	278470158	188711715	540966350	841832561	472697185	217243217	3132729521	68942048	37449454	20634453	95304920	3827573	3656981	225987856	47038820	11894884	10681465	4588016	1730017	2113110	76316295	302304151	0	0	0	0	0	0	23839096	0	0	0	9344998948	489443954	58072947	27708540	575225441	134638188	304561353	439199541	50329156	669188	30646382	40979383	0	0	0	71625765	190902179	10147300002	84545739	28107471	0	354894	222358712	9122640236	534846	-2	534846	17057	554437	13282943	13282943	264026	1594580	0	2104686	1349784	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	A	A	A	R	R	A	A	A	T	R	R	R	R	A	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	A	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	A	T	T	A	A	A	R	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2012	10	DE	Delaware	464458156	-2	-2	-2	0	67524630	0	0	3035908	15442814	623763	55755524	0	0	539316165	0	1096242878	9676716	224044801	0	2183745	235905262	160267391	1871464305	675131067	334280658	14835106	5632529	54670467	56812138	3656304	29798170	1116489668	450439162	124422150	11620805	21463544	7238270	32470132	20423579	13766703	66642053	53957088	15865605	41697795	244822955	15904261	10216860	4801762	24654666	26755700	8511728	15256530	106101507	24450355	425629	5731849	0	91122771	57934807	24805906	204471317	632627	443293	1002157	42352	11017342	5340470	64368	18542609	7801442	0	43034	0	1589722	4140091	0	13574289	660783	158493	74766	384976	53536	2261	641533	1976348	74118158	31667854	25377237	91724047	182906437	87654871	82466132	575914736	24139190	4160142	3349382	27017671	1059470	71929	58738314	0	0	0	0	0	0	0	58738314	0	0	0	0	0	0	1847234	0	0	0	1751142718	136494285	3260414	2819074	142573773	23380052	40581414	63961466	1847691	0	870994	20546165	0	18063560	0	39480719	24369551	1953334964	18831485	25248389	0	0	60146451	1690996267	122864	-2	122864	13763	128946	37913656	57069972	76717	1694653	0	5134558	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2012	11	DC	District of Columbia	-2	-2	583314771	1200551660	773735	0	167445	0	2639943	1712513	6801191	67514019	3615	1836235	1865315127	0	-2	32642471	175606172	0	0	208248643	2650369	2073563770	565155854	71657528	39238323	119624000	0	17088059	8952310	22533528	835297292	389937947	83441176	1237200	71384388	5586062	33457829	21630158	29306122	89083036	45212061	61135759	15366946	295191911	5587719	3329187	4401298	13483378	9768779	15752604	2906229	55229194	9145022	17276883	21385751	11882807	54248562	11829813	10149022	135917860	1338355	1095114	2329948	3303625	7658145	723436	1961931	18410554	315077	372918	3118410	686924	4963400	1583000	115223	11154952	2647034	11959968	20186586	10979547	11762977	6291773	1997113	65824998	52175959	55291310	77609705	128732393	128650524	95733385	32381241	570574517	3519504	670552	49837830	1618795	69028	2197262	57843943	104801	8627	76812	940602	19995	2041016	3171858	61015801	0	0	0	0	0	0	0	0	0	0	1466887610	303947319	9286005	16897917	330131241	33390359	287691234	321081593	702675	0	0	28161729	0	377371	619152	28539100	46999359	1847076063	42218124	6055462	0	0	59568320	1407319290	71910	71910	-2	19571	73911	4524555	7127174	20030	491084	0	0	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2012	12	FL	Florida	10191657991	490153484	-2	-2	968064	0	12758182	7387389	74064824	287863824	696516704	408154482	1582645	0	12163720200	0	8702310049	244388344	2760691513	63253853	54154689	3122488399	865930949	23988518648	8614099045	2328432107	2295046574	511021	0	524711021	68880392	100560561	13863360329	5342377225	1658477342	204184795	340139058	199909656	715607863	944278832	81219394	975901182	796300442	452458084	319653211	4285419008	193484527	234764910	24404904	256662684	288481171	179888398	88784103	1266470697	60776836	157860307	31641424	13977410	563373239	105142592	137031409	1069803217	16002835	84750625	1977643	12952383	694237364	186249306	18161260	1014331416	4906042	7179573	1000789	6265809	11759271	4688479	2839195	38639158	2250407	23309816	61421528	2678951	23888903	19903940	8734666	142188211	988122468	1444964490	200664893	1262172610	2366281119	943642320	572364649	7778212549	305175489	137003070	106358933	515378662	21581847	27263444	1091179598	0	0	0	0	0	0	0	1091179598	0	0	0	0	0	0	0	0	0	0	22732752476	1315020782	69567261	322310480	1706898523	725949953	796473821	1522423774	247409364	1261864	0	284037056	0	0	0	284037056	522241002	25101460680	578081961	291337032	0	0	1869108412	20863644064	2575910	2575910	-2	8100	2668156	100009412	196353415	1411535	15179466	266704745	90222208	48826	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	T	T	R	R	R	T	R	R	R	R	R	R	R	R
