SURVYEAR	FIPS	STABR	STNAME	R1A	R1B	R1C	R1D	R1E	R1F	R1G	R1H	R1I	R1J	R1K	R1L	R1M	R1N	STR1	R2	R3	R4A	R4B	R4C	R4D	STR4	R5	TR	E11	E12	E13	E14	E15	E16	E17	E18	STE1	E11A	E11B	E11C	E11D	E2	E212	E213	E214	E215	E216	E217	E218	TE21	E222	E223	E224	E225	E226	E227	E228	TE22	E232	E233	E234	E235	E236	E237	E238	TE23	E242	E243	E244	E245	E246	E247	E248	TE24	E252	E253	E254	E255	E256	E257	E258	TE25	E262	E263	E264	E265	E266	E267	E268	TE26	STE22	STE23	STE24	STE25	STE26	STE27	STE28	STE2T	E3A11	E3A12	E3A13	E3A14	E3A2	E3A16	E3A1	E3B11	E3B12	E3B13	E3B14	E3B2	E3B16	E3B1	STE3	E4A1	E4A2	E4B1	E4B2	E4C1	E4C2	E4D	E4E1	E4E2	STE4	TE5	E61	E62	E63	STE6	E7A1	E7A2	STE7	E81	E82	E9A	E9B	E9C	E9D	E91	STE9	TE10	TE11	X12C	X12D	X12E	X12F	TX12	NCE13	ADA	A14A	A14B	PPE15	MEMBR12	ARRASTE1	ARRATE5	ARRAE81Z	ARRATE10	ARRASTE6	ARRATLEIZ	ARRASTE4	IR1A	IR1B	IR1C	IR1D	IR1E	IR1F	IR1G	IR1H	IR1I	IR1J	IR1K	IR1L	IR1M	IR1N	ISTR1	IR2	IR3	IR4A	IR4B	IR4C	IR4D	ISTR4	IR5	ITR	IE11	IE12	IE13	IE14	IE15	IE16	IE17	IE18	ISTE1	IE11A	IE11B	IE11C	IE11D	IE2	IE212	IE213	IE214	IE215	IE216	IE217	IE218	ITE21	IE222	IE223	IE224	IE225	IE226	IE227	IE228	ITE22	IE232	IE233	IE234	IE235	IE236	IE237	IE238	ITE23	IE242	IE243	IE244	IE245	IE246	IE247	IE248	ITE24	IE252	IE253	IE254	IE255	IE256	IE257	IE258	ITE25	IE262	IE263	IE264	IE265	IE266	IE267	IE268	ITE26	ISTE22	ISTE23	ISTE24	ISTE25	ISTE26	ISTE27	ISTE28	ISTE2T	IE3A11	IE3A12	IE3A13	IE3A14	IE3A2	IE3A16	IE3A1	IE3B11	IE3B12	IE3B13	IE3B14	IE3B2	IE3B16	IE3B1	ISTE3	IE4A1	IE4A2	IE4B1	IE4B2	IE4C1	IE4C2	IE4D	IE4E1	IE4E2	ISTE4	ITE5	IE61	IE62	IE63	ISTE6	IE7A1	IE7A2	ISTE7	IE81	IE82	IE9A	IE9B	IE9C	IE9D	IE91	ISTE9	ITE10	ITE11	IX12C	IX12D	IX12E	IX12F	ITX12	INCE13	IADA	IA14A	IA14B	IPPE15	IMEMBR12	IARRASTE1	IARRATE5	IARRAE81Z	IARRATE10	IARRASTE6	IARRATLEIZ	IARRASTE4
2013	01	AL	Alabama	-2	-2	1099432531	602886731	5347436	298128	0	260	15972669	117032239	197938144	346302287	1199195	0	2386111232	15090149	3936486034	17889551	808577885	369179	23686216	850522831	639246812	7188210246	2454717450	879398206	127498964	1523027	529914	274715373	8826982	14629602	3752482622	1741644434	241069448	108305503	47208671	48125648	216711717	178260962	71778056	278532794	153732429	153310227	63566408	1115892593	75486342	59376132	20870109	95931273	72962098	94177090	22167223	440970267	41050791	42114516	22933969	13891368	144212348	36017465	41642611	341863068	38108734	14693887	3773960	11336241	248356156	56736465	12342517	385347960	1494168	333449	263556	145589	9203933	43505306	2376217	57322218	3596151	3361871	28791085	1736101	113434	42526	2154083	39795251	374953735	297807368	148147179	401427777	619376465	340283773	141872842	2323869139	143040107	84943380	11429757	216302129	11964351	291317	456006690	0	0	0	0	0	0	0	456006690	0	0	0	0	0	0	0	0	0	0	6532358451	492954466	71141171	3335300	567430937	137270857	203100324	340371181	3709724	17824	2218716	56254898	0	61357816	139180	119831430	152747026	7301601097	209036584	21156009	0	0	551709607	5980648844	688614	-2	688614	8685	744637	9953824	22173617	607404	32431	45090	2318046	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2013	02	AK	Alaska	-2	-2	299135520	164785998	135617	40671	0	0	318486	9767935	9632749	32884520	0	0	516660825	0	1830051472	33247743	155739878	3269173	131788666	324045460	0	2670757757	682495826	520603054	57637257	284070	40671	59501910	5746397	9504350	1330026467	-1	-1	-1	-1	-1	99318588	50207716	14551562	79891087	75560966	6796663	38026876	364353458	77558029	35772290	10356535	60229848	57090382	5218626	27050021	273275731	18636688	64376772	7123538	3925765	54192447	58973818	18222150	225451178	3995877	14135955	628127	1829269	95162744	2108160	3857045	121717177	404033	670210	84283	98611	2731228	766416	1150821	5905602	454308	1189618	1453023	514278	535239	19172	508514	4674152	199963490	165682351	34112785	146390247	282541778	73116439	87664606	989471696	20284281	11937412	3742249	30831328	437612	99515	66894785	1165855	641495	2228081	4925510	952921	561	8961502	75856287	0	0	0	0	0	0	0	0	0	0	2395354450	153003661	77339005	5308438	235651104	37882138	74736133	112618271	11379864	52454	0	297978	0	0	0	297978	95742429	2655778382	46414521	0	0	0	65950822	2329403628	119873	119873	-2	19432	131489	2095478	3278915	0	0	0	0	0	R	R	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	A	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2013	04	AZ	Arizona	3013963966	-2	-2	56848185	5498960	18846709	1663899	28489	13314038	99235998	121278491	551398328	569508	0	3863771373	277699510	3965426424	10698500	1061218147	20093287	186825456	1278835390	563914920	9385732697	3070786593	898037856	272990370	1665948	14315632	178046483	129415932	24196966	4445724216	1997541062	336587889	58949293	131895565	59344624	372785455	271353926	63181234	308301228	282875277	169421487	166000994	1633919601	108078769	73148363	19057333	84185574	96775935	59923859	53648515	494818348	89601610	58070180	48358578	28556198	353493919	62633068	94689500	735403053	11202829	16615339	2786420	7466330	272733263	68660061	9697043	389161285	2440503	23464735	2896358	2509517	38664264	48453009	24211549	142639935	7223867	1866213	6019765	6031167	6149457	1263285	14872390	43426144	588892530	421054021	139403330	434540497	1012027851	361901760	338908442	3296728431	110821654	36023945	71248273	201897450	14941189	287089	420278411	479192	127086	417827	691296	30702	82576	1797977	422076388	0	0	0	0	0	0	0	0	0	0	8164529035	458600736	136003429	30290634	624894799	233857360	525389621	759246981	43218866	991106	0	2675324	1006701	0	141805	3682025	454454732	9124485394	316444534	0	0	2108817	546800207	7617728828	973369	973369	-2	7826	1089384	3675525	6560375	0	0	1947087	522645	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	I	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2013	05	AR	Arkansas	1568431329	1367466	-2	4992660	9854316	2690629	125677	142766	8166396	53534006	85227770	80127022	22007	173977	1812022626	3398842	2624126332	35385179	545336037	0	31534806	612256022	140995078	5051803822	1803661213	492677313	94156497	12486408	6409615	183500946	20250943	19888200	2606370577	1170200090	187248032	83832798	155837070	19624565	158556705	208814128	63492043	180087073	139812535	87093866	64765073	902621423	42244473	54094121	18125785	48566036	42097908	25289075	18683633	249101031	30718389	73975042	16467051	3417604	135633247	25414228	32726601	318352162	6089353	51529638	3661234	3957186	132318291	45225450	17747799	260528951	460734	12757349	1074572	382239	6929988	22526295	7129266	51260443	419606	3130555	11039068	639128	2029404	271133	3052905	20581799	238028526	391543484	112785181	236667027	451891385	183293752	136976011	1751185366	88189641	27551785	11663416	146218969	2231974	427343	274051154	941420	226144	205352	4134025	3258	54770	5561711	279612865	0	0	0	0	0	0	0	0	0	0	4637168808	361068095	97848946	6438370	465355411	126572141	104903449	231475590	16169126	81285	0	13091584	0	0	177776	13091584	178292995	5205790608	160593700	0	0	0	309531453	4327637355	470644	470644	-2	9195	486157	5186405	16449981	0	2189147	10391771	0	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	R	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2013	06	CA	California	18324047150	886987019	168400	-2	741017	239427179	16099970	37143753	216337086	386003546	0	2929105090	0	0	22759489278	0	35878653564	449480938	6647193923	16002910	275624462	7388302233	8933561594	66026445075	22901586775	8228479393	1743564447	756495270	375371227	1180925500	26624800	4487128	34815538513	16442309596	2820919710	137514866	718317494	201282546	2015622841	1966459842	275387240	2618813561	2163757349	518883089	1336202985	10895126907	718348547	697898501	116407958	981988631	1012009033	245944622	603796412	4376393704	369619912	603312251	196512933	188166616	1134636720	450536446	505955784	3448740662	37474956	140747307	9803129	72812212	1602987201	158522450	102978256	2125325511	2021863	7288105	239524	2559645	50891651	31092679	45657695	139751162	283216	2420594	11742265	1846913	221688	97868	7348698	23961242	3141349472	3410838495	609853525	3863627933	5913611991	1373984475	2556282135	20869548026	759610217	360077994	102005978	1267893652	26351539	308492	2489896333	79151241	35451307	22067371	11527169	1359696	278507	148475595	2638371928	0	0	0	0	0	0	0	0	0	0	58323458467	5504749959	218754324	190238867	5913743150	2452642012	2854132025	5306774037	337115210	410509	0	405707567	0	0	614280	405707567	604105177	65175136380	1682759050	273568680	0	0	2359172263	55964286204	6021550	6021550	-2	9294	6299451	72008923	125919969	153714	278299	353	118081779	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	A	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	A	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2013	08	CO	Colorado	3599102160	28667275	-2	-2	75670440	6251270	9506716	95205	26092926	87629862	159676959	424361083	5162383	2373139	4418242943	18805323	3765334844	110694194	577737914	0	14340297	702772405	1690154165	8905155515	3034027461	819269543	113518327	46818867	7711490	272730042	53968846	64382993	4350747233	2142996107	335796144	96692302	186696795	48827714	258214719	255007244	51870338	386739987	256798666	130796514	191230119	1530657587	68428609	63005416	12864205	94889677	73774996	40765782	47167101	400895786	31434834	59982150	48149595	24413208	174497607	23224472	228235593	589937459	7876845	24138584	3328851	16243679	188201201	32379551	34033371	306202082	2751622	5957565	1827365	3771961	15957163	14035275	32696082	76997033	1142657	3351301	5340148	1459050	262531	149074	3188473	14893234	367097664	405484695	121553137	523745601	693535001	227315393	503854657	2842586148	89725593	27017690	23350980	134074747	5751263	1492337	275661347	23691782	6266868	3151906	3542520	1162921	1330065	37983141	313644488	0	0	0	0	0	0	0	0	0	0	7506977869	435893814	150112688	38447008	624453510	445844249	868071194	1313915443	49487152	791579	0	16798005	0	0	445200	16798005	327676538	8336833378	194283935	1146539	0	0	535449973	6971527896	784242	784242	-2	8890	863561	1301385	8150304	642204	812089	0	1295144	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2013	09	CT	Connecticut	-2	-2	5757213402	-2	4322463	220939601	24586	11747738	137644	104259432	0	57981028	0	567883	5924506438	0	4163960177	40527390	411454523	0	9524582	461506495	821545964	10549973110	3671907651	1633961459	204247803	416259095	68915149	109300949	47215337	5465295	6041142252	2326121954	404356921	47357016	140373783	-1	380939009	156675513	97407056	362483347	294850006	25944294	106171612	1424470837	173134605	67361376	48274203	160787786	140056504	13493635	54120428	657228537	41427057	37176789	45290936	20994313	240957674	428455868	49534914	863837551	5549725	21837629	4158154	8861607	165651463	19841562	6234734	232134874	1468072	14678393	3087140	2428962	29244323	2361357	8175427	61443674	809958	1367833	4360930	2387783	2862918	289681	4831036	16910139	601860354	284419140	199491279	555514836	844378565	488025040	220892724	3194581938	65828055	37072285	23180767	98588169	3760013	2447061	227116337	48841168	12500966	11870095	5024736	2793984	1932761	80169726	307286063	0	0	0	0	0	0	23925683	0	0	0	9543010253	478471913	63539821	26856503	568868237	129308323	309271720	438580043	48691853	873722	30450190	41277042	0	0	0	71727232	206483054	10348384305	79633716	31358262	0	0	220166342	9322843911	534350	-2	534350	17447	550954	5738569	5738569	0	710423	0	5738569	425530	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	I	R	A	A	A	R	R	A	A	A	T	R	R	R	R	A	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	A	R	R	A	R	T	R	R	R	R	R	R	R	T	R	R	R	R	A	R	R	A	A	T	T	A	A	A	T	R	R	R	I	I	R	R	R	R	R	R	T	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
2013	10	DE	Delaware	506397054	-2	-2	-2	0	83681244	0	0	2182073	14180813	903363	69850934	0	0	593514237	0	1123567340	7432338	184236289	0	753074	192421701	189320267	1909503278	661953983	342145715	13070855	5856501	55072560	42207504	4644964	28550346	1093784904	439725766	121863259	14200207	18586137	5093988	32405826	21147915	13126785	68411648	53587710	16085187	53100228	257865299	16563103	10888171	4139182	25636168	27576344	8644871	21360793	114808632	26351773	513278	5126664	40206	94931000	63621554	22951986	213536461	598888	455314	1634008	71751	10406210	5290620	50754	18507545	3396269	0	1176	0	2041274	4029107	34600	9502426	562135	124019	4760	387430	1833936	0	513393	3425673	76481725	33128697	24031399	94547203	188335200	93642232	97977154	608143610	23513404	4426905	3491976	28015993	909061	182046	59630324	0	0	0	0	0	0	0	59630324	0	0	0	0	0	0	1848139	0	0	0	1761558838	140870063	2996398	3086610	146953071	23475066	42586385	66061451	2457847	0	666726	21863905	0	19394770	0	41925401	21139459	1967951608	24834872	18533476	0	0	58452524	1703106314	124676	-2	124676	13660	129026	5073444	8347585	150	168345	0	182086	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2013	11	DC	District of Columbia	-2	-2	611078994	1220730457	615884	0	211360	0	1356639	1727664	5890757	50271921	651	2462865	1894347192	0	-2	38735277	158607089	0	2755087	200097453	6344574	2094444645	562913811	80105648	69213665	84086000	0	20038148	19485004	38636762	854994034	400330732	71514649	1288034	52830549	6106068	38469478	30137241	33770608	85935786	43838806	59196712	17773262	309121893	6584343	4078821	5596921	13812582	10249105	15864942	3455988	59642702	9796283	25165806	21887230	11293322	57645600	11610437	8641069	146039747	637712	4924117	1937337	2944093	8521586	601640	2003320	21569805	104394	1797315	737761	1662079	5856795	1021000	181585	11360929	4669377	15358119	24545534	7716095	13314676	13083846	1907119	80594766	60157193	79664104	87737630	121701878	133569773	100357577	33780758	616968913	3595867	615617	46297643	1586695	40000	35303725	87399547	146688	15691	278753	884979	15911	2459044	3785155	91184702	0	0	0	0	0	0	0	0	0	0	1563147649	377871112	296361	20761874	398929347	37702678	400218824	437921502	796857	0	0	26323959	0	112980	850229	26436939	52810308	2021062865	37823766	4532257	0	0	53265204	1509882445	76486	-2	76486	19741	76140	2825866	3783657	0	4760	0	1884290	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	A	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
2013	12	FL	Florida	9907489410	502915332	-2	-2	1288710	0	11476100	7441762	39653454	267444441	738606654	493510980	1640741	0	11964025822	0	9455550776	226833418	2726672763	73504648	60249812	3087260641	270096818	24506837239	8687300405	2395362956	2483440912	608741	0	551247405	70915616	111554343	14229514762	5358151991	1645501707	191849845	339034475	218931790	720758170	951558909	79399390	992656197	803211434	453616451	324575096	4325775647	199533522	244487236	22379931	265735622	293660972	181948238	92821196	1300566717	62790665	148223858	34508852	14498409	585320064	103129053	137904995	1086375896	15685192	73085472	2048347	13454868	678303290	187626078	19009450	989212697	4985906	7178370	1023892	6421580	11830399	4707675	2904736	39052558	2297582	23418661	67980081	3124536	14477282	18792818	8562273	138653233	1001065131	1440774136	206316601	1289469632	2374973042	945112638	582873010	7840584190	308845429	139601064	117216388	547449631	22267120	31422153	1144534665	0	0	0	0	0	0	0	1144534665	0	0	0	0	0	0	0	0	0	0	23214633617	957191444	75382468	245323268	1277897180	689919088	776766583	1466685671	254591283	1324381	0	290289530	0	0	0	290289530	454265411	25170971285	572153637	262185047	0	0	1854795330	21359838287	2600989	2600989	-2	8212	2692162	62938446	143527577	1868979	6376458	219559995	49575929	0	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	A	A	R	R	A	R	A	T	R	R	R	R	R	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	A	A	A	A	A	A	A	T	R	R	R	R	R	R	R	R	A	A	A	A	A	A	A	T	T	T	T	T	T	T	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	A	R	T	T	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	T	R	R	R	R	R	T	R	R	R	R	R	R	R	R	R	R	R	R
