"url","School year","Excel Link","Excel Link_link","New column","New column_link"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2013); (v.1a—Provisional)","ZIP (34 KB)","https://nces.ed.gov/ccd/data/zip/stfis13_1a.zip","Flat File (21 KB)","https://nces.ed.gov/ccd/data/txt/stfis13_1a_lay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2013); (v.1a—Provisional)","ZIP (72 KB)","https://nces.ed.gov/ccd/data/zip/Stfis13_1a_xls.zip","Flat File (21 KB)","https://nces.ed.gov/ccd/data/txt/stfis13_1a_lay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2012); (v.1a—Provisional)","ZIP (34 KB)","https://nces.ed.gov/ccd/data/zip/Stfis_1a_txt.zip","Flat File (21 KB)","https://nces.ed.gov/ccd/data/txt/stfis121alay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2012); (v.1a—Provisional)","ZIP (69 KB)","https://nces.ed.gov/ccd/data/zip/Stfis_1a_xls.zip","Flat File (21 KB)","https://nces.ed.gov/ccd/data/txt/stfis121alay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2011); (v.1a—Preliminary)","ZIP (35 KB)","https://nces.ed.gov/ccd/data/zip/stfis111a_txt.zip","Flat File (21 KB)","https://nces.ed.gov/ccd/data/txt/stfis111alay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2011); (v.1a—Preliminary)","ZIP (73 KB)","https://nces.ed.gov/ccd/data/zip/stfis111a_xls.zip","Flat File (21 KB)","https://nces.ed.gov/ccd/data/txt/stfis111alay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2010); (v.1a—Provisional)","ZIP (33 KB)","https://nces.ed.gov/ccd/data/zip/stfis101a_txt.zip","Flat File (21 KB)","https://nces.ed.gov/ccd/data/txt/stfis101alay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2010); (v.1a—Provisional)","ZIP (100 KB)","https://nces.ed.gov/ccd/data/zip/stfis101a_xls.zip","Flat File (21 KB)","https://nces.ed.gov/ccd/data/txt/stfis101alay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2009); (v.1b—Revised)","ZIP (35 KB)","https://nces.ed.gov/ccd/data/zip/stfis091b_txt.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis091blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2009); (v.1b—Revised)","ZIP (97 KB)","https://nces.ed.gov/ccd/data/zip/stfis091b_xls.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis091blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2008); (v.1b—Revised)","ZIP (34 KB)","https://nces.ed.gov/ccd/data/zip/stfis081b_txt.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis081blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2008); (v.1b—Revised)","ZIP (75 KB)","https://nces.ed.gov/ccd/data/zip/stfis081b_xls.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis081blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2007); (v.1b—Revised)","ZIP (34 KB)","https://nces.ed.gov/ccd/data/zip/stfis071b_txt.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis071blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2007); (v.1b—Revised)","ZIP (70 KB)","https://nces.ed.gov/ccd/data/zip/stfis071b_xls.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis071blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2006); (v.1b—Revised)","ZIP (34 KB)","https://nces.ed.gov/ccd/data/zip/Stfis061b_txt.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis061blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2006); (v.1b—Revised)","ZIP (67 KB)","https://nces.ed.gov/ccd/data/zip/stfis061b_xls.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis061blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2005); (v.1b—Revised)","ZIP (33 KB)","https://nces.ed.gov/ccd/data/zip/Stfis051b_txt.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis051blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2005); (v.1b—Revised)","ZIP (65 KB)","https://nces.ed.gov/ccd/data/zip/stfis051b_xls.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis051blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2004); (v.1b—Revised)","ZIP (33 KB)","https://nces.ed.gov/ccd/data/zip/stfis041b_txt.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis041blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2004); (v.1b—Revised)","ZIP (65 KB)","https://nces.ed.gov/ccd/data/zip/stfis041b_xls.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis041blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2003); (v.1b—Revised)","ZIP (32 KB)","https://nces.ed.gov/ccd/data/zip/Stfis031b_txt.zip","Flat File (23 KB)","https://nces.ed.gov/ccd/data/txt/stfis031blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2003); (v.1b—Revised)","ZIP (64 KB)","https://nces.ed.gov/ccd/data/zip/stfis031b_xls.zip","Flat File (23 KB)","https://nces.ed.gov/ccd/data/txt/stfis031blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2002); (v.1d—Revised)","ZIP (33 KB)","https://nces.ed.gov/ccd/data/zip/stfis021d_txt.zip","Flat File (31 KB)","https://nces.ed.gov/ccd/data/txt/stfis021dlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2002); (v.1d—Revised)","ZIP (93 KB)","https://nces.ed.gov/ccd/data/zip/stfis021d_xls.zip","Flat File (31 KB)","https://nces.ed.gov/ccd/data/txt/stfis021dlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2001); (v.1b—Revised)","ZIP (32 KB)","https://nces.ed.gov/ccd/data/zip/stfis011bdata.zip","Flat File (15 KB)","https://nces.ed.gov/ccd/data/txt/stfis011blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2001); (v.1b—Revised)","ZIP (63 KB)","https://nces.ed.gov/ccd/data/zip/stfis011bxls.zip","Flat File (15 KB)","https://nces.ed.gov/ccd/data/txt/stfis011blay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2000); (v.1b—Revised)","ZIP (32 KB)","https://nces.ed.gov/ccd/data/zip/stfis001bdata.zip","Flat File (15 KB)","https://nces.ed.gov/ccd/data/txt/stfis00layr.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 2000); (v.1b—Revised)","ZIP (62 KB)","https://nces.ed.gov/ccd/data/zip/stfis001bxls.zip","Flat File (15 KB)","https://nces.ed.gov/ccd/data/txt/stfis00layr.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1999); (v.1b—Revised)","ZIP (36 KB)","https://nces.ed.gov/ccd/data/zip/stfis991bdata.zip","Flat File (18 KB)","https://nces.ed.gov/ccd/data/txt/stfis99rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1999); (v.1b—Revised)","ZIP (62 KB)","https://nces.ed.gov/ccd/data/zip/stfis991bxls.zip","Flat File (18 KB)","https://nces.ed.gov/ccd/data/txt/stfis99rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1998); (v.1b—Revised)","ZIP (32 KB)","https://nces.ed.gov/ccd/data/zip/stfis981bdata.zip","Flat File (18 KB)","https://nces.ed.gov/ccd/data/txt/stfis98rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1998); (v.1b—Revised)","ZIP (63 KB)","https://nces.ed.gov/ccd/data/zip/stfis981bxls.zip","Flat File (18 KB)","https://nces.ed.gov/ccd/data/txt/stfis98rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1997); (v.1b—Revised)","ZIP (37 KB)","https://nces.ed.gov/ccd/data/zip/stfis971bdata.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis97rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1997); (v.1b—Revised)","ZIP (64 KB)","https://nces.ed.gov/ccd/data/zip/stfis971bxls.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis97rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1996); (v.1b—Revised)","ZIP (37 KB)","https://nces.ed.gov/ccd/data/zip/stfis961bdata.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis96rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1996); (v.1b—Revised)","ZIP (64 KB)","https://nces.ed.gov/ccd/data/zip/stfis961bxls.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis96rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1995); (v.1b—Revised)","ZIP (37 KB)","https://nces.ed.gov/ccd/data/zip/stfis951bdata.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis95rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1995); (v.1b—Revised)","ZIP (64 KB)","https://nces.ed.gov/ccd/data/zip/stfis951bxls.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis95rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1994); (v.1b—Revised)","ZIP (37 KB)","https://nces.ed.gov/ccd/data/zip/stfis941bdata.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis94rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1994); (v.1b—Revised)","ZIP (66 KB)","https://nces.ed.gov/ccd/data/zip/stfis941bxls.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis94rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1993); (v.1b—Revised)","ZIP (37 KB)","https://nces.ed.gov/ccd/data/zip/stfis931bdata.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis93rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1993); (v.1b—Revised)","ZIP (71 KB)","https://nces.ed.gov/ccd/data/zip/stfis931bxls.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis93rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1992); (v.1b—Revised)","ZIP (37 KB)","https://nces.ed.gov/ccd/data/zip/stfis921bdata.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis92rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1992); (v.1b—Revised)","ZIP (65 KB)","https://nces.ed.gov/ccd/data/zip/stfis921bxls.zip","Flat File (19 KB)","https://nces.ed.gov/ccd/data/txt/stfis92rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1991); (v.1b—Revised)","ZIP (34 KB)","https://nces.ed.gov/ccd/data/zip/stfis911bdata.zip","Flat File (16 KB)","https://nces.ed.gov/ccd/data/txt/stfis91rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1991); (v.1b—Revised)","ZIP (59 KB)","https://nces.ed.gov/ccd/data/zip/stfis911bxls.zip","Flat File (16 KB)","https://nces.ed.gov/ccd/data/txt/stfis91rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1990); (v.1b—Revised)","ZIP (34 KB)","https://nces.ed.gov/ccd/data/zip/stfis901bdata.zip","Flat File (16 KB)","https://nces.ed.gov/ccd/data/txt/stfis90rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1990); (v.1b—Revised)","ZIP (64 KB)","https://nces.ed.gov/ccd/data/zip/stfis901bxls.zip","Flat File (16 KB)","https://nces.ed.gov/ccd/data/txt/stfis90rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1989); (v.1b—Revised)","ZIP (31 KB)","https://nces.ed.gov/ccd/data/zip/stfis891bdata.zip","Flat File (5 KB)","https://nces.ed.gov/ccd/data/txt/stfis89rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1989); (v.1b—Revised)","ZIP (39 KB)","https://nces.ed.gov/ccd/data/zip/stfis891bxls.zip","Flat File (5 KB)","https://nces.ed.gov/ccd/data/txt/stfis89rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1988); (v.1b—Revised)","ZIP (11 KB)","https://nces.ed.gov/ccd/data/zip/stfis881bdata.zip","Flat File (5 KB)","https://nces.ed.gov/ccd/data/txt/stfis88rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1988); (v.1b—Revised)","ZIP (18 KB)","https://nces.ed.gov/ccd/data/zip/stfis881bxls.zip","Flat File (5 KB)","https://nces.ed.gov/ccd/data/txt/stfis88rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1987); (v.1b—Revised)","ZIP (11 KB)","https://nces.ed.gov/ccd/data/zip/stfis871bdata.zip","Flat File (18 KB)","https://nces.ed.gov/ccd/data/txt/stfis87rlay.txt"
"https://nces.ed.gov/ccd/stfis.asp","(Fiscal Year 1987); (v.1b—Revised)","ZIP (18 KB)","https://nces.ed.gov/ccd/data/zip/stfis871bxls.zip","Flat File (18 KB)","https://nces.ed.gov/ccd/data/txt/stfis87rlay.txt"
