"url","School year","Excel link","Excel Link_link"
"https://nces.ed.gov/ccd/stnfis.asp","2013–14; (v.1a)","ZIP (32.7 KB)","https://nces.ed.gov/ccd/Data/zip/st131a_imp_txt.zip"
"https://nces.ed.gov/ccd/stnfis.asp","2013–14; (v.1a)","ZIP (113 KB)","https://nces.ed.gov/ccd/Data/zip/st131a_imp_xls.zip"
"https://nces.ed.gov/ccd/stnfis.asp","2012–13; (v.1a)","ZIP (34.0 KB)","https://nces.ed.gov/ccd/Data/zip/st121a_imp_txt.zip"
"https://nces.ed.gov/ccd/stnfis.asp","2012–13; (v.1a)","ZIP (117 KB)","https://nces.ed.gov/ccd/Data/zip/st121a_imp_xls.zip"
"https://nces.ed.gov/ccd/stnfis.asp","2011–12; (v.1a)","ZIP (35.0 KB)","https://nces.ed.gov/ccd/Data/zip/st111a_txt.zip"
"https://nces.ed.gov/ccd/stnfis.asp","2011–12; (v.1a)","ZIP (106 KB)","https://nces.ed.gov/ccd/Data/zip/st111a_xls.zip"
"https://nces.ed.gov/ccd/stnfis.asp","2010–11; (v.1a)","ZIP (34.7 KB)","https://nces.ed.gov/ccd/Data/zip/st101a_txt.zip"
"https://nces.ed.gov/ccd/stnfis.asp","2010–11; (v.1a)","ZIP (58 KB)","https://nces.ed.gov/ccd/Data/zip/st101a_xls.zip"
"https://nces.ed.gov/ccd/stnfis.asp","2009–10; (v.1b)","ZIP (31.3 KB)","https://nces.ed.gov/ccd/data/zip/st091b_txt.zip"
"https://nces.ed.gov/ccd/stnfis.asp","2009–10; (v.1b)","ZIP (108 KB)","https://nces.ed.gov/ccd/data/zip/st091b_xls.zip"
"https://nces.ed.gov/ccd/stnfis.asp","2008–09; (v.1c)","ZIP (20 KB)","https://nces.ed.gov/ccd/data/zip/st081c_txt.zip"
"https://nces.ed.gov/ccd/stnfis.asp","2008–09; (v.1c)","ZIP (49 KB)","https://nces.ed.gov/ccd/data/zip/st081c_xls.zip"
