"","OFFENSE","total","amer.ind.avg","asian.avg","black.avg","hispanic.avg","white.avg"
"1","FELONY MURDER                         AF",23,NA,NA,1486492,870268,1127575
"2","MURDER                                AF",88,NA,NA,1469177,1209565,1099662
"3","SALE OF HEROIN, COC BY NON-DEPENDENT",28,NA,NA,69964,268504,475000
"4","CRIMINAL ATTEMPT",65,NA,NA,266181,282777,333766
"5","ASSAULT, FIRST DEGREE                 BF",119,NA,450100,376099,438608,279526
"6","HOME INVASION                         AF",62,NA,NA,522516,348772,271079
"7","SEXUAL ASSAULT, FIRST DEGREE           F",98,NA,5e+05,301857,339586,223253
"8","ROBBERY, FIRST DEGREE                 BF",118,125300,NA,293745,255404,180254
"9","SALE OF NARC/AMPHET BY NON-DEPENDENT   F",97,NA,NA,198913,158019,177553
"10","CRIMINAL POSSESSION OF A PISTOL       DF",65,NA,NA,252445,561327,176233
"11","YOUTHFUL OFFENDER",30,NA,NA,172927,213767,172500
"12","SALE OF HALLUCIGEN/NARCOTIC SUBSTANCE  F",41,NA,25000,401966,200073,168411
"13","BURGLARY, FIRST DEGREE                BF",30,NA,250000,176500,143425,153146
"14","SEXUAL ASSAULT, SECOND DEGREE          F",24,NA,190000,387500,268521,143622
"15","CRIMINAL POSS OF PISTOL/REVOLVER      DF",40,NA,NA,322122,365562,142500
"16","ROBBERY, SECOND DEGREE                CF",35,NA,75000,214595,92262,140531
"17","CONSPIRACY",29,250000,NA,430800,293033,132920
"18","INJURY OR RISK OF INJURY TO MINOR      F",119,NA,NA,126992,157849,110624
"19","POSSESSION OF NARCOTICS",74,17500,NA,149148,103183,95602
"20","LARCENY, FIRST DEGREE                 BF",33,NA,NA,121991,54200,94321
"21","ASSAULT ON POLICE OR FIRE OFFICER     CF",54,NA,11550,135080,158981,91794
"22","ASSAULT, SECOND DEGREE                DF",33,NA,NA,123593,81986,90838
"23","FAILURE TO APPEAR, FIRST DEGREE       DF",41,NA,NA,89786,94115,90321
"24","SALE OF CONTROLLED SUBSTANCE           F",30,NA,NA,118914,240022,82864
"25","VIOLATION OF PROBATION OR COND DISCHG",374,1e+05,NA,95872,111524,82590
"26","ROBBERY, THIRD DEGREE                 DF",22,NA,NA,1e+05,48083,76272
"27","BURGLARY, SECOND DEGREE               CF",24,NA,5000,61828,56940,73386
"28","CRIM VIOL OF PROTECTIVE ORDER         DF",138,5000,155250,98134,79636,72563
"29","BURGLARY, THIRD DEGREE                DF",102,35000,380500,112554,102464,58053
"30","STRANGULATION 2ND DEGREE              DF",31,250250,NA,112192,53571,56300
"31","INTERFERING WITH AN OFFICER           AM",57,NA,NA,104861,27796,48671
"32","LARCENY, THIRD DEGREE                 DF",58,NA,120250,38166,38395,41842
"33","LARCENY, SECOND DEGREE                CF",31,NA,NA,109608,80686,41527
"34","ASSAULT, THIRD DEGREE                 AM",74,62000,NA,37177,31100,34571
"35","FAILURE TO APPEAR, SECOND DEGREE      AM",38,NA,NA,23882,16256,25175
"36","THREATENING                           AM",42,NA,NA,43253,41136,23964
"37","LARCENY, SIXTH DEGREE                 CM",33,27500,NA,17033,47824,23824
