"","AMER IND","ASIAN","BLACK","HISPANIC","WHITE"
"1",0,0,62,38,145
"2",0,0,64,36,75
"3",0,6,67,42,127
"4",0,0,76,38,37
"5",0,0,35,40,55
"6",0,0,54,47,53
"7",0,7,67,96,142
"8",0,0,45,24,78
"9",0,0,25,42,42
"10",0,0,69,10,28
"11",0,0,0,22,21
"12",0,0,36,0,92
"13",0,12,24,52,25
"14",0,0,83,27,137
"15",0,0,30,28,75
"16",0,0,47,48,15
"17",0,0,16,66,51
"18",0,0,53,18,71
"19",0,0,0,18,94
"20",0,0,42,19,20
"21",0,0,104,41,62
"22",0,0,153,65,44
"23",0,0,22,0,66
"24",0,0,94,47,47
"25",0,0,48,48,98
"26",0,0,51,0,25
"27",0,0,53,27,27
"28",0,0,27,0,54
"29",28,0,0,0,28
"30",0,0,0,0,117
"31",0,0,0,30,0
"32",0,0,31,31,31
"33",0,0,0,32,32
"34",0,0,33,33,0
"35",0,0,34,0,0
