Town,McCain.Palin,Obama.Biden
Andover,745,1090
Ansonia,2918,4616
Ashford,837,1422
Avon,4868,5698
Barkhamsted,969,1223
Beacon Fallas,1576,1483
Berlin,4957,6028
Bethany,1525,1781
Bethel,4370,5179
Bethlehem,1214,1027
Bloomfield,1778,10384
Bolton,1300,1692
Bozrah,633,723
Branford,5906,9062
Bridgeport,6507,33976
Bridgewater,580,587
Bristol,10203,15966
Brookfield,4753,4340
Brooklyn,1674,1932
Burlington,2406,2716
Canaan,189,429
Canterbury,1345,1334
Canton,2472,3412
Chaplin,440,663
Cheshire,7839,8177
Chester,710,1527
Clinton,3004,3898
Colchester,3355,4712
Colebrook,421,460
Columbia,1306,1843
Cornwall,218,732
Coventry,2621,3888
Cromwell,2989,4551
Danbury,10732,16028
Darien,5949,4943
Deep River,946,1778
Derby,2383,2880
Durham,1893,2187
East Granby,1303,1612
East Haddam,1918,2874
East Hampton,2895,3844
East Hartford,5195,14811
East Haven,5287,6878
East Lyme,3819,5961
East Windsor,2100,3106
Eastford,488,485
Easton,2259,2238
Ellington,3519,4236
Enfield,7656,11584
Essex,1541,2542
Fairfield,13071,17236
Farmington,5822,8088
Franklin,504,538
Glastonbury,7755,11767
Goshen,927,856
Granby,2947,3456
Greenwich,13937,16233
Griswold,2286,2803
Groton,5814,8953
Guilford,5073,8134
Haddam,2068,2637
Hamden,8531,19960
Hampton,433,643
Hartford,2686,31741
Hartland,756,496
Harwinton,1749,1485
Hebron,2285,2954
Kent,591,1172
Killingly,2815,3629
Killingworth,1728,2169
Lebanon,1691,2103
Ledyard,3549,3978
Lisbon,938,1277
Litchfield,2356,2549
Lyme,565,1003
Madison,4727,6097
Manchester,8457,17782
Mansfield,2235,7874
Marlborough,1594,2071
Meriden,7363,15913
Middlebury,2468,1905
Middlefield,1079,1452
Middletown,5907,15143
Milford,11772,14873
Monroe,5815,5133
Montville,3526,4438
Morris,704,648
Naugatuck,6148,7034
New Britain,5442,16742
New Canaan,5877,5187
New Fairfield,4064,3377
New Hartford,1948,2193
New Haven,5098,39112
New London,1982,8358
New Milford,6255,7364
Newington,5726,9875
Newtown,7270,7764
Norfolk,188,640
North Branford,3504,3779
North Canaan,611,910
North Haven,6298,6982
North Stonington,1396,1553
Norwalk,12651,24489
Norwich,4505,8896
Old Lyme,1906,2886
Old Saybrook,2715,3462
Orange,4205,4074
Oxford,3826,2957
Plainfield,2743,3372
Plainville,3384,4983
Plymoth,2689,2865
Pomfret,1017,1203
Portland,1845,2925
Preston,1266,1382
Prospect,2982,2134
Putnam,1621,2041
Redding,2319,3245
Ridgefield,6786,7480
Rocky Hill,3951,5957
Roxbury,659,840
Salem,1022,1220
Salisbury,573,1751
Scotland,436,476
Seymour,3868,3822
Sharon,527,1010
Shelton,10428,9655
Sherman,1026,1110
Simsbury,5928,7964
Somers,2535,2473
South Windsor,5421,8773
Southbury,6172,5458
Southington,9845,12066
Sprague,683,766
Stafford,2505,3540
Stamford,17510,31733
Sterling,785,704
Stonington,4011,6307
Stratford,10199,14626
Suffield,3562,3808
Thomaston,2122,1842
Thompson,2112,2290
Tolland,3611,4752
Torrington,7424,8159
Trumbull,9927,9757
Union,252,273
Vernon,5098,8645
Voluntown,664,618
Wallingford,9372,12833
Warren,384,455
Washington,818,1384
Waterbury,12821,22599
Waterford,4376,6301
Watertown,6601,4914
West Hartford,10021,23576
West Haven,7005,14186
Westbrook,1680,2104
Weston,2143,3571
Westport,5342,10067
Wethersfield,5890,8642
Willington,1254,1793
Wilton,4801,5569
Winchester,2340,2620
Windham,2341,6312
Windsor,4305,11956
Windsor Locks,2554,3661
Wolcott,4930,3545
Woodbridge,2053,3315
Woodbury,3116,2926
Woodstock,2123,2167
