Precinct,Voting.District
Greenwich 5A,Greenwich 5A Voting District
Bridgeport 12402,Bridgeport 12402 Voting District
Wilton 3,Wilton 3 Voting District
New Canaan 1,New Canaan 1 Voting District
Stamford 14,Stamford 14 Voting District
Bridgeport 12401,Bridgeport 12401 Voting District
Greenwich 4A,Greenwich 4A Voting District
Trumbull 1-123,Trumbull 1-123 Voting District
Brookfield 2,Brookfield 2 Voting District
Danbury 5-110,Danbury 5-110 Voting District
Bridgeport 12702,Bridgeport 12702 Voting District
Redding 1,Redding 1 Voting District
Easton 1,Easton 1 Voting District
Stratford Chapel,Stratford Chapel Voting District
Westport 136-4,Westport 136-4 Voting District
Danbury 2-138,Danbury 2-138 Voting District
Monroe 1,Monroe 1 Voting District
Shelton 6,Shelton 6 Voting District
Bridgeport 12801,Bridgeport 12801 Voting District
Westport 136-3,Westport 136-3 Voting District
Norwalk 142D,Norwalk 142D Voting District
Bridgeport 12802,Bridgeport 12802 Voting District
Bridgeport 12904,Bridgeport 12904 Voting District
Newtown 3-2,Newtown 3-2 Voting District
Danbury 3-109,Danbury 3-109 Voting District
Trumbull 4-134,Trumbull 4-134 Voting District
Greenwich 1A,Greenwich 1A Voting District
Shelton 4,Shelton 4 Voting District
Bethel 2,Bethel 2 Voting District
Norwalk 140A,Norwalk 140A Voting District
Trumbull 6-134,Trumbull 6-134 Voting District
Newtown 1,Newtown 1 Voting District
Norwalk 140C,Norwalk 140C Voting District
Bridgeport 12601,Bridgeport 12601 Voting District
New Canaan 2,New Canaan 2 Voting District
Stratford Franklin S23,Stratford Franklin S23 Voting District
Shelton 3,Shelton 3 Voting District
Bridgeport 13005,Bridgeport 13005 Voting District
Monroe 3,Monroe 3 Voting District
Stamford 5,Stamford 5 Voting District
Danbury 1-110,Danbury 1-110 Voting District
Greenwich 8,Greenwich 8 Voting District
Danbury 1-138,Danbury 1-138 Voting District
Redding 2,Redding 2 Voting District
Trumbull 7-134,Trumbull 7-134 Voting District
Weston 2,Weston 2 Voting District
Fairfield 10-132,Fairfield 10-132 Voting District
Wilton 2,Wilton 2 Voting District
Greenwich 4,Greenwich 4 Voting District
Norwalk 137D,Norwalk 137D Voting District
Danbury 6-110,Danbury 6-110 Voting District
Stratford Baldwin,Stratford Baldwin Voting District
Stratford Second Hill,Stratford Second Hill Voting District
Stamford 11,Stamford 11 Voting District
Fairfield 6-132,Fairfield 6-132 Voting District
Stamford 6,Stamford 6 Voting District
Greenwich 3A,Greenwich 3A Voting District
Stamford 12,Stamford 12 Voting District
Greenwich 1,Greenwich 1 Voting District
Stamford 20,Stamford 20 Voting District
Ridgefield 3,Ridgefield 3 Voting District
Darien 5,Darien 5 Voting District
Bridgeport 13001,Bridgeport 13001 Voting District
Bridgeport 13003,Bridgeport 13003 Voting District
Greenwich 1B,Greenwich 1B Voting District
Greenwich 10A,Greenwich 10A Voting District
Bridgeport 13004,Bridgeport 13004 Voting District
Danbury 2-109,Danbury 2-109 Voting District
Danbury 5-109,Danbury 5-109 Voting District
Greenwich 3,Greenwich 3 Voting District
Stratford Stratford HS,Stratford Stratford HS Voting District
Stratford Franklin S21,Stratford Franklin S21 Voting District
Trumbull 5-134,Trumbull 5-134 Voting District
Bridgeport 12604,Bridgeport 12604 Voting District
Norwalk 143B,Norwalk 143B Voting District
Stratford Lordship,Stratford Lordship Voting District
Darien 1,Darien 1 Voting District
Greenwich 12,Greenwich 12 Voting District
Darien 6,Darien 6 Voting District
Shelton 2,Shelton 2 Voting District
Danbury 7-138,Danbury 7-138 Voting District
Weston 1,Weston 1 Voting District
Wilton 1,Wilton 1 Voting District
Stamford 22,Stamford 22 Voting District
Bridgeport 12403,Bridgeport 12403 Voting District
Bridgeport 12405,Bridgeport 12405 Voting District
Stamford 3,Stamford 3 Voting District
Norwalk 141A,Norwalk 141A Voting District
Stamford 1,Stamford 1 Voting District
Greenwich 11,Greenwich 11 Voting District
Stratford Johnson,Stratford Johnson Voting District
Danbury 4-109,Danbury 4-109 Voting District
Stamford 18,Stamford 18 Voting District
Fairfield 2-134,Fairfield 2-134 Voting District
Stratford Bunnell H120,Stratford Bunnell H120 Voting District
Westport 136-5,Westport 136-5 Voting District
Greenwich 2,Greenwich 2 Voting District
Danbury 4-110,Danbury 4-110 Voting District
Stamford 16,Stamford 16 Voting District
Fairfield 4-134,Fairfield 4-134 Voting District
Bridgeport 12603,Bridgeport 12603 Voting District
Greenwich 2A,Greenwich 2A Voting District
Norwalk 137A,Norwalk 137A Voting District
Danbury 1-109,Danbury 1-109 Voting District
Fairfield 4-133,Fairfield 4-133 Voting District
Stamford 10,Stamford 10 Voting District
Bridgeport 13002,Bridgeport 13002 Voting District
Stamford 9,Stamford 9 Voting District
Trumbull 7-123,Trumbull 7-123 Voting District
Danbury 7-002,Danbury 7-002 Voting District
Monroe 2,Monroe 2 Voting District
Greenwich 7A,Greenwich 7A Voting District
Danbury 5-002,Danbury 5-002 Voting District
Bridgeport 12901,Bridgeport 12901 Voting District
Stratford Bunnell H122,Stratford Bunnell H122 Voting District
Fairfield 9-133,Fairfield 9-133 Voting District
Darien 3,Darien 3 Voting District
Stratford Nichols,Stratford Nichols Voting District
Greenwich 5,Greenwich 5 Voting District
Norwalk 142A,Norwalk 142A Voting District
Trumbull 2-123,Trumbull 2-123 Voting District
Stamford 21,Stamford 21 Voting District
Stratford Wooster JHS,Stratford Wooster JHS Voting District
Stamford 8,Stamford 8 Voting District
Newtown 2,Newtown 2 Voting District
Stamford 23,Stamford 23 Voting District
Shelton 5,Shelton 5 Voting District
Bethel 1,Bethel 1 Voting District
Bridgeport 12404,Bridgeport 12404 Voting District
Sherman 1,Sherman 1 Voting District
Fairfield 5-132,Fairfield 5-132 Voting District
Darien 2,Darien 2 Voting District
Stamford 2,Stamford 2 Voting District
Danbury 6-002,Danbury 6-002 Voting District
Bridgeport 12701,Bridgeport 12701 Voting District
Fairfield 7-134,Fairfield 7-134 Voting District
Stratford Wilcoxson,Stratford Wilcoxson Voting District
Newtown 3-1,Newtown 3-1 Voting District
Bethel 5,Bethel 5 Voting District
Norwalk 143A,Norwalk 143A Voting District
Norwalk 140B,Norwalk 140B Voting District
Bethel 3,Bethel 3 Voting District
New Canaan 3,New Canaan 3 Voting District
